Iteration,IP_CPU_Time(ms)
0,0.0
1,2.275516
2,0.18921
3,0.332832
4,0.192052
5,0.245911
6,0.25339
7,0.251227
8,0.213353
9,0.241963
10,0.187045
11,0.18134
12,0.232779
13,0.213753
14,0.224254
15,0.149657
16,0.131878
17,0.212211
18,0.209874
19,0.211157
20,0.146877
21,0.148105
22,0.210423
23,0.241793
24,0.2504
25,0.159034
26,0.096658
27,0.157549
28,0.225372
29,0.155232
30,0.354831
31,0.160329
32,0.184159
33,0.256797
34,0.128957
35,0.176009
36,0.195089
37,0.161857
38,0.150322
39,0.165486
40,0.166169
41,0.120776
42,0.113002
43,0.30923
44,0.209971
45,0.205699
46,0.181198
47,0.170822
48,0.188661
49,0.238804
50,0.158703
51,0.202888
52,0.232729
53,0.182218
54,0.171761
55,0.275679
56,0.124106
57,0.200809
58,0.039974
59,0.044283
60,0.053605
61,0.084716
62,0.053971
63,0.046529
64,0.051218
65,0.062403
66,0.072256
67,0.056567
68,0.040002
69,0.054377
70,0.060839
71,0.029408
72,0.076224
73,0.034661
74,0.040985
75,0.037116
76,0.03814
77,0.049525
78,0.05618
79,0.052356
80,0.052794
81,0.03652
82,0.053443
83,0.042803
84,0.05287
85,0.036543
86,0.045881
87,0.085383
88,0.066501
89,0.039392
90,0.044684
91,0.059788
92,0.086711
93,0.043745
94,0.049107
95,0.071542
96,0.079385
97,0.082305
98,0.073509
99,0.04597
100,0.094843
101,0.075468
102,0.080201
103,0.103414
104,0.064398
105,0.066569
106,0.090438
107,0.052639
108,0.04553
109,0.06187
110,0.051759
111,0.071641
112,0.077218
113,0.089379
114,2.836366
115,0.165106
116,0.063691
117,0.059292
118,0.03816
119,0.028924
120,0.03297
121,0.048459
122,0.054347
123,0.042211
124,0.052744
125,0.072342
126,0.056032
127,0.043149
128,0.055707
129,0.046397
130,0.046917
131,0.050372
132,0.036278
133,0.03414
134,0.018647
135,0.027709
136,0.032603
137,0.026979
138,0.033259
139,0.023533
140,0.031078
141,0.042721
142,0.03446
143,0.043387
144,0.057143
145,0.048652
146,0.04933
147,0.03968
148,0.041252
149,0.049071
150,0.027636
151,0.030604
152,0.033833
153,0.027106
154,0.036546
155,0.037285
156,0.044739
157,0.056284
158,0.049093
159,0.055636
160,0.024472
161,0.061836
162,0.067637
163,0.056131
164,0.056995
165,0.052725
166,0.05122
167,0.038011
168,0.076269
169,0.034994
170,0.059891
171,0.069674
172,0.047148
173,0.075862
174,0.060228
175,0.050977
176,0.041268
