Iteration,IP_CPU_Time(ms)
0,0.0
1,0.065313
2,0.01384
3,0.010446
4,0.011994
5,0.012088
6,0.009256
7,0.009863
8,0.00804
9,0.013427
10,0.058809
11,0.016806
12,0.017151
13,0.012575
14,0.018476
15,0.009886
16,0.010269
17,0.012707
18,0.011524
19,0.023883
20,0.013611
21,0.011068
22,0.011716
23,0.010321
24,0.009477
25,0.019368
26,0.01395
27,0.009247
28,0.011557
29,0.012504
30,0.010191
31,0.014202
32,0.011124
33,0.012714
34,0.00971
35,0.011842
36,0.012874
37,0.016676
38,0.011751
39,0.012139
40,0.010561
41,0.010628
42,0.00992
43,0.009327
44,0.011522
45,0.010165
46,0.010854
47,0.014634
48,0.011242
49,0.019196
50,0.016462
51,0.021284
52,0.010043
53,0.016968
54,0.010626
55,0.014446
56,0.015997
57,0.010374
58,0.013827
59,0.01159
60,0.011152
61,0.022053
62,0.016822
63,0.00946
64,0.013006
65,0.010022
66,0.007567
67,0.014878
68,0.008567
69,0.009898
70,0.006568
71,0.008488
72,0.015373
73,0.007922
74,0.011051
75,0.011411
76,0.01115
77,0.017928
78,0.009372
79,0.01205
80,0.015445
81,0.011889
82,0.00805
83,0.015513
84,0.010785
85,0.00974
86,0.010452
87,0.009418
88,0.008623
89,0.011248
90,0.012688
91,0.013064
92,0.013622
93,0.039498
94,0.017155
95,0.018696
96,0.011553
97,0.011433
98,0.010303
99,0.010693
100,0.017288
101,0.010842
102,0.010043
103,0.017393
104,0.014339
105,0.015792
106,0.016819
107,0.00694
108,0.012583
109,0.012365
110,0.012216
111,0.011387
112,0.011307
113,0.010581
114,0.008457
115,0.010969
116,0.010182
117,0.008962
118,0.007964
119,0.008199
120,0.009937
121,0.016312
122,0.014474
123,0.010704
124,0.009408
125,0.011641
126,0.009174
127,0.007845
128,0.009044
129,0.007096
130,0.011322
131,0.017607
132,0.00799
133,0.018391
134,0.010484
135,0.013532
136,0.009863
137,0.015093
138,0.009346
139,0.008395
140,0.008455
141,0.014376
142,0.009555
143,0.009739
144,0.008901
145,0.011839
146,0.011673
147,0.0146
148,0.024526
149,0.007813
150,0.01194
151,0.012115
152,0.011763
153,0.008172
154,0.011239
155,0.010068
156,0.011522
157,0.00617
158,0.011078
159,0.01037
160,0.008963
161,0.014337
162,0.009939
163,0.011038
164,0.008194
165,0.010027
166,0.009851
167,0.012054
168,0.011749
169,0.042767
170,0.012104
171,0.010126
172,0.011556
173,0.006718
174,0.010764
175,0.012076
176,0.008775
177,0.0092
178,0.015734
179,0.008077
180,0.009268
181,0.008237
182,0.009821
183,0.010747
184,0.011557
185,0.010982
186,0.010515
187,0.009184
188,0.016464
189,0.009244
190,0.009996
191,0.012872
192,0.012981
193,0.012804
194,0.006277
195,0.01137
196,0.011533
197,0.006674
198,0.011784
199,0.006334
200,0.012214
201,0.005763
202,0.010215
203,0.010258
204,0.010614
205,0.018114
206,0.008821
207,0.012191
208,0.01041
209,0.009824
210,0.010404
211,0.010484
212,0.008084
213,0.017089
214,0.01514
215,0.08376
216,0.018724
217,0.008159
218,0.008319
219,0.009028
220,0.012245
221,0.009281
222,0.011984
223,0.006443
224,0.008237
225,0.007109
226,0.011603
227,0.012868
228,0.006953
229,0.008878
230,0.010153
231,0.009099
232,0.00956
233,0.010429
234,0.007738
235,0.010597
236,0.009428
237,0.0103
238,0.007894
239,0.009947
240,0.009426
241,0.007631
242,0.011379
243,0.007146
244,0.007804
245,0.00782
246,0.009935
247,0.007823
248,0.010247
249,0.012202
250,0.008208
251,0.013581
252,0.008652
253,0.010961
254,0.010495
255,0.010756
256,0.013989
257,0.012961
258,0.011032
259,0.0127
260,0.011163
261,0.012187
262,0.011394
263,0.008235
264,0.008887
265,0.007835
266,0.010276
267,0.00828
268,0.009004
269,0.010093
270,0.007461
271,0.008083
272,0.00636
273,0.01194
274,0.01134
275,0.008868
276,0.010043
277,0.009874
278,0.010232
279,0.010957
280,0.011611
281,0.018254
282,0.007394
283,0.009573
284,0.011476
285,0.010019
286,0.008957
287,0.010568
288,0.00941
289,0.009115
290,0.007213
291,0.007358
292,0.012239
293,0.00629
294,0.008198
295,0.014238
296,0.008613
297,0.009787
298,0.009196
299,0.009687
300,0.008163
301,0.008551
302,0.009992
303,0.011689
304,0.008888
305,0.009899
306,0.009558
307,0.013471
308,0.01035
309,0.008317
310,0.008916
311,0.011484
312,0.011827
313,0.008183
314,0.008932
315,0.014382
316,0.008797
317,0.008253
318,0.01155
319,0.007809
320,0.016434
321,0.011982
322,0.009111
323,0.009721
324,0.008001
325,0.015596
326,0.010064
327,0.010079
328,0.008828
329,0.011118
330,0.007012
331,0.006838
332,0.008215
333,0.013546
334,0.012876
