Iteration,IP_CPU_Time(ms)
0,0.0
1,0.080339
2,0.016491
3,0.01938
4,0.021026
5,0.010045
6,0.016707
7,0.015578
8,0.010219
9,0.016761
10,0.020181
11,0.067103
12,0.028999
13,0.023886
14,0.017449
15,0.015322
16,0.018318
17,0.021255
18,0.016218
19,0.015133
20,0.015983
21,0.021008
22,0.013058
23,0.01413
24,0.015729
25,0.014035
26,0.014913
27,0.017267
28,0.018198
29,0.01747
30,0.01379
31,0.014243
32,0.016223
33,0.016488
34,0.011684
35,0.018359
36,0.016207
37,0.015829
38,0.013267
39,0.012201
40,0.017673
41,0.016096
42,0.011623
43,0.01513
44,0.021391
45,0.009848
46,0.013533
47,0.015805
48,0.015925
49,0.017364
50,0.01809
51,0.013701
52,0.015424
53,0.010608
54,0.015181
55,0.013207
56,0.01707
57,0.012199
58,0.012202
59,0.017497
60,0.016018
61,0.009617
62,0.019714
63,0.017493
64,0.013311
65,0.019647
66,0.014288
67,0.037475
68,0.015257
69,0.015584
70,0.011182
71,0.016897
72,0.0126
73,0.012375
74,0.020221
75,0.016982
76,0.010257
77,0.013291
78,0.011326
79,0.014553
80,0.014591
81,0.010911
82,0.01148
83,0.022675
84,0.012678
85,0.013294
86,0.012022
87,0.012352
88,0.011489
89,0.012975
90,0.013003
91,0.01372
92,0.011598
93,0.015417
94,0.013702
95,0.012271
96,0.013569
97,0.023861
98,0.015073
99,0.011821
100,0.013392
101,0.014895
102,0.011824
103,0.012165
104,0.021332
105,0.014171
106,0.01512
107,0.012771
108,0.012235
109,0.01338
110,0.015956
111,0.011637
112,0.016416
113,0.017232
114,0.020308
115,0.012066
116,0.013074
117,0.013589
118,0.013825
119,0.011135
120,0.011854
121,0.009345
122,0.009468
123,0.011697
124,0.012474
125,0.015543
126,0.012956
127,0.013047
128,0.013084
129,0.013088
130,0.014669
131,0.019815
132,0.013484
133,0.010167
134,0.017189
135,0.012961
136,0.014609
137,0.01302
138,0.011399
139,0.016643
140,0.013696
141,0.118632
142,0.026844
143,0.014994
144,0.016163
145,0.010531
146,0.01816
147,0.01299
148,0.012605
149,0.012703
150,0.013169
151,0.012095
152,0.014073
153,0.012801
154,0.012642
155,0.015426
156,0.008696
157,0.0127
158,0.013629
159,0.015677
160,0.013135
161,0.016314
162,0.012482
163,0.013179
164,0.017364
165,0.012118
166,0.016802
167,0.012408
168,0.010966
169,0.013694
170,0.012923
171,0.011695
172,0.01957
173,0.027015
174,0.014769
175,0.025155
176,0.013715
177,0.014425
178,0.015209
179,0.014733
180,0.010383
181,0.009832
182,0.023939
183,0.01802
184,0.015156
185,0.020179
186,0.013216
187,0.014192
188,0.012936
189,0.011232
190,0.016119
191,0.016017
192,0.012403
193,0.020396
194,0.012051
195,0.013272
196,0.010647
197,0.017956
198,0.012767
199,0.015953
200,0.013351
201,0.018038
202,0.015077
203,0.017294
204,0.012086
205,0.010437
206,0.015145
207,0.011624
208,0.01424
209,0.015369
210,0.018058
211,0.01111
212,0.0161
213,0.013437
214,0.018872
215,0.009387
216,0.013323
217,0.015818
218,0.00939
219,0.010494
220,0.012909
221,0.014681
222,0.014298
223,0.016759
224,0.011223
225,0.013996
226,0.013139
227,0.008947
228,0.013269
229,0.009923
230,0.014963
231,0.015451
232,0.017454
233,0.013551
234,0.011476
235,0.008775
236,0.010548
237,0.009126
238,0.011234
239,0.015929
240,0.01138
241,0.011454
242,0.009705
243,0.013226
244,0.009817
245,0.009422
246,0.012993
247,0.013728
248,0.011907
249,0.011661
250,0.010633
251,0.010362
252,0.011706
253,0.010968
254,0.011009
255,0.011783
256,0.013976
257,0.019384
258,0.010296
259,0.011782
260,0.009993
261,0.013813
262,0.02561
263,0.016076
264,0.012844
265,0.013446
266,0.016702
267,0.015649
268,0.017164
269,0.016942
270,0.011539
271,0.01951
272,0.01443
273,0.01165
274,0.017835
275,0.012198
276,0.013907
277,0.011425
278,0.016872
279,0.012707
280,0.010713
281,0.010441
282,0.011141
283,0.010934
284,0.016397
285,0.015624
286,0.010963
287,0.012593
288,0.013388
289,0.010921
290,0.009641
291,0.031337
292,0.007707
293,0.009931
294,0.011373
295,0.011418
296,0.007827
297,0.012103
298,0.009197
299,0.011354
300,0.010603
301,0.01411
302,0.011787
303,0.011606
304,0.011598
305,0.012255
306,0.012016
307,0.017274
308,0.01088
309,0.016652
310,0.01873
311,0.013212
312,0.015289
313,0.010897
314,0.018573
315,0.011432
316,0.018355
317,0.011358
318,0.012908
319,0.013395
320,0.014502
321,0.01507
322,0.013337
323,0.017321
324,0.01487
325,0.011466
326,0.013917
327,0.015368
328,0.01086
329,0.014238
330,0.023538
331,0.010742
332,0.01533
333,0.013441
334,0.020589
335,0.012206
