Iteration,IP_CPU_Time(ms)
0,0.0
1,0.048608
2,0.01239
3,0.010479
4,0.007403
5,0.007083
6,0.007782
7,0.004838
8,0.006725
9,0.006544
10,0.007506
11,0.007951
12,0.008258
13,0.005525
14,0.010173
15,0.007314
16,0.012984
17,0.007645
18,0.00668
19,0.006534
20,0.005657
21,0.00846
22,0.007186
23,0.004262
24,0.005265
25,0.004916
26,0.008362
27,0.007642
28,0.005406
29,0.007001
30,0.00881
31,0.00878
32,0.008194
33,0.006405
34,0.0074
35,0.005929
36,0.006366
37,0.005749
38,0.004687
39,0.006086
40,0.005063
41,0.006356
42,0.004825
43,0.006465
44,0.007338
45,0.008365
46,0.003918
47,0.004571
48,0.006114
49,0.007865
50,0.005993
51,0.006926
52,0.006587
53,0.005383
54,0.005574
55,0.006163
56,0.007711
57,0.00993
58,0.006663
59,0.007363
60,0.006916
61,0.006628
62,0.005362
63,0.005594
64,0.005201
65,0.005174
66,0.00678
67,0.005079
68,0.004826
69,0.007303
70,0.005833
71,0.007032
72,0.004069
73,0.006735
74,0.006676
75,0.006579
76,0.005239
77,0.007845
78,0.004849
79,0.004447
80,0.008574
81,0.007515
82,0.00554
83,0.003859
84,0.005662
85,0.006765
86,0.005392
87,0.006845
88,0.011366
89,0.006289
90,0.007663
91,0.005826
92,0.006231
93,0.004285
94,0.006671
95,0.007717
96,0.007845
97,0.005101
98,0.005651
99,0.005272
100,0.006779
101,0.006638
102,0.00708
103,0.005982
104,0.006779
105,0.004881
106,0.004867
107,0.006244
108,0.008537
109,0.005653
110,0.005466
111,0.006031
112,0.006269
113,0.004752
114,0.006144
115,0.005183
116,0.004286
117,0.00594
118,0.005909
119,0.006836
120,0.004883
121,0.004652
122,0.007103
123,0.007244
124,0.007716
125,0.005861
126,0.004808
127,0.007526
128,0.004058
129,0.006576
130,0.007103
131,0.009043
132,0.004275
133,0.006381
134,0.00733
135,0.004241
136,0.006447
137,0.005448
138,0.005582
139,0.007371
140,0.005877
141,0.007384
142,0.007282
143,0.006279
144,0.006931
145,0.007647
146,0.004969
147,0.01013
148,0.007044
149,0.005495
150,0.007346
151,0.009898
152,0.006815
153,0.005595
154,0.003699
155,0.006503
156,0.006647
157,0.005896
158,0.006395
159,0.005921
160,0.004095
161,0.007072
162,0.006375
163,0.007648
164,0.016534
165,0.00561
166,0.004987
167,0.007797
168,0.006139
169,0.005517
170,0.005778
171,0.007375
172,0.007997
173,0.005594
174,0.007592
175,0.006954
176,0.007778
177,0.005054
178,0.008082
179,0.0077
180,0.005581
181,0.006632
182,0.007826
183,0.005939
184,0.004424
185,0.007945
186,0.005799
187,0.005474
188,0.006007
189,0.007367
190,0.007567
191,0.009127
192,0.005674
193,0.006296
194,0.007998
195,0.006103
196,0.01107
197,0.008303
198,0.007796
199,0.007561
200,0.00794
201,0.005217
202,0.005886
203,0.007403
204,0.007788
205,0.005981
206,0.008
207,0.017538
208,0.011395
209,0.007212
210,0.004598
211,0.005802
212,0.004793
213,0.008556
214,0.008151
215,0.009866
216,0.00668
217,0.007502
218,0.009039
219,0.008646
220,0.00842
221,0.007527
222,0.006022
223,0.005457
224,0.005265
225,0.00833
226,0.008244
227,0.006096
228,0.006259
229,0.007838
230,0.012733
231,0.008936
232,0.009251
233,0.010122
234,0.013424
235,0.010104
236,0.009773
237,0.013997
238,0.00775
239,0.011493
240,0.008173
241,0.007167
242,0.01021
243,0.008077
244,0.009053
245,0.012487
246,0.008747
247,0.009843
248,0.014935
249,0.010791
250,0.008447
251,0.010609
252,0.014594
253,0.013321
254,0.009656
255,0.008613
256,0.009334
257,0.008119
258,0.01085
259,0.01478
260,0.013087
261,0.008136
262,0.01198
263,0.012395
264,0.010186
265,0.00836
266,0.009166
267,0.010331
268,0.011481
269,0.012526
270,0.01703
271,0.010037
272,0.011932
273,0.006544
274,0.010488
275,0.013667
276,0.008951
277,0.013898
278,0.012689
279,0.007391
280,0.009155
281,0.012466
282,0.007614
283,0.009963
284,0.009395
285,0.013213
286,0.010487
287,0.011592
288,0.011445
289,0.007783
290,0.010672
291,0.013316
292,0.010977
293,0.010516
294,0.010415
295,0.007586
296,0.008309
297,0.011463
298,0.009178
299,0.00807
300,0.008922
301,0.012744
302,0.010704
303,0.013794
304,0.013578
305,0.011549
306,0.009717
307,0.013826
308,0.010731
309,0.011205
310,0.01136
311,0.008675
312,0.010046
313,0.013683
314,0.009622
315,0.010133
316,0.014221
317,0.011329
318,0.012027
319,0.010943
320,0.010239
321,0.011509
322,0.010775
323,0.009183
324,0.01073
325,0.010183
326,0.012177
327,0.01248
328,0.013736
329,0.007351
330,0.011435
331,0.015657
332,0.010031
333,0.013275
334,0.009971
335,0.010079
336,0.011077
337,0.010884
338,0.009431
339,0.013731
340,0.0101
341,0.008217
342,0.01135
343,0.008625
344,0.006563
345,0.010879
346,0.006803
347,0.007968
348,0.0084
349,0.008858
350,0.013884
351,0.011989
352,0.009282
353,0.009991
354,0.00964
355,0.011264
356,0.010975
357,0.011841
358,0.011437
359,0.006393
360,0.011107
361,0.00892
362,0.011129
363,0.010357
364,0.010547
365,0.012331
366,0.010488
367,0.011024
368,0.013076
369,0.011437
370,0.009452
371,0.010031
372,0.011754
373,0.00828
374,0.014613
375,0.007335
376,0.014251
377,0.00981
378,0.009061
379,0.013036
380,0.011387
381,0.010698
382,0.010402
383,0.015278
384,0.011553
385,0.007567
386,0.014284
387,0.011922
388,0.011072
389,0.013467
390,0.014734
391,0.010596
392,0.013402
393,0.014151
394,0.012067
395,0.011357
