Iteration,IP_CPU_Time(ms)
0,0.0
1,0.035376
2,0.013745
3,0.01
4,0.012605
5,0.013794
6,0.010863
7,0.010332
8,0.021103
9,0.008821
10,0.011649
11,0.009276
12,0.008819
13,0.009552
14,0.007483
15,0.013222
16,0.008001
17,0.01013
18,0.007502
19,0.008032
20,0.008623
21,0.005019
22,0.007321
23,0.008013
24,0.007205
25,0.006644
26,0.008058
27,0.007748
28,0.009554
29,0.010693
30,0.00866
31,0.008604
32,0.006834
33,0.011142
34,0.006236
35,0.006105
36,0.007749
37,0.010127
38,0.007007
39,0.007932
40,0.00721
41,0.007432
42,0.009353
43,0.014438
44,0.008877
45,0.006232
46,0.009231
47,0.008215
48,0.008955
49,0.010081
50,0.006814
51,0.011489
52,0.006028
53,0.008809
54,0.00619
55,0.009273
56,0.006445
57,0.009517
58,0.008279
59,0.011272
60,0.011181
61,0.008332
62,0.008934
63,0.006745
64,0.010355
65,0.00578
66,0.009301
67,0.006507
68,0.007713
69,0.006603
70,0.007446
71,0.006329
72,0.009965
73,0.006739
74,0.007001
75,0.007762
76,0.0096
77,0.009761
78,0.006766
79,0.007436
80,0.012001
81,0.007846
82,0.009833
83,0.007164
84,0.009002
85,0.00737
86,0.012322
87,0.012471
88,0.008326
89,0.009017
90,0.007627
91,0.007726
92,0.008629
93,0.007484
94,0.008373
95,0.008419
96,0.008993
97,0.005571
98,0.006458
99,0.007905
100,0.010903
101,0.007667
102,0.007954
103,0.007202
104,0.007344
105,0.006994
106,0.008961
107,0.006666
108,0.065552
109,0.007365
110,0.008162
111,0.011031
112,0.010691
113,0.005904
114,0.007525
115,0.008803
116,0.00633
117,0.009767
118,0.006969
119,0.006259
120,0.009107
121,0.00888
122,0.006724
123,0.005401
124,0.007037
125,0.006023
126,0.012985
127,0.008522
128,0.007035
129,0.01204
130,0.009327
131,0.009014
132,0.012025
133,0.006957
134,0.007113
135,0.007424
136,0.009673
137,0.009022
138,0.008058
139,0.004701
140,0.024943
141,0.007069
142,0.006937
143,0.007811
144,0.009246
145,0.007283
146,0.008122
147,0.006624
148,0.004695
149,0.009057
150,0.010749
151,0.006051
152,0.008914
153,0.006998
154,0.006262
155,0.005386
156,0.010146
157,0.006982
158,0.008814
159,0.014415
160,0.00985
161,0.007336
162,0.007334
163,0.006064
164,0.008873
165,0.008977
166,0.006597
167,0.011392
168,0.008198
169,0.007499
170,0.007016
171,0.008125
172,0.007185
173,0.011977
174,0.011625
175,0.006822
176,0.007969
177,0.006486
178,0.006399
179,0.007298
180,0.008397
181,0.008407
182,0.007812
183,0.007994
184,0.007468
185,0.007104
186,0.005935
187,0.006939
188,0.007089
189,0.011743
190,0.006426
191,0.00998
192,0.009779
193,0.008666
194,0.005347
195,0.012463
196,0.009671
197,0.009515
198,0.007452
199,0.008122
200,0.00803
201,0.006841
202,0.008415
203,0.008561
204,0.006113
205,0.005997
206,0.006124
207,0.006153
208,0.007856
209,0.008719
210,0.007152
211,0.010076
212,0.011049
213,0.009185
214,0.007532
215,0.009603
216,0.007165
217,0.00887
218,0.007214
219,0.00747
220,0.007383
221,0.008661
222,0.008874
223,0.009063
224,0.008976
225,0.012397
226,0.008444
227,0.006522
228,0.010588
229,0.009048
230,0.009552
231,0.007746
232,0.008219
233,0.008881
234,0.007345
235,0.007672
236,0.009482
237,0.00789
238,0.007832
239,0.006484
240,0.008942
241,0.008296
242,0.005698
243,0.01051
244,0.00779
245,0.00938
246,0.006912
247,0.007815
248,0.008778
249,0.009701
250,0.009108
251,0.005881
252,0.009986
253,0.01162
254,0.010815
255,0.007639
256,0.007583
257,0.014077
258,0.008372
259,0.00876
260,0.00713
261,0.011405
262,0.006908
263,0.017414
264,0.008142
265,0.009172
266,0.008462
267,0.010542
268,0.006222
269,0.008025
270,0.007352
271,0.010443
272,0.00767
273,0.010778
274,0.007457
275,0.013551
276,0.007384
277,0.007815
278,0.007783
279,0.007584
280,0.007925
281,0.007266
282,0.006388
283,0.009205
284,0.005425
285,0.011751
286,0.008943
287,0.008493
288,0.00675
289,0.011883
290,0.011055
291,0.014142
292,0.007783
293,0.012461
294,0.008993
295,0.007829
296,0.005361
297,0.007156
298,0.007185
299,0.005455
300,0.00735
301,0.006596
302,0.010969
303,0.008379
304,0.008044
305,0.011907
306,0.008252
307,0.006947
308,0.005942
309,0.007877
310,0.007495
311,0.011584
312,0.007322
313,0.00831
314,0.011481
315,0.009876
316,0.005771
317,0.006897
318,0.007266
319,0.006651
320,0.008131
321,0.008607
322,0.009195
323,0.006129
324,0.006708
325,0.008525
326,0.007107
327,0.009403
328,0.008238
329,0.007472
330,0.013048
331,0.007055
332,0.007015
333,0.00699
334,0.007348
335,0.007746
336,0.008234
337,0.008914
338,0.006202
339,0.010038
340,0.009813
341,0.010225
342,0.006707
343,0.010076
344,0.009933
345,0.006778
346,0.010647
347,0.008663
348,0.008489
349,0.007803
350,0.005773
351,0.009754
352,0.006056
353,0.01045
354,0.008012
355,0.009015
356,0.008266
357,0.006124
358,0.007032
359,0.007378
360,0.007131
361,0.009843
362,0.009013
363,0.00618
364,0.011386
365,0.007618
366,0.007635
367,0.007225
368,0.011489
369,0.008147
370,0.00935
371,0.012739
372,0.008575
373,0.006523
374,0.00692
375,0.009401
376,0.009731
377,0.00934
378,0.01173
379,0.008596
380,0.011761
381,0.009396
382,0.009947
383,0.010043
384,0.011856
