Iteration,IP_CPU_Time(ms)
0,0.0
1,0.011937
2,0.005701
3,0.004829
4,0.009505
5,0.013033
6,0.009298
7,0.00704
8,0.00654
9,0.005004
10,0.006698
11,0.004922
12,0.005778
13,0.004823
14,0.006747
15,0.006536
16,0.00488
17,0.005961
18,0.005043
19,0.007512
20,0.006153
21,0.006575
22,0.00697
23,0.004501
24,0.007639
25,0.01179
26,0.009428
27,0.007864
28,0.005705
29,0.006463
30,0.005502
31,0.006472
32,0.006632
33,0.008085
34,0.004872
35,0.00565
36,0.005096
37,0.005793
38,0.007371
39,0.004857
40,0.008546
41,0.005183
42,0.003385
43,0.0055
44,0.010471
45,0.006474
46,0.010334
47,0.007413
48,0.00552
49,0.008117
50,0.004175
51,0.006943
52,0.004569
53,0.007331
54,0.003629
55,0.009765
56,0.005249
57,0.00706
58,0.004383
59,0.006526
60,0.004981
61,0.006868
62,0.006074
63,0.005159
64,0.007006
65,0.005845
66,0.004748
67,0.006418
68,0.006609
69,0.003584
70,0.006845
71,0.003746
72,0.006441
73,0.007064
74,0.005283
75,0.007365
76,0.006832
77,0.005285
78,0.005383
79,0.009207
80,0.007822
81,0.007031
82,0.005606
83,0.007381
84,0.004034
85,0.00647
86,0.009252
87,0.009337
88,0.009175
89,0.008406
90,0.004803
91,0.0067
92,0.005533
93,0.004409
94,0.015514
95,0.007999
96,0.009173
97,0.00863
98,0.005797
99,0.006953
100,0.004128
101,0.007804
102,0.008324
103,0.004013
104,0.004702
105,0.006938
106,0.009901
107,0.004233
108,0.009673
109,0.007691
110,0.009047
111,0.006862
112,0.006121
113,0.008932
114,0.006722
115,0.006676
116,0.007637
117,0.006942
118,0.005274
119,0.004605
120,0.007547
121,0.008459
122,0.010622
123,0.004668
124,0.008954
125,0.007185
126,0.007742
127,0.005028
128,0.007819
129,0.009912
130,0.013564
131,0.00925
132,0.006959
133,0.00979
134,0.009611
135,0.009939
136,0.005168
137,0.006845
138,0.004936
139,0.006956
140,0.008543
141,0.005587
142,0.008804
143,0.008685
144,0.00748
145,0.005867
146,0.010192
147,0.007394
148,0.004444
149,0.006365
150,0.005964
151,0.005276
152,0.005568
153,0.007745
154,0.003873
155,0.007575
156,0.004819
157,0.005111
158,0.005383
159,0.006573
160,0.003667
161,0.005592
162,0.005012
163,0.008646
164,0.007513
165,0.004127
166,0.004705
167,0.005646
168,0.007449
169,0.006359
170,0.006415
171,0.005814
172,0.004862
173,0.00654
174,0.007304
175,0.007457
176,0.004486
177,0.005289
178,0.004165
179,0.006251
180,0.004807
181,0.005704
182,0.005931
183,0.006381
184,0.006591
185,0.003932
186,0.010747
187,0.005357
188,0.005833
189,0.005663
190,0.007612
191,0.005887
192,0.003295
193,0.005723
194,0.005326
195,0.006554
196,0.007144
197,0.00431
198,0.006339
199,0.006133
200,0.004032
201,0.005345
202,0.005421
203,0.005281
204,0.007265
205,0.005939
206,0.003153
207,0.006488
208,0.007551
209,0.005855
210,0.004973
211,0.004937
212,0.004507
213,0.003546
214,0.002728
215,0.006229
216,0.005977
217,0.005365
218,0.00711
219,0.006108
220,0.005866
221,0.006405
222,0.003904
223,0.005389
224,0.006528
225,0.007019
226,0.004035
227,0.007397
228,0.004456
229,0.006876
230,0.003521
231,0.00676
232,0.006979
233,0.006427
234,0.008646
235,0.006466
236,0.005908
237,0.006244
238,0.006834
239,0.00538
240,0.005329
241,0.004821
242,0.003472
243,0.003961
244,0.006656
245,0.004905
246,0.006272
247,0.007884
248,0.005382
249,0.006356
250,0.005333
251,0.005331
252,0.004872
253,0.004233
254,0.005828
255,0.006625
256,0.004273
257,0.00437
258,0.005626
259,0.004104
260,0.005253
261,0.003521
262,0.005671
263,0.00479
264,0.003507
265,0.004999
266,0.004582
267,0.006313
268,0.006118
269,0.005325
270,0.004892
271,0.004199
272,0.005188
273,0.005113
274,0.005051
275,0.005847
276,0.004235
277,0.004011
278,0.005871
279,0.006514
280,0.006057
281,0.00384
282,0.005885
283,0.003695
284,0.004949
285,0.005945
286,0.006069
287,0.005037
288,0.006475
289,0.004745
290,0.003995
291,0.006881
292,0.00686
293,0.004079
294,0.004668
295,0.004607
296,0.007015
297,0.00337
298,0.006177
299,0.006826
300,0.003884
301,0.007113
302,0.003342
303,0.007522
304,0.006772
305,0.004436
306,0.005203
307,0.006026
308,0.004949
309,0.006699
310,0.0061
311,0.003769
312,0.006413
313,0.007211
314,0.003208
315,0.005515
316,0.007301
317,0.003796
318,0.004376
319,0.00304
320,0.007078
321,0.003737
322,0.003515
323,0.003916
324,0.007522
325,0.00572
326,0.008329
327,0.006887
328,0.004155
329,0.007503
330,0.007181
331,0.00388
332,0.00823
333,0.004416
334,0.006863
335,0.004455
336,0.00339
337,0.005134
338,0.006013
339,0.003117
340,0.005416
341,0.005632
342,0.004858
343,0.00643
344,0.003619
345,0.00516
346,0.003634
347,0.005889
348,0.004637
349,0.003408
350,0.006335
351,0.005157
352,0.006622
353,0.005408
354,0.007013
355,0.006501
356,0.005081
357,0.005885
358,0.003614
359,0.002507
360,0.00525
361,0.004214
362,0.004384
363,0.005718
364,0.00508
365,0.006391
366,0.004559
367,0.004614
368,0.005846
369,0.007774
370,0.003267
371,0.009491
372,0.004689
373,0.004779
374,0.005633
375,0.005286
376,0.004052
377,0.003502
378,0.004838
379,0.004964
380,0.006136
381,0.00345
382,0.006969
