Iteration,IP_CPU_Time(ms)
0,0.0
1,0.112953
2,0.020897
3,0.011142
4,0.010072
5,0.012469
6,0.008295
7,0.011289
8,0.009062
9,0.00981
10,0.008377
11,0.010188
12,0.011943
13,0.007713
14,0.010075
15,0.007603
16,0.009948
17,0.009183
18,0.011404
19,0.009051
20,0.009367
21,0.009936
22,0.009974
23,0.0133
24,0.013455
25,0.008891
26,0.013895
27,0.01209
28,0.010489
29,0.012202
30,0.009555
31,0.011023
32,0.011173
33,0.009076
34,0.012798
35,0.008598
36,0.009839
37,0.011136
38,0.00833
39,0.010643
40,0.01109
41,0.011904
42,0.00989
43,0.012122
44,0.008766
45,0.008516
46,0.010951
47,0.010311
48,0.011164
49,0.011598
50,0.010193
51,0.01429
52,0.008841
53,0.012765
54,0.008965
55,0.010297
56,0.009948
57,0.009268
58,0.008773
59,0.009009
60,0.008245
61,0.010409
62,0.00884
63,0.011086
64,0.010095
65,0.010177
66,0.008018
67,0.009987
68,0.008958
69,0.00938
70,0.010998
71,0.009314
72,0.011818
73,0.009075
74,0.012705
75,0.007937
76,0.010619
77,0.010714
78,0.010699
79,0.012372
80,0.018504
81,0.007932
82,0.011218
83,0.011673
84,0.009156
85,0.009593
86,0.007186
87,0.008673
88,0.00729
89,0.010427
90,0.008838
91,0.008595
92,0.010094
93,0.008326
94,0.00882
95,0.007337
96,0.007894
97,0.008287
98,0.008906
99,0.010659
100,0.007292
101,0.009356
102,0.009114
103,0.00953
104,0.010989
105,0.007254
106,0.01052
107,0.010633
108,0.011151
109,0.01006
110,0.009592
111,0.009269
112,0.007265
113,0.009533
114,0.00705
115,0.008748
116,0.009605
117,0.008573
118,0.008498
119,0.007217
120,0.009604
121,0.010213
122,0.007742
123,0.009658
124,0.008189
125,0.009964
126,0.007018
127,0.009634
128,0.009183
129,0.010405
130,0.007323
131,0.011446
132,0.009582
133,0.00875
134,0.00905
135,0.009171
136,0.010429
137,0.00743
138,0.010358
139,0.010883
140,0.009798
141,0.009713
142,0.007752
143,0.010286
144,0.010205
145,0.007282
146,0.009355
147,0.008847
148,0.008428
149,0.008495
150,0.009001
151,0.008771
152,0.007927
