Iteration,IP_CPU_Time(ms)
0,0.0
1,0.112415
2,0.04198
3,0.036092
4,0.050121
5,0.030351
6,0.03514
7,0.044972
8,0.045883
9,0.04515
10,0.030359
11,0.04782
12,0.021525
13,0.038264
14,0.03544
15,0.024015
16,0.048968
17,0.035694
18,0.026401
19,0.051065
20,0.040686
21,0.051205
22,0.038057
23,0.031259
24,0.033774
25,0.028086
26,0.039186
27,0.032876
28,0.035361
29,0.063851
30,0.030365
31,0.027683
32,0.038851
33,0.033063
34,0.041266
35,0.0426
36,0.039211
37,0.037676
38,0.029081
39,0.031376
40,0.030509
41,0.041883
42,0.044215
43,0.045356
44,0.025832
45,0.034727
46,0.050604
47,0.046255
48,0.044679
49,0.031662
50,0.024971
51,0.035064
52,0.029358
53,0.045072
54,0.032319
55,0.023976
56,0.017379
57,0.022187
58,0.020114
59,0.03437
60,0.022748
61,0.027482
62,0.035968
63,0.026834
64,0.02331
65,0.025979
66,0.025907
67,0.024849
68,0.023294
69,0.028406
70,0.021376
71,0.021556
72,0.013672
73,0.028153
74,0.037761
75,0.02826
76,0.018272
77,0.043931
78,0.025774
79,0.023382
80,0.031278
81,0.028424
82,0.020544
83,0.027292
84,0.031518
85,0.025233
86,0.025037
87,0.028726
88,0.036837
89,0.048523
90,0.038852
91,0.042081
92,0.035775
93,0.041052
94,0.038515
95,0.043221
96,0.041567
97,0.04932
98,0.05007
99,0.029933
100,0.042588
101,0.02582
102,0.04161
103,0.038768
104,0.02159
105,0.034743
106,0.028538
107,0.015536
108,0.018752
109,0.026015
110,0.030579
111,0.027172
112,0.032415
113,0.036146
114,0.025079
115,0.033438
116,0.017906
117,0.020601
118,0.026399
119,0.016111
120,0.02015
121,0.027348
122,0.036873
123,0.015907
124,0.028967
125,0.041354
126,0.025658
127,0.019427
128,0.038501
129,0.040928
130,0.039995
131,0.046406
132,0.040751
133,0.032874
134,0.031849
135,0.023144
136,0.023882
137,0.032028
138,0.031838
139,0.027028
140,0.031017
141,0.03298
142,0.023625
143,0.047541
144,0.025792
145,0.043126
146,0.037201
147,0.029763
148,0.033606
149,0.036015
150,0.02572
151,0.02304
152,0.042232
153,0.032897
154,0.0243
155,0.020496
156,0.026032
157,0.050989
158,0.023371
159,0.034313
160,0.037195
161,0.028564
162,0.047515
163,0.019205
164,0.052569
165,0.04316
166,0.022864
167,0.041636
168,0.043042
169,0.033736
170,0.027059
171,0.032269
172,0.036429
173,0.034387
174,0.028245
175,0.027847
176,0.026473
177,0.033387
178,0.041057
179,0.034178
180,0.048481
181,0.033482
182,0.040578
183,0.035515
184,0.028209
185,0.037115
186,0.039707
187,0.039941
188,0.048613
189,0.040119
190,0.031646
191,0.034373
192,0.05171
193,0.051828
194,0.021841
195,0.03906
196,0.055696
197,0.035266
198,0.045159
199,0.035063
200,0.037029
201,0.042705
202,0.044618
203,0.051023
204,0.041549
205,0.043154
206,0.04346
207,0.056008
208,0.035972
209,0.039092
210,0.032762
211,0.051983
212,0.034331
213,0.030384
214,0.046045
215,0.04297
216,0.041078
217,0.045628
218,0.038377
219,0.03879
220,0.04376
221,0.053274
222,0.024046
223,0.043052
224,0.059304
225,0.040464
226,0.09962
