Iteration,IP_CPU_Time(ms)
0,0.0
1,0.072863
2,0.029927
3,0.013563
4,0.018317
5,0.011476
6,0.01598
7,0.011243
8,0.013012
9,0.012174
10,0.014801
11,0.012054
12,0.01105
13,0.011113
14,0.01165
15,0.015887
16,0.01102
17,0.021548
18,0.01115
19,0.012588
20,0.011494
21,0.016729
22,0.015442
23,0.015946
24,0.011892
25,0.016456
26,0.01154
27,0.013637
28,0.014532
29,0.011862
30,0.015768
31,0.017068
32,0.007602
33,0.015997
34,0.011594
35,0.012684
36,0.01319
37,0.017098
38,0.009377
39,0.010042
40,0.009278
41,0.00996
42,0.01589
43,0.011708
44,0.015096
45,0.019665
46,0.008672
47,0.008139
48,0.008456
49,0.010725
50,0.011169
51,0.01166
52,0.00804
53,0.012096
54,0.007828
55,0.008045
56,0.009933
57,0.00778
58,0.009002
59,0.008014
60,0.014016
61,0.007985
62,0.010534
63,0.01198
64,0.013045
65,0.013718
66,0.010342
67,0.010643
68,0.009509
69,0.010045
70,0.011532
71,0.011269
72,0.014304
73,0.020114
74,0.009896
75,0.009925
76,0.011617
77,0.011754
78,0.013718
79,0.012332
80,0.009671
81,0.011718
82,0.009873
83,0.015272
84,0.012031
85,0.015074
86,0.014944
87,0.012969
88,0.0115
89,0.013191
90,0.013227
91,0.011824
92,0.014923
93,0.015673
94,0.011152
95,0.015057
96,0.010265
97,0.011346
98,0.010891
99,0.011622
100,0.011247
101,0.011226
102,0.011002
103,0.013022
104,0.010533
105,0.009918
106,0.012672
107,0.01562
108,0.01119
109,0.013537
110,0.010837
111,0.011909
112,0.010218
113,0.012019
114,0.010868
115,0.010856
116,0.014316
117,0.011858
118,0.013356
119,0.012553
120,0.008276
121,0.011306
122,0.009818
123,0.008292
124,0.0131
125,0.012489
126,0.016023
127,0.009578
128,0.007691
129,0.010171
130,0.010254
131,0.015522
132,0.010499
133,0.010481
134,0.011242
135,0.011151
136,0.008015
137,0.009658
138,0.012037
139,0.010085
140,0.010741
141,0.012415
142,0.011552
143,0.011403
144,0.014219
145,0.012427
146,0.017004
147,0.013245
148,0.010824
149,0.01305
150,0.015192
151,0.012691
152,0.01136
153,0.011568
154,0.011148
155,0.015194
156,0.007202
157,0.009063
158,0.014408
159,0.010686
160,0.010317
161,0.008347
162,0.010343
163,0.011875
164,0.011086
165,0.011858
166,0.007774
167,0.008365
168,0.013307
169,0.008528
170,0.012886
171,0.01298
172,0.012054
173,0.011125
174,0.012353
175,0.010872
176,0.011496
177,0.012432
178,0.015328
179,0.010229
180,0.011584
181,0.011566
182,0.008475
183,0.009854
184,0.012918
185,0.011445
186,0.012266
187,0.00769
188,0.010855
189,0.012175
190,0.016807
191,0.01696
192,0.00835
193,0.009527
194,0.006744
195,0.00696
196,0.01055
197,0.010815
198,0.015194
199,0.008447
200,0.018476
201,0.012199
202,0.011514
203,0.010968
204,0.007844
205,0.021602
206,0.012422
207,0.011821
208,0.014569
209,0.013723
210,0.010072
211,0.01508
212,0.00966
213,0.013028
214,0.014187
215,0.011995
216,0.010685
217,0.009135
218,0.013239
219,0.011093
220,0.010712
221,0.011062
222,0.012901
223,0.009566
224,0.012581
225,0.029153
226,0.020218
227,0.011395
228,0.01119
229,0.01898
230,0.011216
231,0.010219
232,0.009814
233,0.01074
234,0.014321
235,0.009755
236,0.009409
237,0.009276
238,0.011437
239,0.011629
240,0.009643
241,0.01313
242,0.009271
243,0.019922
244,0.010472
245,0.015048
246,0.010809
247,0.01604
248,0.010167
249,0.011019
250,0.014993
251,0.012157
252,0.012867
253,0.011105
254,0.016174
255,0.010475
256,0.013857
257,0.008297
258,0.010872
259,0.013352
260,0.011943
261,0.011896
262,0.008473
263,0.010521
264,0.01118
265,0.011264
266,0.010827
267,0.009597
268,0.014337
269,0.009771
270,0.011792
271,0.010524
272,0.009013
273,0.012973
274,0.011697
275,0.00991
276,0.009999
277,0.01084
278,0.007338
279,0.010257
280,0.008674
281,0.01214
282,0.011776
283,0.010992
284,0.008833
285,0.007322
286,0.011127
287,0.014061
288,0.009617
289,0.015332
290,0.011096
291,0.010203
292,0.010744
293,0.010242
294,0.012158
295,0.012613
296,0.008952
297,0.012164
298,0.012145
299,0.014572
300,0.011327
301,0.010093
302,0.014404
303,0.009518
304,0.011081
305,0.011746
306,0.00882
307,0.011159
308,0.008781
309,0.012854
310,0.008973
311,0.010856
312,0.010152
313,0.009025
314,0.009974
315,0.00824
316,0.011992
317,0.014711
318,0.013234
319,0.013204
320,0.01115
321,0.012428
322,0.011754
323,0.009753
324,0.01281
325,0.012513
326,0.012081
327,0.013902
328,0.011525
329,0.010032
330,0.01312
331,0.007926
332,0.011122
333,0.012825
334,0.019166
335,0.01266
336,0.012699
337,0.012137
338,0.012466
339,0.011754
340,0.009862
341,0.011794
342,0.010642
343,0.013641
344,0.014104
345,0.011419
346,0.012987
347,0.013362
348,0.00937
349,0.010533
350,0.009397
351,0.010838
352,0.013477
353,0.012973
354,0.01186
355,0.014644
356,0.013803
357,0.011677
358,0.012385
359,0.008558
360,0.032221
361,0.012388
362,0.008379
363,0.0132
364,0.009298
365,0.012712
366,0.014391
367,0.020175
368,0.01149
369,0.013065
370,0.01064
371,0.011358
372,0.015775
373,0.010404
374,0.011548
375,0.007988
376,0.009538
377,0.015256
378,0.012863
379,0.011875
380,0.013244
381,0.014122
382,0.011813
383,0.01537
384,0.016004
385,0.009926
386,0.012785
387,0.014824
388,0.010937
389,0.010682
390,0.009868
391,0.013171
392,0.021416
393,0.014267
394,0.00902
395,0.010499
396,0.013827
397,0.015697
398,0.011835
399,0.01056
400,0.012211
401,0.011755
402,0.010371
403,0.010415
404,0.00948
405,0.009315
406,0.011867
407,0.008632
408,0.011727
409,0.012722
410,0.009976
411,0.010866
412,0.007389
413,0.012623
414,0.012036
415,0.01153
416,0.013903
417,0.012914
418,0.009327
419,0.010876
420,0.013245
421,0.011618
422,0.014474
423,0.013136
424,0.012628
425,0.021355
426,0.011102
427,0.009184
428,0.020849
429,0.012425
430,0.010496
431,0.019616
432,0.009782
433,0.015046
434,0.009535
435,0.014052
436,0.012042
437,0.013689
438,0.014712
439,0.018883
440,0.01362
441,0.014315
442,0.012561
443,0.013664
