Iteration,IP_CPU_Time(ms)
0,0.0
1,0.069591
2,0.021069
3,0.018435
4,0.022214
5,0.015392
6,0.02109
7,0.016816
8,0.021042
9,0.027032
10,0.024703
11,0.026512
12,0.012966
13,0.023353
14,0.016296
15,0.011139
16,0.018707
17,0.023647
18,0.012788
19,0.024545
20,0.02464
21,0.01415
22,0.022021
23,0.016407
24,0.018604
25,0.021691
26,0.023967
27,0.019517
28,0.025965
29,0.018673
30,0.022962
31,0.028424
32,0.016063
33,0.015126
34,0.02101
35,0.021273
36,0.017009
37,0.017915
38,0.018635
39,0.015541
40,0.013929
41,0.018106
42,0.017971
43,0.020211
44,0.01781
45,0.014697
46,0.015223
47,0.016322
48,0.024545
49,0.014011
50,0.016453
51,0.014413
52,0.012737
53,0.015886
54,0.019281
55,0.019255
56,0.01423
57,0.020822
58,0.02021
59,0.022089
60,0.014878
61,0.01717
62,0.009676
63,0.023448
64,0.019677
65,0.014309
66,0.012507
67,0.015313
68,0.015975
69,0.016426
70,0.016222
71,0.016448
72,0.017769
73,0.020774
74,0.013764
75,0.012928
76,0.009997
77,0.013406
78,0.010446
79,0.011329
80,0.01317
81,0.0136
82,0.010398
83,0.012422
84,0.013687
85,0.011233
86,0.010779
87,0.01678
88,0.014251
89,0.013953
90,0.013915
91,0.015335
92,0.01493
93,0.024961
94,0.022535
95,0.017191
96,0.019254
97,0.02501
98,0.018957
99,0.017979
100,0.017469
101,0.017529
102,0.015792
103,0.017528
104,0.011607
105,0.011314
106,0.015576
107,0.013371
108,0.028652
109,0.023172
110,0.018983
111,0.016299
112,0.01494
113,0.01621
114,0.015241
115,0.012329
116,0.01504
117,0.018189
118,0.013394
119,0.014273
120,0.012899
121,0.009234
122,0.011761
123,0.015423
124,0.012436
125,0.0141
126,0.012986
127,0.011541
128,0.016895
129,0.015533
130,0.013118
131,0.01311
132,0.013678
133,0.020435
134,0.015154
135,0.017642
136,0.017491
137,0.013652
138,0.020397
139,0.014547
140,0.020508
141,0.01187
142,0.018777
143,0.014967
144,0.014105
145,0.011501
146,0.022195
147,0.024206
148,0.012932
149,0.02267
150,0.019928
151,0.020789
152,0.037038
153,0.015178
154,0.023116
155,0.024904
156,0.020312
157,0.021229
158,0.020913
159,0.015148
160,0.023203
161,0.028127
162,0.01742
163,0.02122
164,0.019522
165,0.017504
166,0.021393
167,0.022638
168,0.024165
169,0.016422
170,0.020907
171,0.01852
172,0.015569
173,0.023306
174,0.018321
175,0.020414
176,0.016578
177,0.016987
178,0.0143
179,0.023961
180,0.01981
181,0.016059
182,0.024671
183,0.026671
184,0.017741
185,0.018386
186,0.016164
187,0.025756
188,0.026832
189,0.020981
190,0.013265
191,0.022269
192,0.01833
193,0.0204
194,0.014406
195,0.021601
196,0.015755
197,0.01892
198,0.017133
199,0.022928
200,0.014073
201,0.017797
202,0.033993
203,0.017859
204,0.018866
205,0.022148
206,0.013345
207,0.024516
208,0.022865
209,0.01232
210,0.021167
211,0.02045
212,0.017641
213,0.015867
214,0.017064
215,0.016449
216,0.022734
217,0.017665
218,0.02722
219,0.019877
220,0.016953
221,0.024988
222,0.016817
223,0.015811
224,0.023408
225,0.022254
226,0.016685
227,0.018544
228,0.01912
229,0.017345
230,0.018995
231,0.018923
232,0.011076
233,0.018426
234,0.021476
235,0.015809
236,0.018268
237,0.022325
238,0.015899
239,0.015504
240,0.01537
241,0.023483
242,0.01783
243,0.023783
244,0.012975
245,0.014899
246,0.015736
247,0.030932
248,0.019071
249,0.010972
250,0.019212
251,0.019571
252,0.016957
253,0.018278
254,0.018881
255,0.020706
256,0.019486
257,0.017147
258,0.024767
259,0.016641
260,0.017271
261,0.018147
262,0.022652
263,0.014468
264,0.017333
265,0.014047
266,0.021262
267,0.018085
268,0.020818
269,0.015249
270,0.024076
271,0.025617
272,0.016647
273,0.019118
274,0.020242
275,0.016576
276,0.021107
277,0.024055
278,0.021446
279,0.024538
280,0.020594
281,0.021814
282,0.018511
283,0.017528
284,0.015024
285,0.015772
286,0.025841
287,0.018209
288,0.020526
289,0.022501
290,0.023466
291,0.013421
292,0.014587
293,0.015671
294,0.018661
295,0.020814
296,0.017538
297,0.028107
298,0.01631
299,0.018068
300,0.016993
301,0.028312
302,0.013863
303,0.026058
304,0.028561
305,0.015774
306,0.014922
307,0.017903
308,0.015113
309,0.01347
310,0.01253
311,0.017445
312,0.021263
313,0.020437
314,0.020238
315,0.011075
316,0.020797
317,0.022851
318,0.019527
319,0.017488
320,0.01806
321,0.015347
322,0.018048
323,0.017846
324,0.029845
325,0.02081
326,0.016334
327,0.02148
328,0.019756
329,0.017319
330,0.017296
331,0.025063
332,0.021517
333,0.009294
334,0.018548
335,0.016711
336,0.020073
337,0.012629
338,0.020764
339,0.017492
340,0.017979
341,0.023434
342,0.011453
343,0.025793
344,0.020595
345,0.018548
346,0.009859
347,0.012211
348,0.025486
349,0.019581
350,0.015378
351,0.019914
352,0.019578
353,0.015931
354,0.020783
355,0.020521
356,0.025616
357,0.025677
358,0.015189
359,0.014295
360,0.021886
361,0.018709
362,0.020787
363,0.015887
364,0.017936
365,0.014596
366,0.018502
367,0.020048
368,0.01985
369,0.015796
370,0.018078
371,0.017329
372,0.017179
373,0.021833
374,0.0137
375,0.01875
376,0.021781
377,0.018927
378,0.019249
379,0.020893
380,0.020429
381,0.01929
382,0.020355
383,0.017021
384,0.017727
385,0.02058
386,0.020556
387,0.026467
388,0.023373
389,0.018441
390,0.01461
391,0.017417
392,0.016903
393,0.012694
394,0.024149
395,0.012791
396,0.01684
397,0.027015
398,0.014931
399,0.019385
400,0.024743
401,0.015461
402,0.010239
403,0.016386
404,0.020405
405,0.01671
406,0.02115
407,0.027617
408,0.023762
409,0.018522
410,0.014588
411,0.02525
412,0.020527
413,0.016511
414,0.023055
415,0.020176
416,0.018391
417,0.018821
418,0.030151
419,0.015904
420,0.020659
421,0.020416
422,0.020215
423,0.026525
424,0.03762
425,0.01703
426,0.020474
427,0.019525
428,0.021412
429,0.020656
430,0.016805
431,0.020024
432,0.014581
433,0.016668
434,0.019837
435,0.020742
436,0.017383
437,0.019258
438,0.014162
439,0.024595
440,0.023425
441,0.015154
442,0.01984
443,0.012953
444,0.01605
445,0.010073
446,0.016696
447,0.019748
448,0.021287
449,0.024584
450,0.016728
451,0.02429
452,0.030706
453,0.027327
454,0.024266
455,0.013549
456,0.020332
457,0.020892
458,0.011881
459,0.015637
460,0.013846
461,0.013081
462,0.013846
463,0.013272
464,0.010792
465,0.013312
466,0.010692
467,0.016365
468,0.016752
469,0.013949
470,0.013083
471,0.019639
472,0.016125
473,0.013576
474,0.013289
475,0.011811
476,0.012263
477,0.00681
478,0.01202
479,0.010364
480,0.009071
481,0.011388
482,0.014303
483,0.010724
484,0.011979
485,0.011393
486,0.01757
487,0.014724
488,0.014101
489,0.016469
490,0.016523
491,0.01426
492,0.01433
493,0.011251
494,0.013363
495,0.083749
496,0.017339
497,0.017194
498,0.011378
499,0.016124
500,0.014275
501,9.663746
