Iteration,IP_CPU_Time(ms)
0,0.0
1,0.22338
2,0.018996
3,0.012272
4,0.015154
5,0.017567
6,0.013003
7,0.009797
8,0.013995
9,0.013695
10,0.013469
11,0.016081
12,0.014329
13,0.012775
14,0.014753
15,0.014204
16,0.015868
17,0.017009
18,0.009699
19,0.010531
20,0.014265
21,0.015673
22,0.015575
23,0.014258
24,0.015077
25,0.01398
26,0.012852
27,0.016513
28,0.014687
29,0.012938
30,0.016651
31,0.015224
32,0.015205
33,0.014716
34,0.013296
35,0.016203
36,0.014366
37,0.015339
38,0.013837
39,0.015387
40,0.013075
41,0.012898
42,0.012818
43,0.015415
44,0.013878
45,0.014871
46,0.014254
47,0.014093
48,0.017304
49,0.018124
50,0.016822
51,0.017854
52,0.015229
53,0.01491
54,0.016781
55,0.014582
56,0.014628
57,0.015162
58,0.014498
59,0.016121
60,0.014398
61,0.012732
62,0.014687
63,0.014375
64,0.016647
65,0.014161
66,0.013512
67,0.016718
68,0.013972
69,0.013716
70,0.015088
71,0.014399
72,0.01306
73,0.014645
74,0.0164
75,0.014269
76,0.016164
77,0.016089
78,0.014589
79,0.016208
80,0.016152
81,0.019637
82,0.013923
83,0.016397
84,0.014459
85,0.016042
86,0.016826
87,0.01359
88,0.014292
89,0.017996
90,0.015224
91,0.015611
92,0.01368
93,0.014269
94,0.014487
95,0.015056
96,0.013725
97,0.01517
98,0.013362
99,0.014763
100,0.034839
101,0.017921
102,0.012075
103,0.015058
104,0.013107
105,0.015069
106,0.012032
107,0.01626
108,0.014889
109,0.017365
110,0.014824
111,0.016442
112,0.016551
113,0.016247
114,0.011883
115,0.012494
116,0.014559
117,0.014828
118,0.014149
119,0.015485
120,0.019559
121,0.01685
122,0.012517
123,0.018145
124,0.015537
125,0.017995
126,0.016676
127,0.016223
128,0.013464
129,0.020739
130,0.017202
131,0.015437
132,0.017391
133,0.015759
134,0.015226
135,0.012902
136,0.014132
137,0.019383
138,0.016485
139,0.015138
140,0.015504
141,0.01753
142,0.015248
143,0.017729
144,0.01644
145,0.015685
146,0.018345
147,0.018034
148,0.016893
149,0.016757
150,0.018061
151,0.016866
152,0.014306
153,0.016071
154,0.014482
155,0.019282
156,0.016989
157,0.014153
158,0.016368
159,0.015067
160,0.016311
161,0.017238
162,0.013481
163,0.016404
164,0.016265
165,0.015707
166,0.014653
167,0.017011
168,0.017395
169,0.015161
170,0.01913
171,0.019308
172,0.021511
173,0.015966
174,0.017859
175,0.016789
176,0.014641
177,0.018076
178,0.013317
179,0.012829
180,0.013773
181,0.018056
182,0.01437
183,0.017189
184,0.017493
185,0.017242
186,0.016251
187,0.015487
188,0.015957
189,0.018088
190,0.016478
191,0.016253
192,0.015998
193,0.01526
194,0.015796
195,0.015649
196,0.014478
197,0.014738
198,0.016407
199,0.01742
200,0.018926
201,0.015137
202,0.015605
203,0.017422
204,0.016267
205,0.014382
206,0.015373
207,0.014565
208,0.014673
209,0.013955
210,0.016508
211,0.014423
212,0.01578
213,0.015248
214,0.014799
215,0.012485
216,0.017464
217,0.016786
218,0.018099
219,0.015533
220,0.016009
221,0.017487
222,0.01695
223,0.018687
224,0.013939
225,0.016583
226,0.01846
227,0.016008
228,0.017831
229,0.013629
230,0.015369
231,0.01737
232,0.012462
233,0.015877
234,0.016043
235,0.114681
236,0.016838
237,0.031764
238,0.017889
239,0.014816
240,0.014627
241,0.013507
242,0.020253
243,0.014207
244,0.015425
245,0.016396
246,0.014348
247,0.016972
248,0.017677
249,0.018273
250,0.019265
251,0.015553
252,0.014874
253,0.015633
254,0.012598
255,0.014616
256,0.014593
257,0.014867
258,0.014449
259,0.016955
260,0.014049
261,0.015878
262,0.015146
263,0.015872
264,0.015999
265,0.014627
266,0.015637
267,0.015494
268,0.014345
269,0.012426
270,0.010558
271,0.011142
272,0.009735
273,0.010752
274,0.010061
275,0.008659
276,0.009331
277,0.011904
278,0.011606
279,0.011118
280,0.009796
281,0.010504
282,0.011083
283,0.011013
284,0.009511
285,0.010919
286,0.015152
287,0.010385
288,0.011189
289,0.012107
290,0.011474
291,0.012184
292,0.01193
293,0.011993
294,0.00997
295,0.009987
296,0.011838
297,0.012228
298,0.009067
299,0.012247
300,0.01039
301,0.012136
302,0.011131
303,0.010442
304,0.010635
305,0.010034
306,0.009039
307,0.012316
308,0.010652
309,0.014588
310,0.011361
311,0.010255
312,0.008823
313,0.010592
314,0.012355
315,0.010685
316,0.008774
317,0.010661
318,0.011688
319,0.011327
320,0.010825
321,0.010898
322,0.012423
323,0.009665
