Iteration,IP_CPU_Time(ms)
0,0.0
1,0.046806
2,0.010909
3,0.008409
4,0.008217
5,0.0074
6,0.009245
7,0.006789
8,0.007617
9,0.006901
10,0.00837
11,0.009774
12,0.008437
13,0.008878
14,0.008408
15,0.006579
16,0.006707
17,0.007058
18,0.008481
19,0.012433
20,0.008465
21,0.00559
22,0.007447
23,0.005901
24,0.006825
25,0.009167
26,0.006976
27,0.009477
28,0.006275
29,0.008394
30,0.00864
31,0.009407
32,0.007703
33,0.00834
34,0.009379
35,0.007457
36,0.007798
37,0.005247
38,0.007077
39,0.007993
40,0.009489
41,0.009614
42,0.008896
43,0.008177
44,0.010087
45,0.010199
46,0.007888
47,0.009056
48,0.0082
49,0.00705
50,0.010472
51,0.00797
52,0.006821
53,0.008526
54,0.009302
55,0.007791
56,0.006068
57,0.005943
58,0.006835
59,0.008513
60,0.008287
61,0.009849
62,0.00836
63,0.010692
64,0.006191
65,0.006881
66,0.005736
67,0.007393
68,0.00777
69,0.007939
70,0.006964
71,0.006374
72,0.008026
73,0.008115
74,0.005474
75,0.010171
76,0.008944
77,0.007241
78,0.006487
79,0.006806
80,0.00862
81,0.00674
82,0.010435
83,0.005231
84,0.006262
85,0.008127
86,0.006494
87,0.008132
88,0.0077
89,0.007982
90,0.009009
91,0.01017
92,0.007262
93,0.005797
94,0.008033
95,0.007979
96,0.007376
97,0.007003
98,0.007399
99,0.006891
100,0.006559
101,0.011967
102,0.008888
103,0.009421
104,0.007023
105,0.006002
106,0.005777
107,0.006728
108,0.008746
109,0.006078
110,0.007601
111,0.008678
112,0.006968
113,0.009569
114,0.005477
115,0.006531
116,0.010284
117,0.005821
118,0.007863
119,0.007199
120,0.007128
121,0.007362
122,0.007599
123,0.008508
124,0.008359
125,0.008337
126,0.00796
127,0.006695
128,0.006583
129,0.010829
130,0.00715
131,0.011532
132,0.009274
133,0.006339
134,0.011325
135,0.006576
136,0.005436
137,0.008411
138,0.006041
139,0.011653
140,0.011706
141,0.009697
142,0.010449
143,0.008664
144,0.008418
145,0.009858
146,0.011554
147,0.008943
148,0.010191
149,0.009515
150,0.010152
151,0.010401
152,0.0117
153,0.010039
154,0.006667
155,0.01012
156,0.01164
157,0.009507
158,0.011781
159,0.010006
160,0.014253
161,0.009271
162,0.012119
163,0.011395
164,0.007827
165,0.009887
166,0.013596
167,0.011694
168,0.015448
169,0.01302
170,0.00892
171,0.010193
172,0.011648
173,0.015463
174,0.013065
175,0.010773
176,0.012307
177,0.007938
178,0.013811
179,0.015346
180,0.013203
181,0.01119
182,0.012484
183,0.011157
184,0.011549
185,0.009937
186,0.011394
187,0.011286
188,0.014446
189,0.010297
190,0.012666
191,0.010917
192,0.008502
193,0.015382
194,0.00791
195,0.009855
196,0.01263
197,0.021947
198,0.00958
199,0.007339
200,0.012706
201,0.009269
202,0.006716
203,0.006498
204,0.005698
205,0.008536
206,0.007241
207,0.007591
208,0.005751
209,0.005835
210,0.005351
211,0.006664
212,0.007671
213,0.005646
214,0.008629
215,0.007759
216,0.008243
217,0.008096
218,0.011944
219,0.011171
220,0.013374
221,0.013122
222,0.011712
223,0.012339
224,0.012473
225,0.014041
226,0.011527
227,0.012122
228,0.013265
229,0.009681
230,0.013577
231,0.009242
232,0.010442
233,0.009466
234,0.009654
235,0.011065
236,0.012154
237,0.013307
238,0.017331
239,0.014481
240,0.010773
241,0.01177
242,0.009728
243,0.015431
244,0.011203
245,0.016441
246,0.014599
247,0.009833
248,0.014358
249,0.010574
250,0.01114
251,0.011351
252,0.014408
253,0.016904
254,0.019329
255,0.010197
256,0.014075
257,0.015705
258,0.012886
259,0.01406
260,0.014068
261,0.011513
262,0.011622
263,0.011229
264,0.014739
265,0.012809
266,0.014699
267,0.013697
268,0.012395
269,0.010187
270,0.008585
271,0.0138
272,0.012675
273,0.014361
274,0.012455
275,0.011239
276,0.010696
277,0.016575
278,0.017555
279,0.011302
280,0.008274
281,0.015185
282,0.013101
283,0.010623
284,0.0097
285,0.009131
286,0.010527
287,0.017961
288,0.016261
289,0.010419
290,0.010617
291,0.012314
292,0.01245
293,0.014448
294,0.013783
295,0.016222
296,0.012402
297,0.013242
298,0.010124
299,0.011145
300,0.011558
301,0.014378
302,0.013869
303,0.013229
304,0.009334
305,0.014008
306,0.014168
307,0.011017
308,0.012741
309,0.007587
310,0.010087
311,0.011011
312,0.011145
313,0.011676
314,0.009317
315,0.018934
316,0.014076
317,0.010007
318,0.013365
319,0.010633
320,0.009345
321,0.015255
322,0.010618
323,0.011691
324,0.007916
325,0.007301
326,0.007579
327,0.009781
328,0.007339
329,0.0072
330,0.006965
331,0.007264
332,0.005363
333,0.008003
334,0.008458
335,0.00594
336,0.006171
337,0.006895
338,0.008108
339,0.006828
340,0.005616
341,0.011291
342,0.008798
343,0.007628
344,0.00814
345,0.00697
346,0.006565
347,0.005705
348,0.008626
349,0.005329
350,0.006255
351,0.007045
352,0.006854
353,0.009671
354,0.006712
355,0.007405
356,0.007087
357,0.010298
358,0.007499
359,0.007197
360,0.00642
361,0.006708
362,0.006719
363,0.009569
364,0.006001
365,0.009473
366,0.006288
367,0.007265
368,0.007777
369,0.007301
370,0.009482
371,0.010523
372,0.011754
373,0.005709
374,0.006986
375,0.00834
376,0.011884
377,0.006074
378,0.007239
379,0.010081
380,0.006948
381,0.006962
382,0.006928
383,0.061532
384,0.008286
385,0.00717
386,0.007315
387,0.005235
388,0.007382
389,0.00621
390,0.019769
391,0.006197
392,0.010306
393,0.006055
394,0.005888
395,0.007569
396,0.006417
397,0.005336
398,0.007684
399,0.006612
400,0.007322
401,0.007174
402,0.007191
403,0.007986
404,0.008741
405,0.007481
406,0.005919
407,0.007071
408,0.005869
409,0.007687
410,0.006736
411,0.005573
412,0.009242
413,0.00776
414,0.00941
415,0.008456
416,0.008189
417,0.007477
418,0.007653
419,0.008471
420,0.007497
421,0.008211
422,0.006446
423,0.006857
424,0.006041
425,0.007454
426,0.007477
427,0.007402
428,0.00529
429,0.007662
430,0.008315
431,0.006788
432,0.006393
433,0.006908
434,0.007678
435,0.005693
436,0.005933
437,0.009818
438,0.007841
439,0.006231
440,0.008783
441,0.007443
442,0.006281
443,0.006183
444,0.006894
445,0.010192
446,0.009736
447,0.008385
448,0.005918
449,0.006876
450,0.006933
451,0.009062
452,0.006594
453,0.006886
454,0.007263
455,0.00837
456,0.009759
457,0.007232
458,0.008006
459,0.005871
460,0.008417
461,0.008114
462,0.005485
463,0.007553
464,0.006496
465,0.006047
466,0.007306
467,0.008957
468,0.009279
469,0.005985
470,0.007852
471,0.007272
472,0.007976
473,0.008609
474,0.007578
475,0.006581
476,0.007323
477,0.006172
478,0.007716
479,0.008471
480,0.009588
481,0.007461
482,0.006554
483,0.014508
484,0.006093
485,0.008611
486,0.007426
487,0.006739
488,0.006462
489,0.00662
490,0.007192
491,0.007065
492,0.006841
493,0.008039
494,0.007933
495,0.006627
496,0.00719
497,0.008958
498,0.006482
499,0.006577
500,0.006118
501,4.894469
