Iteration,IP_CPU_Time(ms)
0,0.0
1,1.819495
2,0.372937
3,0.993994
4,0.511403
5,0.517554
6,0.36998
7,0.496038
8,0.417501
9,0.553331
10,0.220586
11,0.428423
12,0.596385
13,0.31977
14,0.408627
15,0.314604
16,0.412241
17,0.310085
18,0.321929
19,0.370122
20,0.644127
21,0.736034
22,0.415409
23,0.350369
24,0.292434
25,0.188228
26,0.231534
27,0.335798
28,0.19156
29,0.298751
30,0.206221
31,0.207796
32,0.196622
33,0.208069
34,0.15359
35,0.205749
36,0.157665
37,0.151121
38,0.115866
39,0.138517
40,0.144231
41,0.125637
42,0.126501
43,0.169311
44,0.14645
45,0.181378
46,0.120894
47,0.273645
48,0.083209
49,0.152439
50,0.103307
51,2.677078
52,0.389758
53,0.128199
54,0.153418
55,0.109134
56,0.208491
57,0.08409
58,0.059544
59,0.083627
60,0.083419
61,0.308627
62,0.0787
63,0.15042
64,0.182106
65,0.206228
66,0.160682
67,0.140546
68,0.117152
69,0.101172
70,0.080261
71,0.07861
72,0.098305
73,0.087296
74,0.179778
75,0.163059
76,0.152994
77,0.119272
78,0.126189
79,0.118276
80,0.254488
81,0.113575
82,0.109732
83,0.082614
84,0.180609
85,0.256526
86,0.136491
87,0.124057
88,0.126336
89,0.17576
90,0.159633
91,0.134027
92,0.142543
93,0.118488
94,0.089434
95,0.155719
96,0.158987
97,0.120289
98,0.346115
99,0.119804
100,0.155009
101,0.120043
102,0.157737
103,0.117313
104,0.154146
105,0.145535
106,0.075477
107,0.165756
108,0.068963
109,0.076028
110,0.097559
111,0.067885
112,0.094376
113,0.06574
114,0.132139
115,0.085464
116,0.149478
117,0.11459
118,0.079259
119,0.11125
120,0.118389
121,0.0734
122,0.079037
123,0.060805
124,0.089202
125,0.070374
126,0.07879
127,0.078786
128,0.128085
129,0.068158
130,0.106757
131,0.109978
132,0.0937
133,0.069044
134,0.095941
135,0.051792
136,0.118986
137,0.100832
138,0.078248
139,0.082883
140,0.087652
141,0.104194
142,0.079996
143,0.080303
144,0.060433
145,0.090351
146,0.062767
147,0.088216
148,0.085314
149,0.074954
150,0.075993
151,0.090363
152,0.113146
153,0.056841
154,0.086216
155,0.065628
156,0.108035
157,0.142884
158,0.066505
159,0.140463
160,0.053154
161,0.174838
162,0.060752
163,0.076732
164,0.079326
165,0.060365
166,0.076007
167,0.053639
168,0.0728
169,0.086048
170,0.094758
171,0.071769
172,0.053695
173,0.056268
174,0.055679
175,0.082329
176,0.047066
177,0.078686
178,0.158396
179,0.054018
180,0.062489
181,0.062215
182,0.112765
183,0.208744
184,0.114492
185,0.18318
186,0.198989
187,0.082814
188,0.080106
189,0.078608
190,0.12335
191,0.146308
192,0.122424
193,0.141297
194,0.167003
195,0.114028
196,0.116563
197,0.125528
198,0.100389
199,0.141084
200,0.119449
201,0.087359
202,0.192406
203,0.118875
204,0.113762
205,0.094303
206,0.068488
207,0.06375
208,0.099578
209,0.082572
210,0.050839
211,0.057324
212,0.087646
213,0.056906
214,0.061494
215,0.090072
216,0.060382
217,0.062573
218,0.075587
219,0.045958
220,0.081736
221,0.11025
222,0.048652
223,0.115938
224,0.053316
225,0.163379
226,0.108494
227,0.132785
228,0.136244
229,0.107245
230,0.228718
231,0.138838
232,0.143733
233,0.10144
234,0.078831
235,0.076419
236,0.061451
237,0.13475
238,0.1359
239,0.08023
240,0.128483
241,0.103935
242,0.142273
243,0.139996
244,0.092536
245,0.126238
246,0.162956
247,0.125203
248,0.127383
249,0.104513
250,0.157774
251,0.211856
252,0.150045
253,0.165618
254,0.136696
255,0.211336
256,0.166864
257,0.23075
258,0.149595
259,0.209664
260,0.149245
