Iteration,IP_CPU_Time(ms)
0,0.0
1,0.043472
2,0.018558
3,0.048581
4,0.021603
5,0.030103
6,0.025399
7,0.094884
8,0.502744
9,0.49293
10,0.233341
11,0.214779
12,0.636514
13,0.449649
14,0.337253
15,0.340804
16,0.459904
17,0.374827
18,0.276194
19,0.355699
20,0.384324
21,0.266152
22,0.089543
23,0.119605
24,0.078927
25,0.046511
26,0.095797
27,0.060752
28,0.12374
29,0.15491
30,0.055201
31,0.120586
32,0.088395
33,0.083894
34,0.078127
35,0.977052
36,0.114359
37,0.379364
38,0.11166
39,0.063188
40,0.140176
41,0.10418
42,0.091063
43,0.303074
44,0.077648
45,0.099011
46,0.102718
47,0.083592
48,0.14207
49,0.104649
50,0.047598
51,0.057778
52,0.074026
53,0.181607
54,0.056861
55,0.090739
56,0.067321
57,0.104717
58,0.101435
59,0.081593
60,0.136877
61,0.072739
62,0.09374
63,0.16123
64,0.045723
65,0.086951
66,0.088281
67,0.118882
68,0.058475
69,0.044272
70,0.07657
71,0.116948
72,0.087523
73,0.194675
74,0.064688
75,0.073869
76,0.097337
77,0.060014
78,0.072104
79,0.056127
80,0.094385
81,0.139576
82,0.087136
83,0.109266
84,0.042857
85,0.064318
86,0.049106
87,0.102019
88,0.103881
89,0.078739
90,0.074502
91,0.076942
92,0.077844
93,0.078956
94,0.103181
95,0.107179
96,0.161451
97,0.119938
98,0.079278
99,0.079645
100,0.08355
101,0.088797
102,0.056052
103,0.100893
104,0.087428
105,0.047296
106,0.081924
107,0.096188
108,0.080686
109,0.114471
110,0.108446
111,0.073291
112,0.082727
113,0.089109
114,0.05301
115,0.079926
116,0.080673
117,0.05401
118,0.058141
119,0.055288
120,0.126798
121,0.092403
122,0.152648
123,0.07795
124,0.099315
125,0.07037
126,0.049897
127,0.067145
128,0.084457
129,0.072436
130,0.071751
131,0.073109
132,0.072285
133,0.065563
134,0.074363
135,0.062316
136,0.056284
137,0.076425
138,0.129366
139,0.055754
140,0.061643
141,0.058489
142,0.087358
143,0.053463
144,0.137032
145,0.097533
146,0.081997
147,0.153325
148,0.075668
149,0.067309
150,0.073606
151,0.109753
152,0.167718
153,0.094959
154,0.062951
155,0.099285
156,0.091999
157,0.074513
158,0.06431
159,0.073383
160,0.083185
161,0.0818
162,0.079116
163,0.096348
164,0.120995
165,0.136861
166,0.121724
167,0.081762
168,0.095181
169,0.055787
170,0.126023
171,0.07077
172,0.114444
173,0.057651
174,0.085024
175,0.050875
176,0.086481
177,0.047879
178,0.0734
179,0.086604
180,0.067397
181,0.102422
182,0.093228
183,0.089221
184,0.062293
185,0.099699
186,0.059566
187,0.107224
188,0.062581
189,0.054617
190,0.082384
191,0.075356
192,0.100544
193,0.079256
194,0.080703
195,0.088651
196,0.092022
197,0.096328
198,0.060162
199,0.077769
200,0.074343
201,0.056987
202,0.100719
203,0.047047
204,0.069105
205,0.055266
206,0.07303
207,0.049757
208,0.055664
209,0.114837
210,0.083676
211,0.085796
212,0.058744
213,0.09858
214,0.102345
215,0.066188
216,0.092476
217,0.040107
218,0.042918
219,0.07726
220,0.046979
221,0.034864
222,0.134029
223,0.145227
224,0.043172
225,0.050965
226,0.043668
227,0.058372
228,0.066248
229,0.048196
230,0.037232
231,0.094354
232,0.075695
233,0.043095
234,0.070717
235,0.062559
236,0.067161
237,0.042483
238,0.088691
239,0.100022
240,0.081558
241,0.051154
242,0.141464
243,0.069878
244,0.0343
245,0.113461
246,0.044514
247,0.070826
248,0.050364
249,0.041487
250,0.062875
251,0.038341
252,0.065462
253,0.043633
254,0.054494
255,0.060564
256,0.040073
257,0.08655
