Iteration,IP_CPU_Time(ms)
0,0.0
1,0.085657
2,0.082074
3,0.095963
4,0.095563
5,0.044972
6,0.065944
7,0.066132
8,0.078888
9,0.053807
10,0.043428
11,0.043607
12,0.045423
13,0.117854
14,0.117153
15,0.051893
16,0.105471
17,0.088938
18,0.070393
19,0.062628
20,0.096998
21,0.066863
22,0.105793
23,0.068413
24,0.045353
25,0.087094
26,0.117909
27,0.101775
28,0.102525
29,0.113596
30,0.066287
31,0.039717
32,0.05798
33,0.059475
34,0.072561
35,0.078383
36,0.063629
37,0.058249
38,0.073466
39,0.066626
40,0.061014
41,0.069492
42,0.070551
43,0.059027
44,0.08736
45,0.079731
46,0.085911
47,0.086416
48,0.077114
49,0.0937
50,0.091162
51,0.125281
52,0.050558
53,0.071124
54,0.079336
55,0.082683
56,0.041962
57,0.130274
58,0.071359
59,0.06784
60,0.045604
61,0.078395
62,0.070239
63,0.070438
64,0.042252
65,0.047977
66,0.062498
67,0.083972
68,0.046057
69,0.112079
70,0.095712
71,0.079789
72,0.046656
73,0.075976
74,0.068123
75,0.045081
76,0.035116
77,0.056053
78,0.069748
79,0.087507
80,0.072922
81,0.099119
82,0.072996
83,0.102047
84,0.093344
85,0.065631
86,0.053713
87,0.107724
88,0.039549
89,0.042714
90,0.050526
91,0.091997
92,0.057581
93,0.245239
94,0.067881
95,0.065189
96,0.081443
97,0.058334
98,0.107202
99,0.074008
100,0.112834
101,0.124022
102,0.06558
103,0.071162
104,0.066129
105,0.141017
106,0.053302
107,0.063922
108,0.0982
109,0.061844
110,0.069522
111,0.074794
112,0.04782
113,0.095698
114,0.064552
115,0.14332
116,0.089724
117,0.042101
118,0.077378
119,0.045564
120,0.042044
121,0.095579
122,0.049581
123,0.08991
124,0.067052
125,0.084622
126,0.062418
127,0.047831
128,0.124199
129,0.082186
130,0.075423
131,0.077473
132,0.065856
133,0.074904
134,0.077381
135,0.085324
136,0.056278
137,0.050857
138,0.053554
139,0.103279
140,0.053941
141,0.042231
142,0.052187
143,0.051696
144,0.101876
145,0.168291
146,0.047044
147,0.063744
148,0.073781
149,0.047979
150,0.035831
151,0.050882
152,0.085056
153,0.057156
154,0.072066
155,0.070842
156,0.069551
157,0.041251
158,0.071046
159,0.066931
160,0.12202
161,0.120189
162,0.05179
163,0.08534
164,0.044079
165,0.085581
166,0.115959
167,0.051879
168,0.082434
169,0.045497
170,0.042346
171,0.091437
172,0.055693
173,0.06566
174,0.109752
175,0.092929
176,0.118152
177,0.058102
178,0.056433
179,0.077615
180,0.08809
181,0.112205
182,0.069017
183,0.057779
184,0.057853
185,0.093068
186,0.093378
187,0.066512
188,0.089687
189,0.047769
190,0.06656
191,0.052986
192,0.082281
193,0.071794
194,0.075316
195,0.074878
196,0.107158
197,0.095403
198,0.146041
199,0.04767
200,0.048672
201,0.080813
202,0.04728
203,0.049914
204,0.07345
205,0.093074
206,0.11724
207,0.083064
208,0.049371
209,0.061287
210,0.060901
211,0.054773
212,0.039681
213,0.075832
214,0.078015
215,0.078111
216,0.058273
217,0.088454
218,0.039589
219,0.094146
220,0.112542
221,0.049696
222,0.052517
223,0.109548
224,0.100089
225,0.076563
226,0.080877
227,0.04946
228,0.112439
229,0.075862
230,0.047264
231,0.069363
232,0.072393
233,0.050002
234,0.047889
235,0.05052
236,0.077297
237,0.109622
238,0.057942
239,0.161246
240,0.104906
241,0.063106
242,0.083861
243,0.085986
244,0.054168
245,0.063455
246,0.082789
247,0.139837
248,0.050257
249,0.045494
250,0.047966
251,0.048527
252,0.048482
253,0.072093
254,0.085526
255,0.070734
256,0.072296
257,0.079837
258,0.049443
259,0.064142
260,0.059532
261,0.094493
262,0.082237
263,0.079565
264,0.116591
265,0.079634
266,0.057804
267,0.159412
268,0.058348
269,0.111992
270,0.090196
271,0.099977
272,0.043021
273,0.064443
274,0.080125
275,0.047157
276,0.111215
277,0.076392
278,0.068192
279,0.079129
280,0.048598
281,0.048523
282,0.059649
283,0.052119
284,0.119822
285,0.052618
286,0.0821
287,0.097
288,0.056031
289,0.054734
290,0.045908
291,0.075433
292,0.056202
293,0.051926
294,0.088529
295,0.07472
296,0.110125
297,0.10083
298,0.085541
299,0.044295
300,0.035917
301,0.081885
302,0.036979
303,0.075534
304,0.041475
305,0.078649
306,0.041252
307,0.066936
308,0.048565
309,0.076918
310,0.047776
311,0.040144
312,0.051855
313,0.158146
314,0.058294
315,0.037917
316,0.040852
317,0.058891
318,0.141471
319,0.041269
320,0.121925
321,0.039122
322,0.106497
323,0.049235
324,0.061122
325,0.052352
326,0.041205
327,0.058542
328,0.074619
329,0.079426
330,0.05068
331,0.03857
332,0.044808
333,0.052904
334,0.056766
335,0.089364
336,0.045672
337,0.059748
338,0.039906
339,0.073048
340,0.053997
341,0.06458
342,0.069494
343,0.059646
