Iteration,IP_CPU_Time(ms)
0,0.0
1,0.060125
2,0.021875
3,0.018314
4,0.017751
5,0.034967
6,0.040566
7,0.019421
8,0.024524
9,0.03218
10,0.026947
11,0.025189
12,0.03711
13,0.027821
14,0.016133
15,0.038347
16,0.04294
17,0.016352
18,0.01835
19,0.032571
20,0.028287
21,0.034343
22,0.052093
23,0.025431
24,0.027942
25,0.02127
26,0.032696
27,0.033093
28,0.026569
29,0.02934
30,0.031389
31,0.025003
32,0.028381
33,0.018831
34,0.024424
35,0.020801
36,0.037677
37,0.034123
38,0.057494
39,0.024861
40,0.030251
41,0.016928
42,0.017275
43,0.019711
44,0.015137
45,0.043929
46,0.018596
47,0.026625
48,0.031476
49,0.015622
50,0.028291
51,0.025981
52,0.028923
53,0.016373
54,0.035224
55,0.01894
56,0.022159
57,0.03442
58,0.027394
59,0.023068
60,0.032459
61,0.033889
62,0.030895
63,0.028995
64,0.019814
65,0.015643
66,0.027928
67,0.017404
68,0.013619
69,0.034395
70,0.015908
71,0.024198
72,0.017148
73,0.024896
74,0.02017
75,0.019647
76,0.01598
77,0.037177
78,0.042262
79,0.026164
80,0.016756
81,0.030665
82,0.023672
83,0.020293
84,0.028107
85,0.020099
86,0.020231
87,0.032306
88,0.028887
89,0.025981
90,0.021658
91,0.025131
92,0.018229
93,0.019247
94,0.023509
95,0.023921
96,0.039401
97,0.017355
98,0.016635
99,0.018626
100,0.039224
101,0.050863
102,0.021851
103,0.034028
104,0.035066
105,0.035047
106,0.023837
107,0.018758
108,0.019239
109,0.031778
110,0.042149
111,0.023271
112,0.017675
113,0.035711
114,0.014702
115,0.037566
116,0.023721
117,0.024622
118,0.027345
119,0.017972
120,0.037502
121,0.02449
122,0.03089
123,0.023895
124,0.034055
125,0.022385
126,0.017742
127,0.036125
128,0.038632
129,0.031875
130,0.014104
131,0.021446
132,0.026492
133,0.034196
134,0.033728
135,0.024407
136,0.031237
137,0.017796
138,0.023046
139,0.023863
140,0.016189
141,0.020639
142,0.027494
143,0.03488
144,0.040053
145,0.016707
146,0.028456
147,0.030574
148,0.024088
149,0.015951
150,0.035483
151,0.027789
152,0.029087
153,0.015535
154,0.020263
155,0.036307
156,0.023558
157,0.021121
158,0.045149
159,0.029095
160,0.035454
161,0.030613
162,0.034225
163,0.01839
164,0.042476
165,0.022229
166,0.028141
167,0.025398
168,0.047031
169,0.041797
170,0.02572
171,0.027172
172,0.03686
173,0.024235
174,0.032781
175,0.023443
176,0.047429
177,0.042894
178,0.028732
179,0.031564
180,0.020267
181,0.020215
182,0.018012
183,0.019338
184,0.020843
185,0.020384
186,0.028113
187,0.049539
188,0.023129
189,0.020862
190,0.018084
191,0.025193
192,0.024171
193,0.038526
194,0.019246
195,0.026856
196,0.026677
197,0.034734
198,0.027265
199,0.019163
200,0.01871
201,0.017191
202,0.021512
203,0.038896
204,0.02157
205,0.032474
206,0.022781
207,0.014974
208,0.016448
209,0.029086
210,0.038065
211,0.032843
212,0.018017
213,0.021641
214,0.052156
215,0.021024
216,0.025955
217,0.024055
218,0.014112
219,0.024713
220,0.021169
221,0.037933
222,0.022426
223,0.038553
224,0.050217
225,0.026896
226,0.028775
227,0.038168
228,0.03907
229,0.038763
230,0.041289
231,0.018098
232,0.021311
233,0.026398
234,0.019481
235,0.019573
236,0.04717
237,0.02758
238,0.035659
239,0.020402
240,0.043466
241,0.028705
242,0.01559
243,0.024265
244,0.020394
245,0.038556
246,0.018368
247,0.017233
248,0.030665
249,0.020067
250,0.036207
251,0.025353
252,0.042879
253,0.019845
254,0.016436
255,0.018054
256,0.016045
257,0.023241
258,0.01881
259,0.026571
260,0.020817
261,0.044941
262,0.048279
263,0.026066
264,0.02232
265,0.016596
266,0.03401
267,0.028859
268,0.021939
269,0.021888
270,0.037833
271,0.030531
272,0.025628
273,0.036325
274,0.042186
275,0.015149
276,0.023797
277,0.032025
278,0.017234
279,0.016898
280,0.041325
281,0.027699
282,0.036462
283,0.033663
284,0.043456
285,0.03475
286,0.015246
287,0.026654
288,0.026112
289,0.025706
290,0.024249
291,0.026522
292,0.023935
293,0.02221
294,0.027872
295,0.035831
296,0.035333
297,0.014349
298,0.020024
299,0.029296
300,0.023225
301,0.033711
302,0.021413
303,0.028349
304,0.027524
305,0.021344
306,0.014543
307,0.041827
308,0.033024
309,0.021508
310,0.022449
311,0.03092
312,0.019505
313,0.0166
314,0.017065
315,0.017014
316,0.027495
317,0.041079
318,0.012691
319,0.029272
320,0.036623
321,0.020111
322,0.025881
323,0.016395
324,0.026623
325,0.022882
326,0.0364
327,0.023499
328,0.030189
329,0.022357
330,0.029141
331,0.016602
332,0.018484
333,0.017767
334,0.022053
335,0.02076
336,0.039188
337,0.032748
338,0.032597
339,0.032273
340,0.019165
341,0.023363
342,0.014291
343,0.023041
344,0.020987
345,0.037678
346,0.023961
347,0.023981
348,0.029397
349,0.021668
350,0.03694
351,0.016007
352,0.021171
353,0.030335
354,0.018038
355,0.042077
356,0.040089
357,0.023855
358,0.016334
359,0.016949
360,0.032601
361,0.017219
362,0.034816
363,0.034339
364,0.027983
365,0.018377
366,0.021823
367,0.025205
368,0.042127
369,0.019087
370,0.048996
371,0.028095
372,0.022553
373,0.017542
374,0.013572
375,0.022146
376,0.021507
377,0.017455
378,0.01913
379,0.013861
380,0.028761
381,0.035537
382,0.017871
383,0.020132
384,0.017507
385,0.025448
386,0.048311
387,0.038861
388,0.032448
389,0.030294
390,0.030231
391,0.018506
392,0.013885
393,0.026893
394,0.041773
395,0.027396
396,0.020626
397,0.03765
398,0.029645
399,0.041429
400,0.024358
401,0.039247
402,0.025558
403,0.03854
404,0.03588
405,0.022023
406,0.033373
407,0.036453
408,0.031937
409,0.018779
410,0.027454
411,0.025641
412,0.023059
413,0.022926
414,0.026824
415,0.02901
416,0.027367
417,0.0262
418,0.040361
419,0.03482
420,0.021281
421,0.018208
422,0.04067
423,0.033961
424,0.032251
425,0.038616
426,0.028428
427,0.036178
428,0.028771
429,0.039981
430,0.025124
431,0.037058
432,0.023593
433,0.028174
434,0.032601
435,0.04485
436,0.014878
437,0.024207
438,0.026367
439,0.039433
440,0.024275
441,0.031375
442,0.021749
443,0.015477
444,0.023781
445,0.020876
446,0.028345
447,0.030821
448,0.029326
449,0.020116
450,0.017003
451,0.01969
452,0.01928
453,0.021094
454,0.017322
455,0.020347
456,0.018287
457,0.02123
458,0.034957
459,0.051446
460,0.025092
461,0.020756
462,0.032643
463,0.020863
464,0.020047
465,0.023082
466,0.040458
467,0.027072
468,0.032564
469,0.021911
470,0.018019
471,0.046777
472,0.024303
473,0.02387
474,0.026462
475,0.02791
476,0.0324
477,0.022087
478,0.028093
479,0.039167
480,0.031578
481,0.019289
482,0.017667
483,0.046302
484,0.040111
485,0.032574
486,0.029005
487,0.027144
488,0.020603
489,0.031075
490,0.049223
491,0.019942
492,0.0249
493,0.017908
494,0.036828
495,0.039842
496,0.030525
497,0.029568
498,0.023023
499,0.036834
500,0.017069
501,14.132461
