Iteration,IP_CPU_Time(ms)
0,0.0
1,0.153721
2,0.065382
3,0.158601
4,0.083646
5,0.087447
6,0.106262
7,0.06398
8,0.115382
9,0.077246
10,0.132432
11,0.050505
12,0.110997
13,0.125677
14,0.065562
15,0.07139
16,0.092538
17,0.08984
18,0.146929
19,0.12749
20,0.065964
21,0.120185
22,0.090038
23,0.062275
24,0.053057
25,0.043335
26,0.052904
27,0.078687
28,0.047918
29,0.057025
30,0.046061
31,0.095428
32,0.052601
33,0.0752
34,0.06024
35,0.12062
36,0.080975
37,0.081651
38,0.181895
39,0.093568
40,0.080585
41,0.121424
42,0.109199
43,0.079186
44,0.105917
45,0.060718
46,0.114435
47,0.051144
48,0.09182
49,0.051152
50,0.05349
51,0.139841
52,0.067859
53,0.056273
54,0.08877
55,0.079752
56,0.10544
57,0.04217
58,0.091994
59,0.123765
60,0.173167
61,0.138534
62,0.053785
63,0.090091
64,0.047183
65,0.052563
66,0.091181
67,0.103608
68,0.066735
69,0.089928
70,0.115574
71,0.106866
72,0.153286
73,0.104963
74,0.081081
75,0.116572
76,0.115208
77,0.056082
78,0.089729
79,0.159208
80,0.100593
81,0.092834
82,0.043675
83,0.102631
84,0.103069
85,0.07549
86,0.054085
87,0.08096
88,0.09993
89,0.094913
90,0.069875
91,0.089934
92,0.121999
93,0.146584
94,0.110527
95,0.072643
96,0.044817
97,0.160511
98,0.087325
99,0.047844
100,0.135497
101,0.102104
102,0.114498
103,0.087643
104,0.151602
105,0.043417
106,0.115582
107,0.15702
108,0.125153
109,0.125341
110,0.144739
111,0.0539
112,0.043317
113,0.136507
114,0.151252
115,0.104795
116,0.074622
117,0.048067
118,0.066534
119,0.074444
120,0.207237
121,0.038063
122,0.139538
123,0.131935
124,0.054265
125,0.114815
126,0.043547
127,0.063796
128,0.114291
129,0.158247
130,0.1193
131,0.085035
132,0.053101
133,0.067036
134,0.107396
135,0.0513
136,0.062544
137,0.084802
138,0.046324
139,0.156647
140,0.081428
141,0.073022
142,0.069565
143,0.040607
144,0.104904
145,0.13293
146,0.174256
147,0.055917
148,0.051924
149,0.1266
