Iteration,IP_CPU_Time(ms)
0,0.0
1,0.030415
2,0.01166
3,0.023978
4,0.018098
5,0.013295
6,0.019947
7,0.016127
8,0.010372
9,0.015136
10,0.018602
11,0.011148
12,0.023439
13,0.017384
14,0.025161
15,0.017781
16,0.013198
17,0.020155
18,0.020382
19,0.035501
20,0.020048
21,0.010723
22,0.010124
23,0.041347
24,0.020496
25,0.016365
26,0.025792
27,0.016858
28,0.016479
29,0.02109
30,0.015672
31,0.01618
32,0.023164
33,0.013521
34,0.022525
35,0.009961
36,0.013975
37,0.017807
38,0.012467
39,0.017632
40,0.026246
41,0.023838
42,0.01779
43,0.019606
44,0.019365
45,0.011009
46,0.025462
47,0.020983
48,0.0136
49,0.01323
50,0.015977
51,0.022226
52,0.019231
53,0.017286
54,0.030431
55,0.01509
56,0.020311
57,0.017276
58,0.019847
59,0.034231
60,0.019774
61,0.013506
62,0.02573
63,0.01527
64,0.011648
65,0.023523
66,0.017282
67,0.021161
68,0.01694
69,0.026346
70,0.012099
71,0.021721
72,0.01541
73,0.012736
74,0.02121
75,0.016741
76,0.026207
77,0.026485
78,0.017315
79,0.027747
80,0.016358
81,0.010296
82,0.016477
83,0.02053
84,0.021609
85,0.014334
86,0.023764
87,0.029768
88,0.016148
89,0.019937
90,0.015655
91,0.022284
92,0.024603
93,0.026235
94,0.011062
95,0.024242
96,0.016395
97,0.022254
98,0.014957
99,0.013606
100,0.022563
101,0.033673
102,0.02617
103,0.020459
104,0.012856
105,0.010309
106,0.026367
107,0.032388
108,0.019916
109,0.01763
110,0.009744
111,0.02295
112,0.024868
113,0.010503
114,0.029081
115,0.015781
116,0.019206
117,0.026211
118,0.019457
119,0.013507
120,0.018125
121,0.021911
122,0.01063
123,0.033436
124,0.033951
125,0.027323
126,0.022446
127,0.020133
128,0.01788
129,0.020587
130,0.024159
131,0.013109
132,0.025761
133,0.017416
134,0.03331
135,0.011339
136,0.009572
137,0.013707
138,0.010303
139,0.0245
140,0.023221
141,0.016382
142,0.017795
143,0.020474
144,0.018131
145,0.011546
146,0.011635
147,0.017716
148,0.01343
149,0.027936
150,0.013081
151,0.016571
152,0.018588
153,0.022108
154,0.014598
155,0.014022
156,0.02135
157,0.018426
158,0.019883
159,0.021872
160,0.012646
161,0.020898
162,0.011025
163,0.009388
164,0.015929
165,0.033931
166,0.020063
167,0.017479
168,0.023158
169,0.032231
170,0.029555
171,0.012591
172,0.018103
173,0.016419
174,0.012497
175,0.019222
176,0.024986
177,0.027559
178,0.026766
179,0.010479
180,0.015139
181,0.018602
182,0.011779
183,0.023681
184,0.024743
185,0.023088
186,0.027584
187,0.009936
188,0.017295
189,0.031462
190,0.010383
191,0.021824
192,0.017828
193,0.019241
194,0.02118
195,0.030716
196,0.020572
197,0.025029
198,0.02028
199,0.017472
200,0.018969
201,0.012125
202,0.030889
203,0.01003
204,0.016358
205,0.020038
206,0.025503
207,0.020105
208,0.012104
209,0.019786
210,0.010373
211,0.014851
212,0.013761
213,0.018193
214,0.02589
215,0.010757
216,0.029104
217,0.015704
218,0.014321
219,0.009165
220,0.030885
221,0.015611
222,0.012258
223,0.017193
224,0.022248
225,0.015967
226,0.02472
227,0.017757
228,0.014558
229,0.022772
230,0.020369
231,0.0252
232,0.024991
233,0.01542
234,0.020857
235,0.015966
236,0.013528
237,0.017559
238,0.023753
239,0.01306
240,0.012443
241,0.013287
242,0.023981
243,0.028669
244,0.009203
245,0.021986
246,0.022786
247,0.02813
248,0.021689
249,0.009596
250,0.027514
251,0.012331
252,0.021539
253,0.026313
254,0.016452
255,0.019602
256,0.010418
257,0.015609
258,0.01788
259,0.021931
260,0.025334
261,0.016225
262,0.010827
263,0.02617
264,0.015589
265,0.019417
266,0.017672
267,0.018714
268,0.020429
269,0.015134
270,0.025631
271,0.022154
272,0.020689
273,0.017028
274,0.018975
275,0.015526
276,0.033218
277,0.011934
278,0.031086
279,0.018558
280,0.012966
281,0.016611
282,0.019386
283,0.014076
284,0.016436
285,0.020632
286,0.027141
287,0.021795
288,0.027682
289,0.023829
290,0.021474
291,0.018851
292,0.026204
293,0.018426
294,0.020229
295,0.025998
296,0.028504
297,0.015344
298,0.010535
299,0.011827
300,0.023091
301,0.029964
302,0.012621
303,0.023319
304,0.024691
305,0.020534
306,0.018907
307,0.010925
308,0.016053
309,0.022606
310,0.028236
311,0.016537
312,0.017343
313,0.012674
314,0.016786
315,0.013682
316,0.024885
317,0.014561
318,0.01955
319,0.016928
320,0.01938
321,0.018094
322,0.026341
323,0.012754
324,0.019988
325,0.016932
326,0.019592
327,0.021118
328,0.020886
329,0.021092
330,0.034323
331,0.011573
332,0.03052
333,0.020925
334,0.022165
335,0.015796
336,0.027802
337,0.016627
338,0.01622
339,0.016248
340,0.023256
341,0.013905
342,0.0133
343,0.017639
344,0.016776
345,0.019694
346,0.014912
347,0.017303
348,0.011165
349,0.016496
350,0.014494
351,0.015023
352,0.015345
353,0.024174
354,0.026395
355,0.037191
356,0.025213
357,0.016535
358,0.020482
359,0.022921
360,0.027909
361,0.013537
362,0.019548
363,0.018411
364,0.018617
365,0.027891
366,0.017701
367,0.016341
368,0.015628
369,0.016745
370,0.025579
371,0.01081
372,0.019303
373,0.016652
374,0.020546
375,0.015443
376,0.015677
377,0.019784
378,0.014313
379,0.033452
380,0.008781
381,0.016919
382,0.019804
383,0.011845
384,0.032525
385,0.013737
386,0.011504
387,0.022534
388,0.015892
389,0.015649
390,0.013724
391,0.018419
392,0.016127
393,0.030032
394,0.023808
395,0.016364
396,0.012298
397,0.020789
398,0.023383
399,0.020225
400,0.020686
401,0.012992
402,0.014048
403,0.02402
404,0.016612
405,0.013331
406,0.021468
407,0.030454
408,0.020135
409,0.021334
410,0.018418
411,0.021147
412,0.023552
413,0.012567
414,0.01976
415,0.022782
416,0.021106
417,0.019973
418,0.010458
419,0.022981
420,0.025179
421,0.019437
422,0.019508
423,0.012278
424,0.017385
425,0.017951
426,0.00973
427,0.021346
428,0.010635
429,0.019291
430,0.007747
431,0.013273
432,0.017801
433,0.011434
434,0.024399
435,0.014694
436,0.019977
437,0.021722
438,0.016038
439,0.022557
440,0.017688
441,0.015117
442,0.01935
443,0.016728
444,0.011957
445,0.022676
446,0.021072
447,0.010867
448,0.021035
449,0.024023
450,0.022995
451,0.016427
452,0.011909
453,0.015914
454,0.015579
455,0.014025
456,0.01987
457,0.033403
458,0.013739
459,0.012492
460,0.02925
461,0.015894
462,0.017841
463,0.017804
464,0.023681
465,0.013579
466,0.010367
467,0.016682
468,0.026715
469,0.010549
470,0.019424
471,0.014522
472,0.018658
473,0.016663
474,0.011419
475,0.029112
476,0.01374
477,0.011404
478,0.016358
479,0.015216
480,0.020947
481,0.0304
482,0.013652
483,0.009512
484,0.022494
485,0.02313
486,0.022315
487,0.016747
488,0.021629
489,0.021545
490,0.031413
491,0.027606
492,0.021102
493,0.023326
494,0.015316
495,0.016863
496,0.020692
497,0.0266
498,0.014407
499,0.017904
500,0.029271
501,10.027447
