Iteration,IP_CPU_Time(ms)
0,0.0
1,0.352883
2,0.335894
3,0.486201
4,0.605393
5,0.301994
6,0.313861
7,0.539668
8,0.580771
9,0.643769
10,1.156837
11,0.507573
12,0.409478
13,0.856332
14,0.369602
15,0.400165
16,0.325659
17,0.634291
18,0.428311
19,0.095653
20,0.106409
21,0.056458
22,0.076211
23,0.071957
24,0.038595
25,0.098268
26,0.067838
27,0.067104
28,0.044813
29,0.047168
30,0.045626
31,0.057734
32,0.067247
33,0.057895
34,0.071729
35,0.047516
36,0.070595
37,0.037836
38,0.075445
39,0.046203
40,0.068881
41,0.091581
42,0.111577
43,0.041155
44,0.075705
45,0.064588
46,0.070786
47,0.051835
48,0.043464
49,0.073676
50,0.040199
51,0.046143
52,0.041369
53,0.059133
54,0.062567
55,0.055867
56,0.094171
57,0.056342
58,0.059615
59,0.062043
60,0.076197
61,0.098795
62,0.052709
63,0.061
64,0.039212
65,0.044737
66,0.058376
67,0.098316
68,0.096251
69,0.081
70,0.067531
71,0.064609
72,0.089135
73,0.069299
74,0.07287
75,0.142007
76,0.100734
77,0.075906
78,0.098931
79,0.121814
80,0.069024
81,0.114756
82,0.070197
83,0.08921
84,0.056151
85,0.054363
86,0.053763
87,0.047255
88,0.059346
89,0.116713
90,0.0503
91,0.036973
92,0.07189
93,0.046052
94,0.063243
95,0.048167
96,0.053316
97,0.042064
98,0.082198
99,0.066979
100,0.054477
101,0.075782
102,0.053772
103,0.039001
104,0.057709
105,0.047836
106,0.043973
107,0.057961
108,0.062965
109,0.042839
110,0.091073
111,0.048619
112,0.106961
113,0.069695
114,0.04
115,0.067793
116,0.041344
117,0.125524
118,0.044654
119,0.06365
120,0.106314
121,0.083638
122,0.060441
123,0.050536
124,0.071845
125,0.045
126,0.040576
127,0.128358
128,0.042999
129,0.06686
130,0.180628
131,0.089142
132,0.078228
133,0.068557
134,0.048409
135,0.117097
136,0.098898
137,0.069086
138,0.079881
139,0.144816
140,0.061797
141,0.10488
142,0.091494
143,0.049478
144,0.08099
145,0.131753
146,0.07076
147,0.064442
148,0.132976
149,0.062613
150,0.085319
151,0.068856
152,0.078299
153,0.092761
154,0.06787
155,0.094422
156,0.081754
157,0.209539
158,0.09403
159,0.089949
160,0.08901
161,0.075297
162,0.104481
163,0.074661
164,0.124951
165,0.088851
166,0.225165
167,0.097815
168,0.120612
169,0.085801
170,0.112395
171,0.092605
172,0.087313
173,0.154761
174,0.129769
175,0.098974
176,0.120926
177,0.183858
178,0.10048
179,0.077077
180,0.104952
181,0.120689
182,0.144567
183,0.090482
184,0.139076
185,0.090237
186,0.111788
187,0.087906
188,0.11589
189,0.113678
190,0.086641
191,0.113656
192,0.079916
193,0.138349
194,0.092921
195,0.076313
196,0.068313
197,0.135248
198,0.121118
199,0.149818
200,0.108987
201,0.098882
202,0.076251
203,0.104975
204,0.082645
205,0.08504
206,0.110955
207,0.073836
208,0.09951
209,0.07905
210,0.153563
211,0.079721
212,0.124771
213,0.06093
214,0.116448
215,0.110918
216,0.082096
217,0.081088
218,0.093046
219,0.06594
220,0.087681
221,0.08931
222,0.103197
223,0.090798
224,0.118288
225,0.094803
226,0.095127
227,0.07927
228,0.115416
229,0.074098
230,0.078678
231,0.084407
232,0.109409
233,0.163943
234,0.148561
235,0.089226
236,0.088717
237,0.069987
238,0.06177
239,0.101888
240,0.113352
241,0.073472
242,0.053819
243,0.047037
244,0.071588
245,0.074627
246,0.045046
247,0.05818
248,0.082292
249,0.060146
250,0.04491
251,0.060893
252,0.053397
253,0.063195
254,0.07828
255,0.088699
256,0.068792
257,0.081262
258,0.076344
259,0.096101
260,0.072384
261,0.071736
262,0.056297
263,0.055363
264,0.056246
265,0.05646
266,0.093031
267,0.064034
268,0.063937
269,0.052375
270,0.048886
271,0.038818
272,0.084117
273,0.054509
274,0.037028
275,0.086516
276,0.09224
277,0.050343
278,0.066414
279,0.092109
280,0.064286
281,0.077256
282,0.091496
283,0.061204
284,0.036093
285,0.048244
286,0.057042
287,0.061999
288,0.03681
289,0.03696
290,0.056969
291,0.059448
292,0.038558
293,0.057234
294,0.052602
295,0.054434
296,0.062666
297,0.072318
298,0.086044
299,0.069485
300,0.050062
301,0.046032
302,0.074565
303,0.050668
304,0.085266
305,0.063994
306,0.051709
307,0.086503
308,0.061856
309,0.073518
310,0.079313
311,0.206434
312,0.124065
313,0.086694
314,0.135754
315,0.091781
316,0.136456
317,0.133887
318,0.170422
319,0.176554
320,0.111522
321,0.076003
322,0.071041
323,0.069796
324,0.091992
325,0.145462
326,0.113394
327,0.075825
328,0.106141
329,0.064012
330,0.10919
331,0.108322
332,0.085623
333,0.074674
334,0.097677
335,0.076245
336,0.082376
337,0.095649
338,0.149852
339,0.087009
340,0.089716
341,0.128008
342,0.098745
343,0.071403
344,0.07948
345,0.074708
346,0.100548
347,0.05108
348,0.061349
349,0.09351
350,0.070269
351,0.090931
352,0.088688
353,0.137821
354,0.107961
355,0.081329
356,0.066614
357,0.077431
358,0.093557
359,0.14273
360,0.094488
361,0.111355
362,0.1134
363,0.092064
364,0.141074
365,0.139324
366,0.101009
367,0.099393
368,0.086614
369,0.060956
370,0.068729
371,0.076838
372,0.117418
373,0.084798
374,0.079302
375,0.110622
376,0.087737
377,0.087941
378,0.120263
379,0.103445
380,0.105874
381,0.073617
382,0.108534
383,0.06962
384,0.082509
385,0.107373
386,0.087482
387,0.082643
388,0.064033
389,0.123069
390,0.077452
391,0.057891
392,0.095835
393,0.123188
394,0.0956
395,0.064477
396,0.106173
397,0.115185
398,0.130612
399,0.086313
400,0.099383
401,0.072159
402,0.066053
403,0.117522
404,0.072522
405,0.075358
406,0.083861
407,0.195057
408,0.062548
409,0.087241
410,0.08083
411,0.045044
412,0.06395
413,0.045865
414,0.045621
415,0.072226
416,0.04622
417,0.060005
418,0.076447
419,0.074095
420,0.069886
421,0.082245
422,0.073685
423,0.085434
424,0.04012
425,0.080287
426,0.057644
427,0.092298
428,0.118471
429,0.080502
430,0.085396
431,0.072181
432,0.112728
433,0.066592
434,0.064137
435,0.092728
436,0.062133
437,0.120656
438,0.100502
439,0.074627
440,0.118901
441,0.049967
442,0.058367
443,0.054916
444,0.0464
445,0.059357
446,0.049593
447,0.061605
448,0.036505
449,0.065769
450,0.0823
451,0.040741
452,0.046421
453,0.033929
454,0.054705
455,0.061038
456,0.041937
457,0.065888
458,0.050859
459,0.046363
460,0.042811
461,0.058337
462,0.055575
463,0.072623
464,0.06834
465,0.045696
466,0.056321
467,0.049613
468,0.057679
469,0.057463
470,0.071905
471,0.074778
472,0.052251
473,0.092925
474,0.147723
475,0.044272
476,0.057221
477,0.08213
478,0.044129
479,0.045608
480,0.051247
481,0.04563
482,0.032687
483,0.057362
484,0.060748
485,0.035784
486,0.056475
487,0.038099
488,0.089587
489,0.037487
490,0.074079
491,0.053833
492,0.037857
493,0.092149
494,0.039798
495,0.095363
496,0.046064
497,0.051342
498,0.067452
499,0.092258
500,0.092623
501,49.24655
