Iteration,IP_CPU_Time(ms)
0,0.0
1,0.419067
2,0.275277
3,0.175968
4,0.124681
5,0.321057
6,0.17746
7,0.213983
8,0.12299
9,0.128803
10,0.253585
11,0.208451
12,0.121162
13,0.16542
14,0.166759
15,0.196374
16,0.22764
17,0.169131
18,0.213898
19,0.118795
20,0.136838
21,0.131303
22,0.194276
23,0.166234
24,0.212228
25,0.196233
26,0.12372
27,0.184249
28,0.237865
29,0.197646
30,0.169527
31,0.122477
32,0.171987
33,0.145344
34,0.256967
35,0.135816
36,0.176829
37,0.165209
38,0.15429
39,0.122046
40,0.287251
41,0.180737
42,0.317289
43,0.255774
44,0.189775
45,0.154613
46,0.179429
47,0.142787
48,0.122052
49,0.170513
50,0.219095
51,0.142047
52,0.114409
53,0.176556
54,0.178358
55,0.156202
56,0.134403
57,0.15484
58,0.177726
59,0.284913
60,0.124674
61,0.159575
62,0.126368
63,0.165043
64,0.176626
65,0.227505
66,0.068351
67,0.368873
68,0.069009
69,0.090554
70,0.09839
71,0.068984
72,0.092189
73,0.160708
74,0.151093
75,0.120561
76,0.083618
77,0.08134
78,0.176083
79,0.113261
80,0.105067
81,0.228746
82,0.066023
83,0.140065
84,0.099946
85,0.075666
86,0.08262
87,0.085539
88,0.089061
89,0.074758
90,0.08142
91,0.228017
92,0.31531
93,0.120415
94,0.205262
95,0.242975
96,0.104063
97,0.111404
98,0.174333
99,0.264814
100,0.132288
101,0.29673
102,0.213174
103,0.125721
104,0.118741
105,0.148797
106,0.215642
107,0.288899
108,0.121739
109,0.135217
110,0.124268
111,0.191602
112,0.19227
113,0.191976
114,0.098252
115,0.150314
116,0.095005
117,0.118179
118,0.209254
119,0.145783
120,0.1642
121,0.104364
122,0.287855
123,0.235822
124,0.277967
125,0.177616
126,0.18092
127,0.147011
128,0.100069
129,0.124867
130,0.355595
131,0.2036
132,0.150234
133,0.356722
134,0.166229
135,0.175906
136,0.230731
137,0.227348
138,0.229579
139,0.189196
140,0.18883
141,0.188963
142,0.1628
143,0.135194
144,0.330838
145,0.199717
146,0.209707
147,0.152689
148,0.274658
149,0.142637
150,0.244585
151,0.108109
152,0.139901
153,0.134006
154,0.152884
155,0.128804
156,0.164124
157,0.169539
158,0.224148
159,0.098248
160,0.151547
161,0.19324
162,0.334534
163,0.266756
164,0.269003
165,0.171388
166,0.119115
167,0.311664
168,0.186187
169,0.124012
170,0.184359
171,0.201116
172,0.139489
173,0.18651
174,0.260036
175,0.136271
176,0.177178
177,0.377169
178,0.248004
179,0.228447
180,0.218863
181,0.152627
182,0.111732
183,0.210972
184,0.182334
185,0.172198
186,0.108183
187,0.107718
188,0.284239
189,0.100815
190,0.229388
191,0.129363
192,0.117158
193,0.12075
194,0.252517
195,0.210275
196,0.159351
197,0.207479
198,0.133911
199,0.199423
200,0.182091
201,0.21262
202,0.161383
203,0.144821
204,0.148897
205,0.226669
206,0.174552
207,0.108248
208,0.140331
209,0.10679
210,0.225878
211,0.188811
212,0.134446
213,0.308417
214,0.109817
215,0.148344
216,0.20178
217,0.136823
218,0.252894
219,0.185198
220,0.130929
221,0.305035
222,0.134414
223,0.19457
224,0.130217
225,0.235841
226,0.134651
227,0.139937
228,0.245738
229,0.24006
230,0.155032
231,0.239531
232,0.107155
233,0.17461
234,0.239436
235,0.199158
236,0.167052
237,0.146509
238,0.195113
239,0.161939
240,0.150981
241,0.200554
242,0.212189
243,0.179157
244,0.155859
245,0.259507
246,0.228861
247,0.21739
248,0.152357
249,0.178696
250,0.386586
251,0.141184
252,0.186149
253,0.150069
254,0.165035
255,0.153445
256,0.148265
257,0.362531
258,0.103801
259,0.200892
260,0.203525
261,0.155492
262,0.139453
263,0.298616
264,0.174462
265,0.178272
266,0.208801
267,0.086096
268,0.038964
269,0.067024
270,0.070665
271,0.083221
272,0.098345
273,0.08491
274,0.076198
275,0.071324
276,0.078249
277,0.09353
278,0.055064
279,0.079926
280,0.03021
281,0.059185
282,0.046133
283,0.056433
284,0.051213
285,0.055571
286,0.04467
287,0.060082
288,0.030479
289,0.029317
290,0.077561
291,0.054565
292,0.071403
293,0.056374
294,0.036915
295,0.059866
296,0.087752
297,0.085554
298,0.056353
299,0.036066
300,0.033959
301,0.055705
302,0.05437
303,0.055037
304,0.063224
305,0.090512
306,0.07858
307,0.045675
308,0.050331
309,0.042766
310,0.034509
311,0.041204
312,0.031839
313,0.072925
314,0.100797
315,0.08442
316,0.050842
317,0.05131
318,0.095884
319,0.041699
320,0.055086
321,0.052028
322,0.034581
323,0.065607
324,0.073364
325,0.069115
326,0.086665
327,0.063995
328,0.050536
329,0.034983
330,0.040313
331,0.044838
332,0.119704
333,0.049223
334,0.048391
335,0.031205
336,0.044644
337,0.039368
338,0.078056
339,0.070052
340,0.044719
341,0.075486
342,0.068582
343,0.075271
344,0.060888
345,0.058701
346,0.044262
347,0.061703
348,0.060387
349,0.038647
350,0.037387
351,0.06794
352,0.035805
353,0.083594
354,0.064505
355,0.038513
356,0.031631
357,0.057347
358,0.047102
359,0.032755
360,0.058299
361,0.035298
362,0.036472
363,0.046514
364,0.051861
365,0.060094
366,0.04985
367,0.060482
368,0.062123
369,0.05863
370,0.05458
371,0.071179
372,0.070723
373,0.074298
374,0.075205
375,0.061608
376,0.071161
377,0.030932
378,0.046322
379,0.034158
380,0.056773
381,0.04616
382,0.039896
383,0.068289
384,0.072056
385,0.053421
386,0.052472
387,0.064255
388,0.057048
389,0.11792
390,0.0616
391,0.062337
392,0.135685
393,0.071966
394,0.065089
395,0.072094
396,0.08156
397,0.0945
398,0.046307
399,0.05433
400,0.050456
401,0.06638
402,0.097076
403,0.034794
404,0.032063
405,0.053398
406,0.043215
407,0.051908
408,0.040237
409,0.074678
410,0.063878
411,0.04698
412,0.101255
413,0.055531
414,0.034567
415,0.06338
416,0.071337
417,0.071319
418,0.066859
419,0.066955
420,0.044566
421,0.066768
422,0.05675
423,0.074694
424,0.045636
425,0.050002
426,0.061108
427,0.057769
428,0.05002
429,0.06642
430,0.031181
431,0.052407
432,0.075017
433,0.042914
434,0.040945
435,0.078867
436,0.063905
437,0.06852
438,0.055796
439,0.057994
440,0.035649
