Iteration,IP_CPU_Time(ms)
0,0.0
1,1.473493
2,3.091826
3,0.713768
4,0.811336
5,0.435821
6,0.165117
7,0.592586
8,0.901505
9,0.791789
10,0.422622
11,0.187788
12,0.891833
13,0.246589
14,0.255277
15,0.54219
16,1.360074
17,0.363163
18,0.402139
19,0.285027
20,0.321305
21,0.460897
22,0.511854
23,0.486055
24,0.254178
25,0.276772
26,0.364787
27,0.310071
28,0.730329
29,0.454947
30,0.259949
31,0.672913
32,0.337159
33,0.284219
34,0.565284
35,0.356208
36,0.695542
37,0.788805
38,0.382594
39,0.175372
40,0.683237
41,0.245925
42,0.225274
43,0.465608
44,0.292296
45,0.184054
46,0.318933
47,0.600686
48,0.412188
49,0.478211
50,0.228862
51,0.336112
52,0.393268
53,0.381073
54,0.361007
55,0.992594
56,1.143027
57,0.422847
58,0.220062
59,0.454784
60,0.479845
61,0.313132
62,0.256595
63,0.211872
64,0.17914
65,0.918343
66,0.277141
67,0.273178
68,0.323348
69,0.86674
70,0.53798
71,0.386689
72,0.419665
73,0.503346
74,0.725928
75,0.96788
76,0.829597
77,0.776615
78,1.65537
79,2.078689
80,2.087417
81,1.374682
82,0.878168
83,0.387843
84,0.621103
85,0.79351
86,0.673481
87,1.084141
88,0.413525
89,0.720299
90,1.170949
91,0.591744
92,0.98716
93,1.033822
94,0.423902
95,1.046316
96,0.406983
97,1.521458
98,0.721133
99,0.376903
100,0.965251
101,0.438146
102,0.856723
103,0.739939
104,0.940216
105,0.586917
106,0.619978
107,0.196518
108,0.41225
109,0.368279
110,0.245017
111,1.451279
112,0.410597
113,0.499263
114,0.805766
115,0.96678
116,0.649251
117,0.399139
118,0.583982
119,0.342128
120,0.832452
121,0.417264
122,0.757978
123,0.179409
124,0.328618
125,0.650443
126,0.323415
127,0.38507
128,0.33194
129,0.942228
130,1.075941
131,0.38742
132,0.53855
133,0.410711
134,0.183307
135,0.293085
136,0.162472
137,0.156223
138,0.08716
139,0.232047
140,0.193378
141,0.154262
142,0.126264
143,0.183915
144,0.333808
145,0.441678
146,0.348421
147,0.19298
148,0.121061
149,0.386102
150,0.172593
151,0.133089
152,0.189759
153,0.106693
154,0.22302
155,0.12724
156,0.208831
157,0.148385
158,0.329728
159,0.182633
160,0.257014
161,0.191204
162,0.186001
163,0.165724
164,0.248656
165,0.117254
166,0.193803
167,0.196983
168,0.452757
169,0.251423
170,0.257089
171,0.109867
172,0.218613
173,0.182649
174,0.153021
175,0.165736
176,0.212549
177,0.219352
178,0.463272
179,0.147858
180,0.186948
181,0.259553
182,0.101848
183,0.179664
184,0.33987
185,0.157999
186,0.502453
187,0.234975
188,0.131054
189,0.104702
190,0.147214
191,0.276424
192,0.121643
193,0.301707
194,0.251374
195,0.085359
196,0.157294
197,0.32211
198,0.192111
199,0.216422
200,0.116033
201,0.138059
202,0.303445
203,0.336719
204,0.238165
205,0.139631
206,0.184185
207,0.215488
208,0.203691
209,0.154096
210,0.271571
211,0.164587
212,0.237544
213,0.17535
214,0.207645
215,0.300011
216,0.285209
217,0.240143
218,0.146891
219,0.527864
220,0.364519
221,0.138022
222,0.132334
223,0.178203
224,0.166288
225,0.229727
226,0.271562
227,0.153784
228,0.348096
229,0.163359
230,0.246803
231,0.171085
232,0.19794
233,0.279544
234,0.422151
235,0.21908
236,0.336643
237,0.205263
238,0.131371
239,0.119061
240,0.224547
241,0.266195
242,0.124465
243,0.177882
244,0.267683
245,0.121589
246,0.256755
247,0.229991
248,0.121559
249,0.234033
250,0.214641
251,0.141214
252,0.275814
253,0.297302
254,0.171166
255,0.364774
256,0.253687
257,0.156659
258,0.160725
259,0.212048
260,0.21306
261,0.149669
262,0.192682
263,0.11544
264,0.255054
265,0.361264
266,0.216663
267,0.122812
268,0.160421
269,0.114907
270,0.357299
271,0.180852
272,0.326092
273,0.167366
274,0.239263
275,0.103485
276,0.267112
277,0.163211
278,0.265582
279,0.262681
280,0.180453
281,0.286278
282,0.443909
283,0.133412
284,0.283802
285,0.146787
286,0.143682
287,0.192491
288,0.170409
289,0.18943
290,0.200296
291,0.313405
292,0.195092
293,0.133387
294,0.158699
295,0.123067
296,0.165946
297,0.271506
298,0.31383
299,0.191251
300,0.18046
301,0.298605
302,0.150583
303,0.158762
304,0.212028
305,0.186281
306,0.241766
307,0.345476
308,0.148145
309,0.175283
310,0.302532
311,0.261439
312,0.339978
313,0.226694
314,0.156808
315,0.322654
316,0.239462
317,0.164717
318,0.407491
319,0.132783
320,0.193559
321,0.175464
322,0.291138
323,0.162782
324,0.162168
325,0.162488
326,0.213834
327,0.343016
328,0.172626
329,0.303585
330,0.31743
331,0.302675
332,0.146229
333,0.21053
334,0.276147
335,0.107934
336,0.262718
337,0.119239
338,0.162291
339,0.205271
340,0.237231
341,0.345626
342,0.158679
343,0.246766
344,0.284375
345,0.164101
346,0.26484
347,0.211084
348,0.249614
349,0.234626
350,0.197049
351,0.11775
352,0.23912
353,0.147175
354,0.33269
355,0.154631
356,0.469564
357,0.119432
358,0.253201
359,0.274002
360,0.401504
361,0.170488
362,0.131083
363,0.159492
