Iteration,IP_CPU_Time(ms)
0,0.0
1,0.059627
2,0.035335
3,0.037331
4,0.025527
5,0.061794
6,0.027451
7,0.036299
8,0.048405
9,0.053228
10,0.043341
11,0.086466
12,0.029902
13,0.056061
14,0.033366
15,0.042345
16,0.037559
17,0.035546
18,0.055761
19,0.048418
20,0.026924
21,0.025311
22,0.041672
23,0.076537
24,0.028927
25,0.031802
26,0.023355
27,0.076857
28,0.03798
29,0.045752
30,0.033503
31,0.080283
32,0.059287
33,0.036611
34,0.096094
35,0.066765
36,0.061517
37,0.024013
38,0.081694
39,0.053476
40,0.026527
41,0.049486
42,0.040652
43,0.025457
44,0.03117
45,0.035161
46,0.055713
47,0.05147
48,0.034325
49,0.049961
50,0.024308
51,0.030097
52,0.035953
53,0.059081
54,0.03234
55,0.0552
56,0.023459
57,0.03501
58,0.070712
59,0.039097
60,0.028453
61,0.060841
62,0.027882
63,0.062351
64,0.067673
65,0.050076
66,0.025063
67,0.058377
68,0.056395
69,0.037804
70,0.026705
71,0.02847
72,0.043466
73,0.0493
74,0.113433
75,0.023781
76,0.025456
77,0.048087
78,0.030282
79,0.047953
80,0.037661
81,0.044534
82,0.090991
83,0.033902
84,0.078694
85,0.10638
86,0.035319
87,0.035259
88,0.052927
89,0.034665
90,0.039226
91,0.090116
92,0.049541
93,0.091843
94,0.062196
95,0.101148
96,0.044746
97,0.035055
98,0.04413
99,0.062509
100,0.075252
101,0.095778
102,0.040583
103,0.04739
104,0.102401
105,0.05739
106,0.062771
107,0.037792
108,0.031404
109,0.087757
110,0.025196
111,0.039848
112,0.049121
113,0.067163
114,0.027525
115,0.03963
116,0.09194
117,0.051981
118,0.057284
119,0.041163
120,0.043027
121,0.052673
122,0.052633
123,0.049116
124,0.027105
125,0.062302
126,0.030964
127,0.028488
128,0.063061
129,0.102479
130,0.025752
131,0.0519
132,0.046901
133,0.056025
134,0.032247
135,0.034761
136,0.034613
137,0.064431
138,0.09615
139,0.030496
140,0.049257
141,0.053242
142,0.047798
143,0.039118
144,0.046913
145,0.073822
146,0.040967
147,0.029576
148,0.031234
149,0.06737
150,0.039944
151,0.033689
152,0.055556
153,0.0247
154,0.024965
155,0.060064
156,0.085557
157,0.034884
158,0.065903
159,0.062194
160,0.05219
161,0.069371
162,0.081658
163,0.027405
164,0.032693
165,0.056521
166,0.029792
167,0.043243
168,0.046308
169,0.067091
170,0.034123
171,0.034701
172,0.058878
173,0.079857
174,0.072407
175,0.075355
176,0.055413
177,0.067537
178,0.059361
179,0.05907
180,0.066277
181,0.049013
182,0.051896
183,0.055489
184,0.033356
185,0.05265
186,0.040693
187,0.028189
188,0.030671
189,0.031848
190,0.029323
191,0.03534
192,0.026131
193,0.070523
194,0.060352
195,0.055506
196,0.033968
197,0.046393
198,0.02615
199,0.027159
200,0.042648
201,0.100773
202,0.028555
203,0.028541
204,0.048767
205,0.037175
206,0.049461
207,0.06594
208,0.025112
209,0.042899
210,0.030505
211,0.028456
212,0.032328
213,0.027244
214,0.05355
215,0.092346
216,0.077595
217,0.037043
218,0.04325
219,0.07044
220,0.040955
221,0.037082
222,0.082294
223,0.0381
224,0.05989
225,0.056704
226,0.046062
227,0.066064
228,0.066374
229,0.063328
230,0.027114
231,0.023476
232,0.050967
233,0.046749
234,0.031074
235,0.026124
236,0.046126
237,0.06215
238,0.029351
239,0.036144
240,0.028511
241,0.077479
242,0.098881
243,0.068295
244,0.06521
245,0.033553
246,0.031124
247,0.033909
248,0.052579
249,0.050908
250,0.038286
251,0.026476
252,0.059846
253,0.034748
254,0.066256
255,0.063844
256,0.075088
257,0.041933
258,0.039193
259,0.030504
260,0.0535
261,0.031696
262,0.032281
263,0.040576
264,0.045516
265,0.050923
266,0.09589
267,0.035933
268,0.057074
269,0.063073
270,0.087847
271,0.044091
272,0.035387
273,0.037981
274,0.029785
275,0.047459
276,0.055567
277,0.04211
278,0.05373
279,0.071572
280,0.064544
281,0.064986
282,0.022694
283,0.026523
284,0.032151
285,0.046972
286,0.02842
287,0.043938
288,0.028038
289,0.0449
290,0.05452
291,0.024617
292,0.035375
293,0.077665
294,0.060996
295,0.026095
296,0.044782
297,0.063173
298,0.03994
299,0.063606
300,0.035727
301,0.065333
302,0.07553
303,0.030617
304,0.027048
305,0.085676
306,0.047524
307,0.044
308,0.057977
309,0.054219
310,0.030313
311,0.049309
312,0.06209
313,0.055307
314,0.027222
315,0.025858
316,0.04828
317,0.03618
318,0.066676
319,0.124591
320,0.079673
321,0.049104
322,0.034338
323,0.08084
324,0.118184
325,0.056517
326,0.024715
327,0.041824
328,0.032073
329,0.042493
330,0.098267
331,0.060545
332,0.053161
333,0.034714
334,0.042343
335,0.048336
336,0.052381
337,0.031805
338,0.064069
339,0.045589
340,0.050296
341,0.047912
342,0.025776
343,0.050833
344,0.049527
345,0.064667
346,0.027623
347,0.062942
348,0.026696
349,0.024276
350,0.02884
351,0.05044
352,0.025637
353,0.06376
354,0.074143
355,0.064708
356,0.049215
357,0.031793
358,0.037286
359,0.037082
360,0.050753
361,0.071227
362,0.054663
363,0.077778
364,0.054777
365,0.03463
366,0.060112
367,0.040749
368,0.032193
369,0.076101
370,0.05534
371,0.063067
372,0.02693
373,0.033627
374,0.094693
375,0.055664
376,0.032131
377,0.033402
378,0.031037
379,0.109445
380,0.029546
381,0.039427
382,0.030146
383,0.062413
384,0.057824
385,0.080045
386,0.029968
387,0.032767
388,0.044784
389,0.055372
390,0.035127
391,0.056687
392,0.062213
393,0.030109
394,0.055809
395,0.03391
396,0.088119
397,0.05391
398,0.04832
399,0.071986
400,0.060959
401,0.030056
402,0.069095
403,0.054636
404,0.032962
405,0.062753
406,0.029634
407,0.066819
408,0.026302
409,0.023511
410,0.027341
411,0.032373
412,0.032837
413,0.058301
414,0.026833
415,0.029904
416,0.058309
417,0.05198
418,0.026329
419,0.034379
420,0.064206
421,0.047725
422,0.058767
423,0.096104
424,0.042654
425,0.051481
426,0.085657
427,0.053656
428,0.028616
429,0.033565
430,0.073735
431,0.080815
432,0.080996
433,0.047445
434,0.031372
435,0.068005
436,0.075862
437,0.054243
438,0.025128
439,0.04757
440,0.063438
441,0.056857
442,0.061454
443,0.071339
444,0.111951
445,0.026001
446,0.053585
447,0.042195
448,0.031167
449,0.037009
450,0.03434
451,0.024675
452,0.036292
453,0.028447
454,0.044395
455,0.060156
456,0.068497
457,0.069706
458,0.046743
459,0.070553
460,0.084314
461,0.071473
462,0.049795
463,0.031689
464,0.044165
465,0.036645
466,0.046842
467,0.061147
468,0.028727
469,0.052948
470,0.075725
471,0.05942
472,0.02912
473,0.025297
474,0.042422
475,0.036323
476,0.042775
477,0.066883
478,0.038772
479,0.040806
480,0.078256
481,0.063587
482,0.032012
483,0.091567
484,0.043669
485,0.038134
486,0.053499
487,0.0757
488,0.053178
489,0.053967
490,0.062448
491,0.049858
492,0.081276
493,0.098838
494,0.027327
495,0.053854
496,0.045085
497,0.050451
498,0.080161
499,0.034893
500,0.024822
501,25.273803
