Iteration,IP_CPU_Time(ms)
0,0.0
1,0.293374
2,0.111852
3,0.145358
4,0.098397
5,0.119324
6,0.279659
7,0.17449
8,0.246626
9,0.343604
10,0.165097
11,0.085084
12,0.173113
13,0.220658
14,0.094632
15,0.161091
16,0.10993
17,0.344065
18,0.300328
19,0.130261
20,0.086842
21,0.231572
22,0.215
23,0.132144
24,0.134792
25,0.140092
26,0.135953
27,0.323775
28,0.139895
29,0.133839
30,0.102206
31,0.094067
32,0.26489
33,0.264508
34,0.323164
35,0.119911
36,0.173673
37,0.085379
38,0.145702
39,0.415982
40,0.123617
41,0.104172
42,0.093328
43,0.11392
44,0.211838
45,0.151476
46,0.185446
47,0.140069
48,0.209304
49,0.102301
50,0.1294
51,0.14002
52,0.132582
53,0.149543
54,0.080651
55,0.1295
56,0.338972
57,0.108914
58,0.157883
59,0.107507
60,0.163361
61,0.128113
62,0.202198
63,0.156017
64,0.156301
65,0.247335
66,0.141068
67,0.149993
68,0.204378
69,0.151247
70,0.22705
71,0.111013
72,0.121229
73,0.248535
74,0.105672
75,0.204664
76,0.13134
77,0.188493
78,0.172011
79,0.194088
80,0.441315
81,0.088359
82,0.203826
83,0.184969
84,0.239709
85,0.117849
86,0.211714
87,0.405357
88,0.168154
89,0.124593
90,0.241345
91,0.144637
92,0.227865
93,0.21729
94,0.157522
95,0.178368
96,0.249083
97,0.08549
98,0.132284
99,0.229738
100,0.105023
101,0.172355
102,0.288867
103,0.213396
104,0.231463
105,0.160475
106,0.36829
107,0.163488
108,0.304441
109,0.241441
110,0.381334
111,0.117566
112,0.265845
113,0.434837
114,0.131589
115,0.097886
116,0.194907
117,0.101086
118,0.156223
119,0.369562
120,0.122411
121,0.110376
122,0.16984
123,0.165241
124,0.207247
125,0.241264
126,0.125681
127,0.169999
128,0.142167
129,0.278967
130,0.262975
131,0.38912
132,0.218469
133,0.180381
134,0.193039
135,0.277857
136,0.242093
137,0.175709
138,0.243799
139,0.111765
140,0.082876
141,0.145549
142,0.210921
143,0.576144
144,0.108648
145,0.187214
146,0.204966
147,0.253237
148,0.088231
149,0.22573
150,0.199232
151,0.197599
152,0.109261
153,0.099362
154,0.162455
155,0.237697
156,0.101282
157,0.201733
158,0.174651
159,0.116864
160,0.205253
161,0.097512
162,0.183219
163,0.162949
164,0.194996
165,0.100275
166,0.07525
167,0.189757
168,0.196086
169,0.094593
170,0.127871
171,0.20286
172,0.122558
173,0.20244
174,0.144238
175,0.07054
176,0.171247
177,0.131403
178,0.256564
179,0.176969
180,0.09601
181,0.234568
182,0.079697
183,0.10422
184,0.135941
185,0.125506
186,0.306435
187,0.092149
188,0.127586
189,0.116594
190,0.219449
191,0.155064
192,0.071432
193,0.242723
194,0.188859
195,0.113489
196,0.123432
197,0.111916
198,0.159785
199,0.173701
200,0.094428
201,0.163234
202,0.187303
203,0.167463
204,0.165441
205,0.165752
206,0.133058
207,0.195426
208,0.143704
209,0.14396
210,0.167806
211,0.176168
212,0.179349
213,0.137722
214,0.15954
215,0.260678
216,0.067594
217,0.11344
218,0.191666
219,0.125087
220,0.148639
221,0.193524
222,0.107603
223,0.164933
224,0.18104
225,0.151434
226,0.221568
227,0.112322
228,0.142171
229,0.116983
230,0.156656
231,0.251811
232,0.066225
233,0.153818
234,0.219707
235,0.127894
236,0.128249
237,0.160035
238,0.176157
239,0.103215
240,0.212611
241,0.295033
242,0.192869
243,0.107144
244,0.177439
245,0.193592
246,0.111657
247,0.149173
248,0.244611
249,0.301085
250,0.214208
251,0.288109
252,0.167077
253,0.098184
254,0.18112
255,0.125765
256,0.264486
257,0.14175
258,0.132016
259,0.122244
260,0.158042
261,0.119444
262,0.133711
263,0.21226
264,0.313088
265,0.159012
266,0.122776
267,0.20797
268,0.106985
269,0.170752
270,0.116713
271,0.318754
272,0.275236
273,0.147108
274,0.276506
275,0.185507
276,0.199389
277,0.278257
278,0.160857
279,0.252118
280,0.152356
281,0.202376
282,0.115371
283,0.286683
284,0.142041
285,0.151546
286,0.153455
287,0.117347
288,0.186962
289,0.157994
290,0.101258
291,0.090648
292,0.25708
293,0.249528
294,0.20098
295,0.114122
296,0.148886
297,0.219597
298,0.29732
299,0.079125
300,0.112494
301,0.244245
302,0.178528
303,0.284852
304,0.321436
305,0.135505
306,0.124349
307,0.27881
308,0.16074
309,0.21522
310,0.107212
311,0.125905
312,0.205112
313,0.226384
314,0.143544
315,0.109157
316,0.324276
317,0.097802
318,0.171873
319,0.13098
320,0.083
321,0.209342
322,0.217101
323,0.151424
324,0.106061
325,0.148145
326,0.203861
327,0.204931
328,0.115437
329,0.078571
330,0.170887
331,0.119693
332,0.285603
333,0.1405
334,0.142567
335,0.308355
336,0.085168
337,0.148572
338,0.089997
339,0.244883
340,0.174784
341,0.301914
342,0.229516
343,0.080935
344,0.152691
345,0.165102
346,0.126175
347,0.124783
348,0.119711
349,0.156811
350,0.114977
351,0.161496
352,0.212728
353,0.163513
354,0.135441
355,0.396747
356,0.104211
357,0.3511
358,0.174924
359,0.125698
360,0.143076
361,0.142363
362,0.09582
363,0.0869
364,0.092523
365,0.1623
366,0.126107
367,0.180478
368,0.093861
369,0.162512
370,0.098845
371,0.160035
372,0.12353
373,0.209441
374,0.22292
375,0.198193
376,0.144066
377,0.200877
378,0.110514
379,0.182895
380,0.074168
381,0.197102
382,0.151775
383,0.105384
384,0.114068
385,0.170631
386,0.137938
387,0.069022
388,0.148296
389,0.162391
390,0.131769
391,0.208042
392,0.157048
393,0.246178
394,0.213155
395,0.138838
396,0.135071
397,0.222645
398,0.096452
399,0.146598
400,0.165213
401,0.261414
402,0.137817
403,0.105146
404,0.229228
405,0.106228
406,0.137469
407,0.162687
408,0.142398
409,0.236524
410,0.073711
411,0.170762
412,0.221161
413,0.12805
414,0.083374
415,0.122145
416,0.080183
417,0.111582
418,0.132282
419,0.127981
420,0.086706
421,0.106893
422,0.149351
423,0.213361
424,0.19432
425,0.206186
426,0.193093
427,0.157006
428,0.273578
429,0.093381
430,0.200566
431,0.218947
432,0.202278
433,0.186576
434,0.120813
435,0.078562
436,0.247095
437,0.087075
438,0.244058
439,0.098864
440,0.31562
441,0.139243
442,0.198686
443,0.138911
444,0.107084
445,0.083187
446,0.092163
447,0.243971
448,0.206435
449,0.129018
450,0.12607
451,0.162353
452,0.197171
453,0.08465
454,0.104849
455,0.123079
456,0.071989
457,0.131903
458,0.075234
459,0.302467
460,0.247497
461,0.237332
462,0.138543
463,0.215021
464,0.107434
465,0.323149
466,0.13085
467,0.125205
468,0.197179
469,0.127666
470,0.248053
471,0.109089
472,0.158595
473,0.109615
474,0.079565
475,0.143903
476,0.22302
477,0.217904
478,0.137687
479,0.103109
480,0.125371
481,0.164215
482,0.146872
483,0.161466
484,0.080401
485,0.171666
486,0.148368
487,0.373059
488,0.176223
489,0.17828
490,0.258309
491,0.114096
492,0.145054
493,0.163782
494,0.174114
495,0.173699
496,0.077641
497,0.195309
498,0.117156
499,0.134837
500,0.170174
501,86.367166
