Iteration,IP_CPU_Time(ms)
0,0.0
1,0.421599
2,0.514676
3,0.308899
4,0.434226
5,0.424925
6,0.542286
7,0.371881
8,0.492165
9,0.342737
10,0.57855
11,0.815373
12,0.548645
13,0.313837
14,0.425068
15,0.482176
16,0.418113
17,0.365481
18,0.46441
19,0.228287
20,0.38718
21,0.356156
22,0.339078
23,0.688942
24,0.212586
25,0.361896
26,0.260489
27,0.381817
28,0.363798
29,0.256531
30,0.35166
31,0.254346
32,0.243059
33,0.420326
34,0.677166
35,0.437735
36,0.507445
37,0.253625
38,0.217127
39,0.271361
40,0.296522
41,0.458019
42,0.287024
43,0.334357
44,5.639477
45,0.340332
46,0.257664
47,0.382108
48,0.303714
49,0.644746
50,0.307743
51,0.592174
52,0.273142
53,0.433857
54,1.043644
55,0.347709
56,0.333095
57,0.418533
58,0.479033
59,0.453502
60,0.225261
61,0.315176
62,0.209913
63,0.382995
64,0.469159
65,0.312558
66,0.370481
67,0.470069
68,0.424518
69,0.387643
70,0.534192
71,0.515716
72,0.313522
73,0.263224
74,0.33613
75,0.343068
76,0.48579
77,0.419664
78,0.329724
79,0.528878
80,0.333901
81,0.222783
82,0.625662
83,0.426446
84,0.298084
85,0.273483
86,0.512074
87,0.422472
88,0.370583
89,0.403496
90,0.508134
91,0.563668
92,0.258186
93,0.263165
94,0.331805
95,0.421715
96,0.436233
97,0.254005
98,0.243848
99,0.233866
100,0.272626
101,0.323625
102,0.378367
103,0.384724
104,0.397215
105,0.554336
106,0.236124
107,0.487997
108,0.401412
109,0.222799
110,0.340117
111,0.52936
112,0.496855
113,0.256205
114,0.550281
115,0.52223
116,0.246981
117,0.352234
118,0.525109
119,0.554772
120,0.726092
121,0.649787
122,0.694805
123,0.230864
124,0.265699
125,0.48834
126,0.417005
127,0.392644
128,0.471642
129,0.244383
130,0.445415
131,0.334443
132,0.622701
133,0.357847
134,0.371829
135,0.245629
136,0.331454
137,0.324058
138,0.37537
139,0.686787
140,0.274908
141,0.378441
142,0.398069
143,0.653703
144,0.422691
