Iteration,IP_CPU_Time(ms)
0,0.0
1,0.056494
2,0.04343
3,0.0741
4,0.040204
5,0.052645
6,0.049773
7,0.033631
8,0.060449
9,0.03578
10,0.034269
11,0.039154
12,0.038709
13,0.059942
14,0.051412
15,0.067341
16,0.048879
17,0.036484
18,0.029001
19,0.090856
20,0.048363
21,0.04808
22,0.036298
23,0.034949
24,0.040079
25,0.050937
26,0.047612
27,0.026831
28,0.041483
29,0.05458
30,0.053157
31,0.043568
32,0.025151
33,0.051431
34,0.0493
35,0.044121
36,0.040078
37,0.056221
38,0.07001
39,0.027573
40,0.041846
41,0.041985
42,0.034535
43,0.049452
44,0.06825
45,0.065949
46,0.041106
47,0.055697
48,0.026426
49,0.035147
50,0.031088
51,0.042457
52,0.040321
53,0.035274
54,0.040649
55,0.073022
56,0.052262
57,0.047096
58,0.079449
59,0.037297
60,0.027127
61,0.041662
62,0.044182
63,0.039519
64,0.065934
65,0.033863
66,0.031634
67,0.046969
68,0.042527
69,0.079068
70,0.062978
71,0.03282
72,0.040692
73,0.055896
74,0.047803
75,0.043048
76,0.063941
77,0.043019
78,0.036793
79,0.058629
80,0.038965
81,0.039418
82,0.048878
83,0.041856
84,0.034128
85,0.037723
86,0.049172
87,0.048993
88,0.065617
89,0.051065
90,0.075951
91,0.029466
92,0.030381
93,0.064123
94,0.093094
95,0.050171
96,0.04159
97,0.054526
98,0.039412
99,0.052978
100,0.054833
101,0.052777
102,0.076648
103,0.044074
104,0.048931
105,0.027672
106,0.026741
107,0.06986
108,0.031247
109,0.058589
110,0.032425
111,0.062208
112,0.065583
113,0.048922
114,0.042899
115,0.049339
116,0.053842
117,0.028841
118,0.055194
119,0.076234
120,0.043151
121,0.04738
122,0.042868
123,0.040518
124,0.038692
125,0.04941
126,0.062619
127,0.060625
128,0.040098
129,0.051023
130,0.035783
131,0.061606
132,0.037848
133,0.034394
134,0.053078
135,0.070389
136,0.053806
137,0.045409
138,0.074865
139,0.045484
140,0.03641
141,0.052306
142,0.06258
143,0.048238
144,0.030094
145,0.06063
146,0.055155
147,0.071434
148,0.046117
149,0.035349
150,0.040652
151,0.032448
152,0.033928
153,0.033575
154,0.058493
155,0.053141
156,0.050676
157,0.061694
158,0.060373
159,0.035318
160,0.025337
161,0.036335
162,0.035524
163,0.030929
164,0.034001
165,0.03268
166,0.053539
167,0.028326
168,0.061845
169,0.05771
170,0.036204
171,0.035173
172,0.055017
173,0.03738
174,0.056416
175,0.033903
176,0.045997
177,0.055191
178,0.029167
179,0.033167
180,0.037022
181,0.037984
182,0.027514
183,0.050996
184,0.025205
185,0.03911
186,0.035093
187,0.078289
188,0.040454
189,0.050065
190,0.044676
191,0.027498
192,0.056465
193,0.053766
194,0.032216
195,0.024649
196,0.063264
197,0.070053
198,0.030212
199,0.029848
200,0.032226
201,0.026836
202,0.032946
203,0.040508
204,0.047834
205,0.033304
206,0.050239
207,0.042969
208,0.062396
209,0.060867
210,0.029104
211,0.042746
212,0.044249
213,0.072813
214,0.045797
215,0.072609
216,0.03161
217,0.046854
218,0.035874
219,0.050725
220,0.049231
221,0.060275
222,0.038034
223,0.058109
224,0.042895
225,0.041517
226,0.046904
227,0.044915
228,0.038209
229,0.044138
230,0.041406
231,0.071446
232,0.045964
233,0.033137
