Iteration,IP_CPU_Time(ms)
0,0.0
1,1.054126
2,0.186446
3,0.171675
4,0.160811
5,0.164753
6,0.138273
7,0.298367
8,0.212942
9,0.099485
10,0.153219
11,0.182543
12,0.145954
13,0.241428
14,0.222411
15,0.140358
16,0.151128
17,0.182154
18,0.173157
19,0.104079
20,0.109551
21,0.10746
22,0.073684
23,0.09924
24,0.107622
25,0.120223
26,0.080876
27,0.101493
28,0.089765
29,0.121147
30,0.131829
31,0.092492
32,0.107412
33,0.107834
34,0.090397
35,0.099725
36,0.181489
37,0.181502
38,0.154686
39,0.082844
40,0.081922
41,0.109836
42,0.095902
43,0.087277
44,0.082071
45,0.094284
46,0.118508
47,0.08963
48,0.085611
49,0.131578
50,0.121849
51,0.064529
52,2.593734
53,0.099001
54,0.074432
55,0.066327
56,0.102367
57,0.064835
58,0.075904
59,0.147307
60,0.087496
61,0.119668
62,0.12771
63,0.10648
64,0.115167
65,0.040431
66,0.037048
67,0.030037
68,0.02762
69,0.036835
70,0.041699
71,0.02756
72,0.033915
73,0.030825
74,0.027232
75,0.027856
76,0.030378
77,0.02506
78,0.026532
79,0.044026
80,0.031521
81,0.02343
82,0.026031
83,0.018687
84,0.023383
85,0.019777
86,0.018287
87,0.030473
88,0.021151
89,0.022987
90,0.031697
91,0.026864
92,0.027678
93,0.021979
94,0.022231
95,0.02563
96,0.017757
97,0.01783
98,0.021399
99,0.024441
100,0.022201
101,0.023662
102,0.030688
103,0.018519
104,0.019034
105,0.029985
106,0.021335
107,0.022192
108,0.030382
109,0.021785
110,0.019686
111,0.024091
112,0.022747
113,0.026921
114,0.027053
115,0.023794
116,0.022695
117,0.025383
118,0.022468
119,0.026011
120,0.026053
121,0.030581
122,0.040333
123,0.021783
124,0.031313
125,0.021557
126,0.022818
127,0.021304
128,0.027916
129,0.022744
130,0.021796
131,0.035847
132,0.02007
133,0.017807
134,0.025592
135,0.022594
136,0.019177
137,0.017426
138,0.026651
139,0.021096
140,0.028363
141,0.045143
142,0.039196
143,0.037332
144,0.030049
145,0.032191
146,0.027893
147,0.026112
148,0.037157
149,0.033222
150,0.041445
151,0.020657
152,0.026879
153,0.024303
154,0.023393
155,0.0448
156,0.027259
157,0.041951
158,0.035819
159,0.032117
160,0.027537
161,0.03904
162,0.036634
163,0.033947
164,0.038199
165,0.040671
166,0.037918
167,0.033371
168,0.033325
169,0.038823
170,0.02926
171,0.035128
172,0.034458
173,0.035456
174,0.029371
175,0.037345
176,0.036619
177,0.032986
178,0.029656
179,0.038807
180,0.040105
181,0.036675
182,0.035122
183,0.026955
184,0.041947
185,0.032913
186,0.042878
187,0.03265
188,0.032257
189,0.037457
190,0.02985
191,0.034828
192,0.042478
193,0.044566
194,0.037581
195,0.053496
196,0.043554
197,0.039834
198,0.037914
199,0.068304
200,0.032782
201,0.031527
202,0.035457
203,0.029751
204,0.046929
205,0.068893
206,0.037074
207,0.043814
208,0.03328
209,0.031493
210,0.027614
211,0.038325
212,0.031604
213,0.026368
214,0.033924
215,0.035449
216,0.035132
217,0.038519
218,0.04439
219,0.041109
220,0.0349
221,0.028976
222,0.034105
223,0.038538
224,0.038226
225,0.036581
226,0.032267
227,0.030762
228,0.033531
229,0.034171
230,0.024745
231,0.030903
232,0.030421
233,0.045842
234,0.044266
235,0.028962
236,0.030356
237,0.035838
238,0.02882
239,0.041786
240,0.027933
241,0.019866
242,0.022395
243,0.020349
244,0.017431
245,0.01944
246,0.016519
247,0.024357
248,0.023834
249,0.017948
250,0.027223
251,0.023426
252,0.019377
253,0.021907
254,0.017358
255,0.020647
256,0.028954
257,0.017979
258,0.027115
259,0.026573
260,0.017528
261,0.018105
262,0.022291
263,0.019392
264,0.016416
265,0.019504
266,0.025053
267,0.018789
268,0.021142
269,0.016847
270,0.017697
271,0.019229
272,0.016994
273,0.016843
274,0.019482
275,0.01836
276,0.029961
277,0.021161
278,0.017823
279,0.020596
280,0.019583
281,0.023937
282,0.017811
283,0.014247
284,0.017511
285,0.017936
286,0.024923
287,0.020433
288,0.019303
289,0.016592
290,0.020629
291,0.017867
292,0.032654
293,0.019005
294,0.018062
295,0.020381
296,0.01701
297,0.02201
298,0.056942
299,0.023408
300,0.016021
301,0.019582
302,0.020146
303,0.017838
304,0.02345
305,0.017465
306,0.018482
307,0.010176
308,0.01561
309,0.013984
310,0.017363
311,0.019231
312,0.018652
313,0.013775
314,0.016934
315,0.015727
316,0.017294
317,0.022051
318,0.019718
319,0.013753
320,0.021741
321,0.020213
322,0.018758
323,0.013728
324,0.020154
325,0.033427
326,0.016964
327,0.016055
328,0.016762
329,0.012774
330,0.018024
331,0.019216
332,0.01231
333,0.014692
334,0.015362
335,0.017448
336,0.016984
337,0.01716
338,0.016623
339,0.01593
340,0.027365
341,0.015208
342,0.012689
343,0.017854
344,0.014836
345,0.019138
346,0.021142
347,0.016541
348,0.016175
349,0.014207
350,0.014656
351,0.015351
352,0.017505
353,0.015816
354,0.014931
355,0.019842
356,0.023053
357,0.031095
358,0.014241
359,0.029067
360,0.027472
361,0.02737
362,0.028342
363,0.023485
364,0.030586
365,0.041106
366,0.033395
367,0.027748
368,0.049316
369,0.016012
370,0.036808
371,0.038913
372,0.038509
