Iteration,IP_CPU_Time(ms)
0,0.0
1,0.03499
2,0.006146
3,0.006625
4,0.005457
5,0.016226
6,0.012194
7,0.014021
8,0.005253
9,0.014383
10,0.006546
11,0.013123
12,0.009357
13,0.014108
14,0.012955
15,0.013189
16,0.004772
17,0.014498
18,0.012754
19,0.006052
20,0.014882
21,0.013275
22,0.008579
23,0.009408
24,0.016008
25,0.00565
26,0.012689
27,0.012851
28,0.006906
29,0.014031
30,0.01348
31,0.006412
32,0.017397
33,0.013018
34,0.013673
35,0.012697
36,0.013228
37,0.009745
38,0.012966
39,0.013934
40,0.013308
41,0.005554
42,0.01279
43,0.014003
44,0.013666
45,0.006768
46,0.014324
47,0.014523
48,0.013423
49,0.01231
50,0.007691
51,0.009923
52,0.014826
53,0.01287
54,0.013266
55,0.005642
56,0.013151
57,0.007262
58,0.013709
59,0.013633
60,0.013495
61,0.012667
62,0.012987
63,0.01843
64,0.013521
65,0.013723
66,0.014338
67,0.012432
68,0.006461
69,0.007218
70,0.005764
71,0.007604
72,0.012445
73,0.005145
74,0.01279
75,0.007145
76,0.013545
77,0.012834
78,0.013314
79,0.014159
80,0.013067
81,0.006035
82,0.013579
83,0.014568
84,0.006526
85,0.012561
86,0.012762
87,0.014451
88,0.006727
89,0.005852
90,0.014722
91,0.006884
92,0.005275
93,0.012452
94,0.013024
95,0.007099
96,0.004824
97,0.014398
98,0.013583
99,0.015124
100,0.013001
101,0.009287
102,0.006655
103,0.014496
104,0.005824
105,0.014996
106,0.012785
107,0.005347
108,0.013537
109,0.013257
110,0.007606
111,0.013364
112,0.012179
113,0.013793
114,0.013575
115,0.014207
116,0.013272
117,0.014206
118,0.009917
119,0.00855
120,0.014498
121,0.005932
122,0.013529
123,0.006669
124,0.013367
125,0.012964
126,0.006654
127,0.020469
128,0.012605
129,0.013368
130,0.005349
131,0.013446
132,0.01395
133,0.006165
134,0.005962
135,0.006398
136,0.013377
137,0.006111
138,0.014139
139,0.012246
140,0.014056
141,0.012931
142,0.012719
143,0.008768
144,0.007275
145,0.014286
146,0.006516
147,0.013811
148,0.012897
149,0.0052
150,0.015583
151,0.013045
152,0.012983
153,0.009284
154,0.008069
155,0.013003
156,0.013081
157,0.006253
158,0.006324
159,0.012821
160,0.015011
161,0.018838
162,0.012934
163,0.013201
164,0.013511
165,0.013726
166,0.00559
167,0.005035
168,0.012608
169,0.005079
170,0.012523
171,0.013794
172,0.013115
173,0.005282
174,0.004747
175,0.013467
176,0.014913
177,0.012538
178,0.012747
179,0.005586
180,0.012537
181,0.01382
182,0.013972
183,0.014316
184,0.013659
185,0.013866
186,0.013095
187,0.013841
188,0.00631
189,0.013661
190,0.00574
191,0.014112
192,0.012272
193,0.014199
194,0.013701
195,0.013462
196,0.012433
197,0.013719
198,0.015269
199,0.004805
200,0.014648
201,0.013647
202,0.01369
203,0.013122
204,0.012448
205,0.012755
206,0.014188
207,0.005657
208,0.015049
209,0.014007
210,0.006891
211,0.013294
212,0.012299
213,0.005142
214,0.014825
215,0.013866
216,0.007598
217,0.012775
218,0.014819
219,0.006131
220,0.006659
221,0.013661
222,0.015958
223,0.005785
224,0.013615
225,0.012233
226,0.014871
227,0.005369
228,0.013512
229,0.012641
230,0.014919
231,0.013887
232,0.014019
233,0.005694
234,0.006224
235,0.01298
236,0.006088
237,0.013025
238,0.013391
239,0.006666
240,0.00573
241,0.004888
242,0.013372
243,0.006246
244,0.00889
245,0.006472
246,0.01921
247,0.009236
248,0.014101
249,0.005685
250,0.013298
251,0.014624
252,0.005357
253,0.006267
254,0.012532
255,0.014079
256,0.012745
257,0.014439
258,0.014202
259,0.014878
260,0.012479
261,0.006331
262,0.013325
263,0.015259
264,0.005996
265,0.012741
266,0.014151
267,0.005973
268,0.013295
269,0.012709
270,0.005639
271,0.01402
272,0.013178
273,0.014418
274,0.006259
275,0.016766
276,0.013991
277,0.014317
278,0.014357
279,0.008001
280,0.013172
281,0.005995
282,0.013537
283,0.013177
284,0.008752
285,0.00606
286,0.01398
287,0.007667
288,0.014725
289,0.006367
290,0.009016
291,0.014322
292,0.012987
293,0.006439
294,0.013691
295,0.014192
296,0.008002
297,0.004689
298,0.013047
299,0.015187
300,0.013676
301,0.013696
302,0.013925
303,0.007928
304,0.005567
305,0.013944
306,0.013188
307,0.015187
308,0.014083
309,0.014708
310,0.005187
311,0.014298
312,0.004995
313,0.006784
314,0.008068
315,0.014459
316,0.014346
317,0.0071
318,0.013915
319,0.007187
320,0.014652
321,0.013738
322,0.013393
323,0.015681
324,0.006071
325,0.006238
326,0.007474
327,0.007681
328,0.01513
329,0.013272
330,0.01319
331,0.01303
332,0.013125
333,0.013306
334,0.00476
335,0.006335
336,0.014721
337,0.005746
338,0.013145
339,0.013333
340,0.012845
341,0.012483
342,0.006409
343,0.014049
344,0.013241
345,0.005208
346,0.013452
347,0.013457
348,0.013375
349,0.012887
350,0.013077
351,0.008541
352,0.012592
353,0.012954
354,0.013851
355,0.015189
356,0.012988
357,0.016241
358,0.00624
359,0.010235
360,0.014375
361,0.013185
362,0.014454
363,0.015375
364,0.013968
365,0.013746
366,0.013527
367,0.006752
368,0.013731
369,0.005511
370,0.014562
371,0.007436
372,0.014016
373,0.014932
374,0.013328
375,0.005491
376,0.008981
377,0.006188
378,0.015356
379,0.015766
380,0.01339
381,0.013441
382,0.013506
383,0.020069
384,0.014365
385,0.014226
386,0.015283
387,0.014198
388,0.014196
389,0.006984
390,0.008477
391,0.005981
392,0.008149
393,0.006755
394,0.014003
395,0.015705
396,0.007113
397,0.013932
398,0.006787
399,0.008856
400,0.01374
401,0.014926
402,0.005787
403,0.013438
404,0.005665
405,0.006201
406,0.013854
407,0.013021
408,0.005725
409,0.012892
410,0.012267
411,0.005343
412,0.005227
413,0.017857
414,0.014557
415,0.020375
416,0.016829
417,0.013863
418,0.01243
419,0.005479
420,0.006505
421,0.012853
422,0.013548
423,0.014366
424,0.006959
425,0.012922
426,0.013109
427,0.013774
428,0.012547
429,0.013598
430,0.021239
431,0.015502
432,0.006321
433,0.006865
434,0.005877
435,0.014243
436,0.015187
437,0.013513
438,0.012222
439,0.014234
440,0.006664
441,0.006162
442,0.006673
443,0.004992
444,0.013713
445,0.013106
446,0.006081
447,0.015258
448,0.004589
449,0.013203
450,0.006907
451,0.012247
452,0.006364
453,0.005752
454,0.01352
455,0.012921
456,0.01429
457,0.012661
458,0.013302
459,0.005361
460,0.014305
461,0.013969
462,0.01277
463,0.013064
464,0.005791
465,0.013164
466,0.007048
467,0.012976
468,0.012887
469,0.012932
470,0.013652
471,0.014388
472,0.014169
473,0.006212
474,0.013192
475,0.014361
476,0.005818
477,0.013297
478,0.004679
479,0.006715
480,0.013236
481,0.004659
482,0.01257
483,0.013515
484,0.012631
485,0.012602
486,0.014333
487,0.0139
488,0.01291
489,0.013754
490,0.005809
491,0.013865
492,0.013583
493,0.013976
494,0.013107
495,0.01365
496,0.006602
497,0.012709
498,0.013725
499,0.013979
500,0.013664
501,6.283482
