Iteration,IP_CPU_Time(ms)
0,0.0
1,0.054099
2,0.021913
3,0.019913
4,0.019855
5,0.02021
6,0.021363
7,0.021186
8,0.01922
9,0.022091
10,0.021293
11,0.020214
12,0.021364
13,0.022557
14,0.021038
15,0.017666
16,0.020108
17,0.01809
18,0.02135
19,0.015385
20,0.022052
21,0.023914
22,0.019525
23,0.020381
24,0.021095
25,0.019807
26,0.02076
27,0.020722
28,0.020337
29,0.020681
30,0.021882
31,0.021335
32,0.022967
33,0.021205
34,0.021945
35,0.019485
36,0.020041
37,0.018932
38,0.01147
39,0.013519
40,0.020182
41,0.023544
42,0.02195
43,0.020029
44,0.021139
45,0.021588
46,0.022635
47,0.018681
48,0.019974
49,0.019753
50,0.018623
51,0.020998
52,0.020086
53,0.020718
54,0.011044
55,0.019628
56,0.021929
57,0.021289
58,0.019334
59,0.020043
60,0.018554
61,0.020053
62,0.018772
63,0.019963
64,0.019838
65,0.020694
66,0.020839
67,0.021572
68,0.028799
69,0.019513
70,0.021229
71,0.019914
72,0.018823
73,0.020579
74,0.020615
75,0.020209
76,0.023175
77,0.020839
78,0.02189
79,0.019239
80,0.022033
81,0.020678
82,0.019414
83,0.02261
84,0.020422
85,0.021089
86,0.020355
87,0.016862
88,0.015588
89,0.020599
90,0.024627
91,0.021128
92,0.020082
93,0.016918
94,0.018664
95,0.023414
96,0.019107
97,0.020759
98,0.021664
99,0.020686
100,0.019435
101,0.017738
102,0.02043
103,0.020735
104,0.02174
105,0.020013
106,0.019625
107,0.025997
108,0.021161
109,0.020471
110,0.019684
111,0.017847
112,0.024105
113,0.018204
114,0.013949
115,0.019855
116,0.022281
117,0.021387
118,0.017825
119,0.020759
120,0.019993
121,0.019461
122,0.021881
123,0.020319
124,0.020528
125,0.022297
126,0.019937
127,0.018502
128,0.020389
129,0.020217
130,0.018081
131,0.022655
132,0.01897
133,0.019291
134,0.018226
135,0.021657
136,0.021829
137,0.011622
138,0.018476
139,0.019765
140,0.01961
141,0.020305
142,0.019415
143,0.018295
144,0.012215
145,0.019118
146,0.019562
147,0.01931
148,0.019149
149,0.020112
150,0.01893
151,0.020174
152,0.018406
153,0.019448
154,0.017513
155,0.018584
156,0.023758
157,0.022404
158,0.020351
159,0.023402
160,0.020139
161,0.021697
162,0.02065
163,0.020962
164,0.018451
165,0.020717
166,0.019712
167,0.019645
168,0.022524
169,0.023814
170,0.018892
171,0.018916
172,0.018384
173,0.025905
174,0.019755
175,0.021896
176,0.022934
177,0.018802
178,0.019081
179,0.017818
180,0.019803
181,0.010809
182,0.020897
183,0.021659
184,0.021432
185,0.024899
186,0.019141
187,0.021717
188,0.021615
189,0.02119
190,0.02177
191,0.021446
192,0.021435
193,0.020555
194,0.021503
195,0.024332
196,0.019701
197,0.020444
198,0.020285
199,0.020854
200,0.021757
201,0.020077
202,0.021584
203,0.018748
204,0.020817
205,0.021357
206,0.019424
207,0.021686
208,0.020331
209,0.020196
210,0.021218
211,0.019312
212,0.018529
213,0.018579
214,0.021736
215,0.018256
216,0.019613
