Iteration,IP_CPU_Time(ms)
0,0.0
1,0.022898
2,0.008809
3,0.01096
4,0.007436
5,0.011903
6,0.010735
7,0.006548
8,0.006939
9,0.011223
10,0.01126
11,0.010086
12,0.005919
13,0.007505
14,0.010948
15,0.012794
16,0.007626
17,0.010618
18,0.010847
19,0.01065
20,0.010388
21,0.009547
22,0.014372
23,0.009116
24,0.006604
25,0.005794
26,0.011287
27,0.010137
28,0.010147
29,0.006985
30,0.007788
31,0.009127
32,0.010601
33,0.012947
34,0.01045
35,0.012652
36,0.006432
37,0.010666
38,0.007999
39,0.007028
40,0.013701
41,0.007596
42,0.009047
43,0.006839
44,0.005341
45,0.012008
46,0.008303
47,0.006123
48,0.010589
49,0.011104
50,0.014437
51,0.007322
52,0.008546
53,0.009795
54,0.005572
55,0.010707
56,0.007712
57,0.006505
58,0.006728
59,0.006547
60,0.007953
61,0.009382
62,0.008076
63,0.009702
64,0.009384
65,0.011667
66,0.011452
67,0.010171
68,0.009011
69,0.005127
70,0.011441
71,0.012935
72,0.012791
73,0.00625
74,0.006949
75,0.005623
76,0.005464
77,0.005084
78,0.011291
79,0.009515
80,0.004923
81,0.007638
82,0.009713
83,0.005968
84,0.005004
85,0.009337
86,0.010139
87,0.008551
88,0.011244
89,0.011075
90,0.007415
91,0.004533
92,0.009104
93,0.007688
94,0.011207
95,0.008843
96,0.009202
97,0.004326
98,0.011951
99,0.010771
100,0.010725
101,0.006602
102,0.00589
103,0.010333
104,0.011113
105,0.006191
106,0.010137
107,0.008249
108,0.006284
109,0.010261
110,0.006104
111,0.009662
112,0.009238
113,0.009389
114,0.010602
115,0.010293
116,0.011057
117,0.012078
118,0.012733
119,0.007111
120,0.005121
121,0.010327
122,0.011066
123,0.011019
124,0.0127
125,0.010838
126,0.01038
127,0.011026
128,0.011196
129,0.006284
130,0.008332
131,0.01017
132,0.010822
133,0.011487
134,0.006218
135,0.007375
136,0.010847
137,0.005605
138,0.008011
139,0.010363
140,0.009414
141,0.01256
142,0.005831
143,0.006407
144,0.007559
145,0.011551
146,0.011181
147,0.005963
148,0.009587
149,0.009272
150,0.009912
151,0.012459
152,0.006167
153,0.009022
154,0.010025
155,0.009411
156,0.009967
157,0.010608
158,0.009745
159,0.010563
160,0.008801
161,0.012697
162,0.006471
163,0.010369
164,0.010356
165,0.010426
166,0.007461
167,0.010997
168,0.009765
169,0.010336
170,0.00858
171,0.009194
172,0.009974
173,0.009415
174,0.011152
175,0.011756
176,0.009769
177,0.005439
178,0.006026
179,0.00532
180,0.010344
181,0.006658
182,0.008717
183,0.006435
184,0.007811
185,0.006814
186,0.007799
187,0.011185
188,0.00558
189,0.006378
190,0.007212
191,0.009847
192,0.011206
193,0.009172
194,0.006223
195,0.00443
196,0.011132
197,0.009917
198,0.006236
199,0.008627
200,0.008231
201,0.011491
202,0.008804
203,0.011564
204,0.010128
205,0.010941
206,0.009633
207,0.009979
208,0.010249
209,0.011133
210,0.009992
211,0.009531
212,0.006395
213,0.010446
214,0.009494
215,0.009999
216,0.01082
217,0.005125
218,0.008336
219,0.009239
220,0.011098
221,0.007029
222,0.009308
223,0.005148
224,0.008798
225,0.011478
226,0.00566
227,0.008755
228,0.010724
229,0.011678
230,0.011878
231,0.008489
232,0.007079
233,0.010666
234,0.00577
235,0.005905
236,0.006494
237,0.006009
238,0.011036
239,0.010793
240,0.011073
241,0.010665
242,0.010721
243,0.010242
244,0.009648
245,0.005615
246,0.008985
247,0.010379
248,0.010906
249,0.00666
250,0.010587
251,0.006344
252,0.00981
253,0.006711
254,0.006797
255,0.009982
256,0.006991
257,0.008289
258,0.009571
259,0.008008
260,0.007883
261,0.006555
262,0.010824
263,0.0057
264,0.011877
265,0.011548
266,0.01048
267,0.006277
268,0.005531
269,0.010031
270,0.007385
271,0.006573
272,0.010374
273,0.010765
274,0.009363
275,0.0098
276,0.011472
277,0.005505
278,0.006482
279,0.006539
280,0.009579
281,0.005378
282,0.01075
283,0.012375
284,0.005134
285,0.00646
286,0.010215
287,0.006755
288,0.010293
289,0.006023
290,0.004586
291,0.00967
292,0.012244
293,0.008489
294,0.012733
295,0.010339
296,0.008908
297,0.00935
298,0.008977
299,0.012663
300,0.007363
301,0.008008
302,0.009846
303,0.010161
304,0.009249
305,0.009469
306,0.009053
307,0.011385
308,0.005695
309,0.005221
310,0.006141
311,0.014201
312,0.008607
313,0.009919
314,0.011288
315,0.009239
316,0.006633
317,0.007501
318,0.010972
319,0.010433
320,0.010151
321,0.011244
322,0.006204
323,0.010323
324,0.013091
325,0.011204
326,0.009705
327,0.009274
328,0.00966
329,0.009191
330,0.009549
331,0.008552
332,0.006272
333,0.009421
334,0.010088
335,0.00621
336,0.011557
337,0.00771
338,0.011335
339,0.009124
340,0.00844
341,0.005
342,0.011215
343,0.011233
344,0.007532
345,0.010531
346,0.005562
347,0.0081
348,0.006732
349,0.007438
350,0.007602
351,0.011326
352,0.007813
353,0.010718
354,0.007632
355,0.005865
356,0.009799
357,0.010272
358,0.009612
359,0.005807
360,0.009887
361,0.00518
362,0.010057
363,0.018817
364,0.009987
365,0.005745
366,0.009043
367,0.011951
368,0.00986
369,0.005117
370,0.010553
371,0.011876
372,0.003979
373,0.009654
374,0.009935
375,0.010592
376,0.007679
377,0.008727
378,0.005455
379,0.011128
380,0.008758
381,0.006372
382,0.009798
383,0.010559
384,0.006223
385,0.005961
386,0.011021
387,0.013273
388,0.00534
389,0.010439
390,0.010629
391,0.007047
392,0.012029
393,0.011457
394,0.010116
395,0.010731
396,0.010363
397,0.005675
398,0.006595
399,0.01123
400,0.006736
401,0.010715
402,0.007039
403,0.010559
404,0.006368
405,0.010616
406,0.005047
407,0.004812
408,0.009877
409,0.009712
410,0.010679
411,0.01176
412,0.005668
413,0.010471
414,0.010337
415,0.008614
416,0.006186
417,0.00838
418,0.007809
419,0.010459
420,0.01161
421,0.010274
422,0.005432
423,0.007046
424,0.008273
425,0.0096
426,0.009845
427,0.011056
428,0.00666
429,0.009322
430,0.005855
431,0.006778
432,0.009051
433,0.005788
434,0.009889
435,0.009098
436,0.011464
437,0.011021
438,0.01093
439,0.010787
440,0.00964
441,0.006154
442,0.011011
443,0.010808
444,0.006874
445,0.005769
446,0.011592
447,0.007587
448,0.0104
449,0.009629
450,0.00616
451,0.007301
452,0.010188
453,0.010075
454,0.006109
455,0.010396
456,0.010101
457,0.012432
458,0.007302
459,0.01044
460,0.010974
461,0.010399
462,0.011419
463,0.01163
464,0.012066
465,0.013664
466,0.010974
467,0.008698
468,0.010448
469,0.011962
470,0.004684
471,0.010526
472,0.007498
473,0.004685
474,0.007224
475,0.010435
476,0.010105
477,0.010169
478,0.005957
479,0.006138
480,0.005555
481,0.011899
482,0.010324
483,0.011055
484,0.010006
485,0.007628
486,0.010817
487,0.006559
488,0.005923
489,0.010459
490,0.01012
491,0.012628
492,0.00912
493,0.009443
494,0.009735
495,0.006049
496,0.009453
497,0.005892
498,0.01056
499,0.009423
500,0.005438
501,5.104173
