Iteration,IP_CPU_Time(ms)
0,0.0
1,0.151418
2,0.136955
3,0.129745
4,0.122772
5,0.122531
6,0.127948
7,0.127392
8,0.011025
9,0.129029
10,0.119141
11,0.12005
12,0.117958
13,0.124378
14,0.128701
15,0.125251
16,0.125052
17,0.131103
18,0.127902
19,0.123374
20,0.015857
21,0.123331
22,0.126848
23,0.126698
24,0.134564
25,0.128667
26,0.123656
27,0.127698
28,0.046531
29,0.025488
30,0.025626
31,0.02277
32,0.024332
33,0.023509
34,0.024935
35,0.021556
36,0.023881
37,0.018958
38,0.012872
39,0.022855
40,0.025025
41,0.025912
42,0.026619
43,0.025209
44,0.022896
45,0.022429
46,0.009201
47,0.029774
48,0.020714
49,0.024368
50,0.024076
51,0.022478
52,0.020641
53,0.022102
54,0.020683
55,0.025143
56,0.022722
57,0.009686
58,0.025023
59,0.024282
60,0.02235
61,0.02282
62,0.016616
63,0.021168
64,0.020639
65,0.017926
66,0.020243
67,0.018295
68,0.019342
69,0.024276
70,0.014161
71,0.012809
72,0.020361
73,0.009798
74,0.01997
75,0.020937
76,0.02187
77,0.023372
78,0.018973
79,0.02144
80,0.022635
81,0.019076
82,0.018729
83,0.021973
84,0.022825
85,0.017857
86,0.019027
87,0.022374
88,0.025786
89,0.02519
90,0.008049
91,0.010894
92,0.025928
93,0.024457
94,0.026739
95,0.02254
96,0.024858
97,0.021914
98,0.022065
99,0.025973
100,0.024523
101,0.024993
102,0.011259
103,0.024898
104,0.023642
105,0.022345
106,0.023247
107,0.009521
108,0.026318
109,0.021987
110,0.028862
111,0.025481
112,0.023062
113,0.011484
114,0.026733
115,0.009945
116,0.014148
117,0.027354
118,0.0243
119,0.024279
120,0.011791
121,0.023736
122,0.021738
123,0.020066
124,0.020992
125,0.023004
126,0.011536
127,0.020026
128,0.009796
129,0.019513
130,0.026773
131,0.023333
132,0.019485
133,0.020338
134,0.013163
135,0.026504
136,0.02641
137,0.026282
138,0.023303
139,0.010688
140,0.024021
141,0.023535
142,0.024176
143,0.011258
144,0.023657
145,0.009305
146,0.010468
147,0.026891
148,0.025805
149,0.026712
150,0.021567
151,0.022467
152,0.027719
153,0.023887
154,0.013841
155,0.026058
156,0.023994
157,0.030634
158,0.021744
159,0.024477
160,0.022251
161,0.020582
162,0.024768
163,0.025489
164,0.008674
165,0.023281
166,0.024727
167,0.0237
168,0.025574
169,0.023797
170,0.016696
171,0.021812
172,0.028029
173,0.011184
174,0.024876
175,0.025181
176,0.026661
177,0.022445
178,0.025806
179,0.022294
180,0.025768
181,0.028059
182,0.025266
183,0.025213
184,0.026874
185,0.021595
186,0.024469
187,0.024242
188,0.025028
189,0.023689
190,0.009428
191,0.024726
192,0.024556
193,0.025397
194,0.025459
195,0.023603
196,0.024929
197,0.025422
198,0.026923
199,0.014098
200,0.023555
201,0.02632
202,0.023834
203,0.010177
204,0.028584
205,0.029117
206,0.024727
207,0.025104
208,0.02416
209,0.028355
210,0.023646
211,0.024994
212,0.022397
213,0.012163
214,0.011622
215,0.009363
216,0.021813
217,0.028566
218,0.0171
219,0.031096
220,0.025149
221,0.026828
222,0.030429
223,0.009059
224,0.022928
225,0.012299
226,0.023789
227,0.024441
228,0.021085
229,0.025326
230,0.009335
231,0.025578
232,0.023796
233,0.010356
234,0.020917
235,0.01418
236,0.026612
237,0.024318
238,0.024935
239,0.023314
240,0.026948
241,0.025101
242,0.023825
243,0.022236
244,0.026263
245,0.024709
246,0.020091
247,0.022234
248,0.021769
249,0.023509
250,0.021246
251,0.021502
252,0.025373
253,0.021992
254,0.022168
255,0.024711
256,0.025404
257,0.014982
258,0.02285
259,0.021228
260,0.011041
261,0.034038
262,0.02301
263,0.020371
264,0.022554
265,0.019449
266,0.014017
267,0.025605
268,0.021914
269,0.025691
270,0.022259
271,0.020757
272,0.010512
273,0.022048
274,0.021751
275,0.024277
276,0.023054
277,0.018134
278,0.020727
279,0.0238
280,0.020472
281,0.019038
282,0.021122
283,0.018512
284,0.021211
285,0.019456
286,0.020697
287,0.011164
288,0.024245
289,0.023181
290,0.023138
291,0.02375
292,0.02692
293,0.024782
294,0.025561
295,0.022304
296,0.025495
297,0.025013
298,0.023611
299,0.023921
300,0.025351
301,0.024485
302,0.013058
303,0.022583
304,0.027898
305,0.02551
306,0.011184
307,0.025114
308,0.022855
309,0.021884
310,0.023836
311,0.024984
312,0.024071
313,0.027387
314,0.023648
315,0.02376
316,0.024312
317,0.026786
318,0.026421
319,0.028416
320,0.024005
321,0.024945
322,0.025797
323,0.026592
324,0.02396
325,0.025693
326,0.0224
327,0.024134
328,0.014476
329,0.022098
330,0.021997
331,0.022925
332,0.021992
333,0.010166
334,0.0249
335,0.025363
336,0.021784
337,0.025494
338,0.024779
339,0.024827
340,0.021491
341,0.02413
342,0.023673
343,0.024419
344,0.024602
345,0.023099
346,0.016675
347,0.024966
348,0.024551
349,0.027455
350,0.014425
351,0.024121
352,0.029812
353,0.025175
354,0.02442
355,0.013756
356,0.025634
357,0.024939
358,0.025305
359,0.017265
360,0.023719
361,0.025335
362,0.022461
363,0.023703
364,0.025655
365,0.026536
366,0.027297
367,0.023961
368,0.026504
369,0.023469
370,0.023723
371,0.026719
372,0.023477
373,0.022564
374,0.026581
375,0.023992
376,0.028422
377,0.009326
378,0.026031
379,0.024915
380,0.021755
381,0.022209
382,0.024235
383,0.026798
384,0.012633
385,0.02202
386,0.026033
387,0.027628
388,0.025756
389,0.022904
390,0.025117
391,0.023446
392,0.011085
393,0.01076
394,0.027891
395,0.023366
396,0.023327
397,0.021363
398,0.019798
399,0.026828
400,0.021028
401,0.020379
402,0.021597
403,0.020641
404,0.026646
405,0.021996
406,0.023565
407,0.026009
408,0.024197
409,0.023729
410,0.025426
411,0.031763
412,0.024025
413,0.022989
414,0.021634
415,0.023861
416,0.019965
417,0.023891
418,0.020196
419,0.023198
420,0.022475
421,0.009389
422,0.010988
423,0.026983
424,0.02477
425,0.027057
426,0.025333
427,0.024159
428,0.00924
429,0.021678
430,0.014533
431,0.02593
432,0.011091
433,0.025469
434,0.023642
435,0.02317
436,0.024532
437,0.023624
438,0.029295
439,0.022885
440,0.025043
441,0.020031
442,0.026042
443,0.025148
444,0.024349
445,0.023029
446,0.028815
447,0.022379
448,0.020006
449,0.02486
450,0.025166
451,0.025718
452,0.02376
453,0.025376
454,0.021327
455,0.021526
456,0.024459
457,0.022914
458,0.022253
459,0.022039
460,0.023729
461,0.026236
462,0.024842
463,0.025539
464,0.024379
465,0.021592
466,0.021064
467,0.02129
468,0.027132
469,0.025812
470,0.022067
471,0.026306
472,0.022206
473,0.022176
474,0.027534
475,0.027693
476,0.024162
477,0.024401
478,0.022073
479,0.022616
480,0.02342
481,0.015959
482,0.012913
483,0.010849
484,0.010195
485,0.024002
486,0.011517
487,0.022372
488,0.026886
489,0.024675
490,0.024244
491,0.026452
492,0.026112
493,0.025439
494,0.023179
495,0.026731
496,0.022193
497,0.02779
498,0.025333
499,0.023583
500,0.025205
501,14.397558
