Iteration,IP_CPU_Time(ms)
0,0.0
1,0.015336
2,0.006204
3,0.004606
4,0.005057
5,0.01066
6,0.005772
7,0.005611
8,0.006465
9,0.008866
10,0.006014
11,0.008218
12,0.00544
13,0.00498
14,0.007675
15,0.004398
16,0.004124
17,0.005833
18,0.004333
19,0.005817
20,0.005861
21,0.005449
22,0.005894
23,0.004976
24,0.010471
25,0.006762
26,0.007428
27,0.004917
28,0.008595
29,0.00387
30,0.006085
31,0.005321
32,0.006976
33,0.006519
34,0.003843
35,0.005369
36,0.010905
37,0.007175
38,0.004
39,0.005796
40,0.005014
41,0.004439
42,0.006317
43,0.008011
44,0.007654
45,0.007403
46,0.004742
47,0.005258
48,0.010205
49,0.011448
50,0.005471
51,0.003957
52,0.009394
53,0.007144
54,0.007408
55,0.009068
56,0.005049
57,0.009398
58,0.005212
59,0.005878
60,0.009197
61,0.004053
62,0.005401
63,0.004236
64,0.007765
65,0.005478
66,0.004547
67,0.005192
68,0.007873
69,0.007569
70,0.008358
71,0.005297
72,0.012376
73,0.006694
74,0.005231
75,0.005838
76,0.004509
77,0.004496
78,0.008078
79,0.008199
80,0.004323
81,0.006798
82,0.012848
83,0.007386
84,0.007167
85,0.006451
86,0.006062
87,0.007843
88,0.009531
89,0.006742
90,0.00532
91,0.005489
92,0.004777
93,0.008332
94,0.010716
95,0.00921
96,0.006695
97,0.006389
98,0.00765
99,0.005312
100,0.005717
101,0.010385
102,0.004592
103,0.005846
104,0.008169
105,0.006617
106,0.004525
107,0.004381
108,0.007959
109,0.007803
110,0.005957
111,0.004132
112,0.00723
113,0.003617
114,0.005563
115,0.005549
116,0.006014
117,0.010018
118,0.004401
119,0.004577
120,0.004004
121,0.008225
122,0.004705
123,0.006462
124,0.009006
125,0.004087
126,0.00451
127,0.005536
128,0.004073
129,0.005061
130,0.004635
131,0.005164
132,0.005393
133,0.008133
134,0.004565
135,0.007993
136,0.006204
137,0.005603
138,0.005679
139,0.003848
140,0.005036
141,0.004839
142,0.006046
143,0.004437
144,0.010081
145,0.007194
146,0.005813
147,0.00419
148,0.004874
149,0.007664
150,0.006584
151,0.005138
152,0.006191
153,0.005481
154,0.003881
155,0.005655
156,0.009965
157,0.008139
158,0.011647
