Iteration,IP_CPU_Time(ms)
0,0.0
1,0.234928
2,0.232845
3,0.169723
4,0.117557
5,0.128525
6,0.111477
7,0.119139
8,0.066302
9,0.101489
10,0.171104
11,0.113347
12,0.098639
13,0.184089
14,0.117106
15,0.128531
16,0.086033
17,0.106197
18,0.13549
19,0.066693
20,0.129079
21,0.219612
22,0.072944
23,0.14016
24,0.155894
25,0.407791
26,0.057668
27,0.060099
28,0.22036
29,0.052703
30,0.08621
31,0.201066
32,0.057685
33,0.074565
34,0.270495
35,0.047646
36,0.057398
37,0.120374
38,0.068731
39,0.111023
40,0.189395
41,0.119368
42,0.072485
43,0.151888
44,0.086618
45,0.052537
46,0.098601
47,0.045823
48,0.110891
49,0.117835
50,0.056427
51,0.039217
52,0.036988
53,0.250592
54,0.058849
55,0.054365
56,0.074778
57,0.072924
58,0.049113
59,0.233868
60,0.089406
61,0.074969
62,0.217628
63,0.065085
64,0.06332
65,0.185352
66,0.038546
67,0.041439
68,0.042776
69,0.227966
70,0.04982
71,0.056882
72,0.262054
73,0.065181
74,0.068685
75,0.216513
76,0.105059
77,0.240986
78,0.073839
79,0.033265
80,0.040046
81,0.17142
82,0.064925
83,0.078168
84,0.254401
85,0.035462
86,0.049278
87,0.289298
88,0.066439
89,0.048195
90,0.085943
91,0.059446
92,0.082078
93,0.068924
94,0.251828
95,0.104326
96,0.240558
97,0.090124
98,0.066447
99,0.100457
100,0.06928
101,0.084598
102,0.280207
103,0.060328
104,0.050025
105,0.170564
106,0.060849
107,0.069505
108,0.131164
109,0.111424
110,0.049762
111,0.198512
112,0.047088
113,0.06714
114,0.30598
115,0.067584
116,0.051714
117,0.127459
118,0.046258
119,0.035338
120,0.068366
121,0.261373
122,0.05807
123,0.205074
124,0.06818
125,0.087785
126,0.203408
127,0.049663
128,0.097696
129,0.036269
130,0.020722
131,0.014469
132,0.010348
133,0.012749
134,0.011691
135,0.011158
136,0.017571
137,0.019439
138,0.014258
139,0.041086
140,0.012744
141,0.031561
142,0.017409
143,0.028318
144,0.01743
145,0.014607
146,0.024028
147,0.019538
148,0.00852
149,0.018622
150,0.01355
151,0.015695
152,0.021308
153,0.010681
154,0.008855
155,0.017243
156,0.016133
157,0.009727
158,0.036232
159,0.017022
160,0.008161
161,0.007926
162,0.011402
163,0.014636
164,0.016847
165,0.026937
166,0.012295
167,0.018568
168,0.014503
169,0.012415
170,0.015757
171,0.016982
172,0.010953
173,0.009575
174,0.015775
175,0.020967
176,0.010482
177,0.00807
178,0.034528
179,0.028713
180,0.017129
181,0.040659
182,0.043868
183,0.044681
184,0.031921
185,0.031448
186,0.016501
187,0.015228
188,0.017619
189,0.053164
190,0.025101
191,0.026054
192,0.014825
193,0.020212
194,0.023325
195,0.041179
196,0.021487
197,0.018023
198,0.019804
199,0.033213
200,0.022527
201,0.028233
202,0.035324
203,0.028525
204,0.021724
205,0.017743
206,0.025419
207,0.021102
208,0.015145
