Iteration,IP_CPU_Time(ms)
0,0.0
1,0.044729
2,0.022772
3,0.020191
4,0.0196
5,0.020424
6,0.024027
7,0.021165
8,0.018799
9,0.035698
10,0.020007
11,0.020123
12,0.019769
13,0.018968
14,0.019403
15,0.021291
16,0.024898
17,0.019691
18,0.021287
19,0.020025
20,0.020518
21,0.022205
22,0.019226
23,0.021947
24,0.020235
25,0.021973
26,0.021088
27,0.032755
28,0.0218
29,0.022064
30,0.028183
31,0.03056
32,0.022191
33,0.019771
34,0.022502
35,0.019296
36,0.022781
37,0.021266
38,0.021243
39,0.020057
40,0.021949
41,0.017633
42,0.019307
43,0.024822
44,0.020261
45,0.02239
46,0.019431
47,0.020702
48,0.020332
49,0.02051
50,0.020317
51,0.021979
52,0.022634
53,0.020302
54,0.019314
55,0.019228
56,0.019305
57,0.02093
58,0.01946
59,0.020862
60,0.019493
61,0.021477
62,0.020135
63,0.021323
64,0.022282
65,0.021765
66,0.02046
67,0.019885
68,0.019767
69,0.021239
70,0.021866
71,0.021755
72,0.02112
73,0.022057
74,0.02242
75,0.022403
76,0.02125
77,0.022002
78,0.042605
79,0.026332
80,0.020634
81,0.023237
82,0.02029
83,0.022259
84,0.020407
85,0.018293
86,0.018047
87,0.01982
88,0.022567
89,0.019972
90,0.020201
91,0.021222
92,0.019814
93,0.020129
94,0.020482
95,0.021076
96,0.020556
97,0.02441
98,0.019338
99,0.019844
100,0.019761
101,0.019454
102,0.019681
103,0.019572
104,0.022051
105,0.021526
106,0.023524
107,0.021014
108,0.02218
109,0.021507
110,0.022779
111,0.020896
112,0.02086
113,0.016597
114,0.020868
115,0.021828
116,0.022095
117,0.02092
118,0.019617
119,0.021582
120,0.020957
121,0.0192
122,0.021149
123,0.022886
124,0.021352
125,0.020527
126,0.021564
127,0.020598
128,0.021199
129,0.020891
130,0.019841
131,0.023118
132,0.02039
133,0.021966
134,0.021607
135,0.022106
136,0.019832
137,0.022556
138,0.021856
139,0.020858
140,0.024475
141,0.021932
142,0.021157
143,0.019907
144,0.023856
145,0.019836
146,0.022414
147,0.020549
148,0.021442
149,0.022033
150,0.020549
151,0.021958
152,0.01941
153,0.017755
154,0.01791
155,0.01921
156,0.019533
157,0.00758
158,0.021399
159,0.01995
160,0.021821
161,0.025821
162,0.022346
163,0.02099
164,0.021376
165,0.021496
166,0.020381
167,0.02155
168,0.020036
169,0.022374
170,0.02046
171,0.020533
172,0.021097
173,0.021545
174,0.022787
175,0.021138
176,0.024233
177,0.022002
178,0.022997
179,0.02047
180,0.022349
181,0.02036
182,0.020681
183,0.022319
184,0.020928
185,0.02137
186,0.020097
187,0.021397
188,0.019965
189,0.020253
190,0.019979
191,0.019998
192,0.022554
193,0.01982
194,0.022096
195,0.009367
196,0.021516
197,0.020635
198,0.02024
199,0.021207
200,0.02081
201,0.022891
202,0.020492
203,0.020838
204,0.02141
205,0.021734
206,0.021405
207,0.02104
208,0.021043
209,0.021285
210,0.022052
211,0.021125
212,0.023852
213,0.026861
214,0.0315
215,0.019772
216,0.020354
217,0.021637
218,0.018762
219,0.021828
220,0.021723
221,0.021508
222,0.01957
223,0.022013
224,0.020268
225,0.021673
226,0.019444
227,0.02072
228,0.022382
229,0.0206
230,0.020532
231,0.020432
232,0.020435
233,0.021344
234,0.019865
235,0.019777
236,0.017723
237,0.020171
238,0.020502
239,0.021333
240,0.021983
241,0.021146
242,0.022385
243,0.019648
244,0.020419
245,0.020185
246,0.024586
247,0.021624
248,0.021322
249,0.01915
250,0.020986
251,0.02121
252,0.020368
253,0.020432
254,0.020156
255,0.020308
256,0.036177
257,0.024559
258,0.020135
259,0.02067
260,0.02007
261,0.020931
262,0.019435
263,0.019468
264,0.021915
265,0.020398
266,0.02226
267,0.020487
268,0.021369
269,0.019126
270,0.018743
271,0.021227
272,0.020809
273,0.021929
274,0.02056
275,0.023236
276,0.021614
277,0.021236
278,0.020934
279,0.019416
280,0.020829
281,0.019836
282,0.021321
283,0.022376
284,0.022673
285,0.019163
286,0.019756
287,0.018937
288,0.019497
289,0.021144
290,0.020087
291,0.021793
292,0.019194
293,0.021082
294,0.020517
295,0.022615
296,0.019707
297,0.022863
298,0.020513
299,0.020922
300,0.022467
301,0.01947
302,0.023037
303,0.021109
304,0.019772
305,0.019738
306,0.021111
307,0.019132
308,0.01892
309,0.018645
310,0.020012
311,0.020356
312,0.020462
313,0.023977
314,0.022089
315,0.021913
316,0.021287
317,0.022895
318,0.023858
319,0.02015
320,0.020882
321,0.021712
322,0.021372
323,0.022903
324,0.020841
325,0.023411
326,0.02001
327,0.020938
328,0.027861
329,0.020766
330,0.024348
331,0.020926
332,0.020472
333,0.019065
334,0.020693
335,0.018508
336,0.022445
337,0.020986
338,0.020923
339,0.021054
340,0.022801
341,0.026689
342,0.019826
343,0.020581
344,0.020818
345,0.021551
346,0.020438
347,0.02413
348,0.019976
349,0.022453
350,0.020423
351,0.020061
352,0.019876
353,0.020731
354,0.020634
355,0.019166
356,0.020451
357,0.020559
358,0.020206
359,0.018019
360,0.018235
361,0.020328
362,0.019931
363,0.02006
364,0.021407
365,0.01974
366,0.020505
367,0.020804
368,0.021048
369,0.019725
370,0.020845
371,0.019076
372,0.021813
373,0.022086
374,0.021165
375,0.020181
376,0.020214
377,0.020421
378,0.01773
379,0.019437
380,0.020281
381,0.023306
382,0.019206
383,0.020243
384,0.019191
385,0.020437
386,0.020088
387,0.020267
388,0.019507
389,0.020324
390,0.022144
391,0.021545
392,0.020622
393,0.019683
394,0.020379
395,0.021466
396,0.023313
397,0.021845
398,0.020731
399,0.022975
400,0.022117
401,0.021427
402,0.020713
403,0.021617
404,0.020584
405,0.021309
406,0.019926
407,0.021467
408,0.023133
409,0.020581
410,0.020361
411,0.021266
412,0.0212
413,0.021347
414,0.02056
415,0.021436
416,0.02141
417,0.021449
418,0.021202
419,0.021983
420,0.021229
421,0.022086
422,0.021571
423,0.020842
424,0.021264
425,0.020945
426,0.022761
427,0.021297
428,0.021989
429,0.020106
430,0.022422
431,0.022132
432,0.020171
433,0.019482
434,0.018841
435,0.018336
436,0.01857
437,0.018422
438,0.017992
439,0.019136
440,0.017979
441,0.020056
442,0.014142
443,0.021679
444,0.023381
445,0.021261
446,0.022183
447,0.020781
448,0.025693
449,0.020014
450,0.019847
451,0.022879
452,0.020263
453,0.02193
454,0.02053
455,0.019781
456,0.02057
457,0.021221
458,0.020625
459,0.020032
460,0.024946
461,0.022076
462,0.022702
463,0.020529
464,0.022143
465,0.020543
466,0.021477
467,0.020742
468,0.021905
469,0.023116
470,0.019621
471,0.022182
472,0.019787
473,0.020903
474,0.021076
475,0.020443
476,0.021549
477,0.019666
478,0.022381
479,0.020424
480,0.022061
481,0.020489
482,0.022919
483,0.019482
484,0.021845
485,0.020708
486,0.021582
487,0.02154
488,0.022186
489,0.02282
490,0.020219
491,0.021764
492,0.019294
493,0.020013
494,0.018374
495,0.018983
496,0.020609
497,0.020377
498,0.023796
499,0.02132
500,0.021891
501,11.114933
