Iteration,IP_CPU_Time(ms)
0,0.0
1,0.075129
2,0.048655
3,0.032954
4,0.041251
5,0.029623
6,0.033561
7,0.042757
8,0.048248
9,0.041817
10,0.030552
11,0.043679
12,0.040982
13,0.066556
14,0.046377
15,0.031006
16,0.03261
17,0.049843
18,0.048034
19,0.031076
20,0.040184
21,0.037779
22,0.041194
23,0.03932
24,0.04721
25,0.03124
26,0.038483
27,0.041576
28,0.02891
29,0.033205
30,0.043902
31,0.035915
32,0.050445
33,0.050665
34,0.050632
35,0.034491
36,0.042714
37,0.034834
38,0.051043
39,0.037395
40,0.030145
41,0.031134
42,0.041804
43,0.047533
44,0.032988
45,0.042775
46,0.028852
47,0.043587
48,0.036097
49,0.037969
50,0.03838
51,0.03445
52,0.040902
53,0.037031
54,0.026462
55,0.052561
56,0.044031
57,0.049586
58,0.042963
59,0.041799
60,0.038822
61,0.039188
62,0.053509
63,0.027049
64,0.039983
65,0.043529
66,0.029028
67,0.038096
68,0.037677
69,0.039459
70,0.032868
71,0.04036
72,0.036387
73,0.033046
74,0.044796
75,0.044558
76,0.023744
77,0.033322
78,0.027403
79,0.042693
80,0.036573
81,0.046817
82,0.027648
83,0.029143
84,0.041667
85,0.044374
86,0.033775
87,0.029673
88,0.052894
89,0.028366
90,0.041482
91,0.03402
92,0.042286
93,0.046059
94,0.044696
95,0.036331
96,0.029729
97,0.026552
98,0.027199
99,0.028724
100,0.028402
101,0.017195
102,0.027943
103,0.025268
104,0.023052
105,0.025331
106,0.016892
107,0.021649
108,0.021989
109,0.025383
110,0.037186
111,0.025995
112,0.021739
113,0.017093
114,0.018032
115,0.032795
116,0.021226
117,0.022906
118,0.025434
119,0.025403
120,0.022937
121,0.019099
122,0.025976
123,0.025823
124,0.018531
125,0.013576
126,0.026446
127,0.026349
128,0.025524
129,0.026109
130,0.025874
131,0.029048
132,0.019198
133,0.027512
134,0.029077
135,0.035743
136,0.030523
137,0.027155
138,0.024752
139,0.023645
140,0.022997
141,0.023923
142,0.026053
143,0.027518
144,0.016697
145,0.03305
146,0.026203
147,0.039034
148,0.022751
149,0.025339
150,0.025584
151,0.029064
152,0.017471
153,0.027386
154,0.021374
155,0.025425
156,0.027711
157,0.016657
158,0.026441
159,0.021833
160,0.027496
161,0.032717
162,0.029351
163,0.031226
164,0.020265
165,0.028221
166,0.016644
167,0.028089
168,0.02277
169,0.022488
170,0.029241
171,0.025365
172,0.020456
173,0.016659
174,0.023217
175,0.01972
176,0.015746
177,0.03229
178,0.029891
179,0.030084
180,0.019323
181,0.020666
182,0.035035
183,0.026818
184,0.028501
185,0.028356
