Iteration,IP_CPU_Time(ms)
0,0.0
1,0.04629
2,0.025415
3,0.025952
4,0.021545
5,0.022058
6,0.02225
7,0.023664
8,0.022831
9,0.027812
10,0.021711
11,0.022978
12,0.021544
13,0.021193
14,0.020256
15,0.024204
16,0.026318
17,0.021862
18,0.022913
19,0.021206
20,0.020897
21,0.021828
22,0.021214
23,0.021659
24,0.02145
25,0.021669
26,0.020527
27,0.021821
28,0.020837
29,0.022633
30,0.021865
31,0.021905
32,0.023932
33,0.019782
34,0.024131
35,0.023178
36,0.024236
37,0.021642
38,0.024768
39,0.02148
40,0.020622
41,0.021324
42,0.021048
43,0.023754
44,0.020961
45,0.020642
46,0.021887
47,0.022044
48,0.02257
49,0.025776
50,0.023248
51,0.023629
52,0.021109
53,0.022134
54,0.022869
55,0.021392
56,0.021815
57,0.020081
58,0.022656
59,0.01914
60,0.023212
61,0.022266
62,0.020859
63,0.022147
64,0.021156
65,0.02115
66,0.019989
67,0.023035
68,0.021539
69,0.022831
70,0.020768
71,0.021084
72,0.020411
73,0.021454
74,0.023441
75,0.021166
76,0.022784
77,0.020865
78,0.02125
79,0.022481
80,0.02182
81,0.022282
82,0.022333
83,0.021299
84,0.021804
85,0.023417
86,0.025502
87,0.021348
88,0.021118
89,0.022543
90,0.019573
91,0.022395
92,0.021095
93,0.019609
94,0.021108
95,0.021403
96,0.023647
97,0.022042
98,0.021788
99,0.021575
100,0.02098
101,0.021165
102,0.020732
103,0.019963
104,0.020742
105,0.022549
106,0.021839
107,0.024599
108,0.021657
109,0.020856
110,0.021848
111,0.023803
112,0.022884
113,0.024125
114,0.0237
115,0.020703
116,0.025319
117,0.022668
118,0.022045
119,0.023093
120,0.025251
121,0.023905
122,0.020052
123,0.02269
124,0.022149
125,0.023308
126,0.024186
127,0.024481
128,0.023862
129,0.022025
130,0.022005
131,0.026419
132,0.02211
133,0.022325
134,0.022078
135,0.020478
136,0.020472
137,0.018802
138,0.022761
139,0.02259
140,0.019456
141,0.018825
142,0.018152
143,0.019209
144,0.020929
145,0.019396
146,0.027704
147,0.019525
148,0.018915
149,0.022509
150,0.019741
151,0.020353
152,0.021174
153,0.022713
154,0.023479
155,0.021815
156,0.024392
157,0.025096
158,0.024693
159,0.020528
160,0.024016
161,0.022282
162,0.022353
163,0.020013
164,0.025099
165,0.022096
166,0.020903
167,0.021079
168,0.024889
169,0.023829
170,0.040182
171,0.067339
172,0.023567
173,0.022856
174,0.022574
175,0.021529
176,0.022269
177,0.024976
178,0.023569
179,0.022954
180,0.023577
181,0.023109
182,0.0245
183,0.023756
184,0.019872
185,0.022897
186,0.019237
187,0.022915
188,0.024387
189,0.02316
190,0.02216
191,0.023204
192,0.022665
193,0.02028
194,0.019377
195,0.018342
196,0.019293
197,0.01985
198,0.019437
199,0.016632
200,0.017004
201,0.02325
202,0.018129
203,0.018873
204,0.018386
205,0.021595
206,0.019584
207,0.018855
208,0.019218
209,0.020421
210,0.023914
211,0.018137
212,0.018223
213,0.018781
214,0.017755
215,0.017304
216,0.020188
217,0.018006
218,0.016791
219,0.018533
220,0.019196
221,0.018444
222,0.019127
223,0.019278
224,0.018743
225,0.022765
226,0.017043
227,0.018866
228,0.018939
229,0.019002
230,0.019299
231,0.019354
232,0.022141
233,0.026307
234,0.025374
235,0.017193
236,0.021184
237,0.017553
238,0.02242
239,0.018249
240,0.018528
241,0.021627
242,0.016418
243,0.01896
244,0.020319
245,0.019477
246,0.017222
247,0.020031
248,0.020277
249,0.018609
250,0.021717
251,0.018633
252,0.021251
253,0.018513
254,0.020084
255,0.023612
256,0.043181
257,0.023376
258,0.019186
259,0.020696
260,0.020964
261,0.021755
262,0.019362
263,0.019972
264,0.018379
265,0.021752
266,0.017297
267,0.020273
268,0.01982
269,0.018251
270,0.017439
271,0.019699
272,0.019756
273,0.016885
274,0.021449
275,0.019225
276,0.018861
277,0.017579
278,0.020916
279,0.018162
280,0.017613
281,0.019862
282,0.017908
283,0.0196
284,0.019232
285,0.02219
286,0.018916
287,0.020219
288,0.021095
289,0.017164
290,0.020488
291,0.023574
292,0.02078
293,0.018191
294,0.020271
295,0.018342
296,0.021531
297,0.018789
298,0.018807
299,0.01993
300,0.019112
301,0.022567
302,0.019847
303,0.020819
304,0.021519
305,0.018638
306,0.01933
307,0.019336
308,0.018285
309,0.019118
310,0.021258
311,0.018335
312,0.021253
313,0.021583
314,0.020442
315,0.020179
316,0.026729
317,0.019371
318,0.019356
319,0.02091
320,0.020954
321,0.020321
322,0.01845
323,0.022651
324,0.019681
325,0.025669
326,0.020306
327,0.033076
328,0.020045
329,0.026572
330,0.023458
331,0.020874
332,0.022381
333,0.024128
334,0.02089
335,0.026153
336,0.023588
337,0.021402
338,0.024327
339,0.023342
340,0.021161
341,0.023351
342,0.023718
343,0.040223
344,0.036012
345,0.023949
346,0.021133
347,0.022994
348,0.021504
349,0.021594
350,0.025558
351,0.022148
352,0.02787
353,0.021498
354,0.023757
355,0.021872
356,0.023402
357,0.023109
358,0.022643
359,0.02288
360,0.025835
361,0.02594
362,0.021003
363,0.018831
364,0.021358
365,0.019005
366,0.019338
367,0.020353
368,0.019347
369,0.020041
370,0.023859
371,0.021652
372,0.021403
373,0.022439
374,0.024087
375,0.021627
376,0.023296
377,0.020736
378,0.021811
379,0.021342
380,0.021675
381,0.021973
382,0.020118
383,0.023835
384,0.019522
385,0.022984
386,0.019445
387,0.020502
388,0.023413
389,0.022537
390,0.020689
391,0.021957
392,0.021246
393,0.020864
394,0.020476
395,0.020772
396,0.022812
397,0.019928
398,0.022563
399,0.023543
400,0.024651
401,0.022007
402,0.022613
403,0.021045
404,0.021238
405,0.020593
406,0.02245
407,0.024933
408,0.021809
409,0.021
410,0.021435
411,0.021194
412,0.021512
413,0.019003
414,0.021191
415,0.02039
416,0.022588
417,0.02233
418,0.020192
419,0.020928
420,0.020829
421,0.021823
422,0.022799
423,0.022815
424,0.020148
425,0.022334
426,0.022144
427,0.019952
428,0.022851
429,0.021826
430,0.022204
431,0.021999
432,0.023199
433,0.020192
434,0.024393
435,0.021731
436,0.018997
437,0.018993
438,0.020125
439,0.021318
440,0.019673
441,0.024403
442,0.020848
443,0.021263
444,0.020726
445,0.020997
446,0.020423
447,0.0213
448,0.021563
449,0.021637
450,0.022701
451,0.01905
452,0.020147
453,0.021806
454,0.024063
455,0.021284
456,0.020367
457,0.022436
458,0.020392
459,0.022989
460,0.021795
461,0.026005
462,0.020836
463,0.022678
464,0.02474
465,0.022887
466,0.023102
467,0.021303
468,0.024031
469,0.02153
470,0.023759
471,0.024019
472,0.023558
473,0.023678
474,0.023085
475,0.023192
476,0.023038
477,0.023251
478,0.020721
479,0.024369
480,0.024021
481,0.023073
482,0.023004
483,0.024083
484,0.021136
485,0.023185
486,0.021306
487,0.021078
488,0.022024
489,0.020795
490,0.02853
491,0.031195
492,0.036122
493,0.026323
494,0.024585
495,0.021798
496,0.030075
497,0.020432
498,0.020744
499,0.022257
500,0.025246
501,11.515892
