Iteration,IP_CPU_Time(ms)
0,0.0
1,0.060326
2,0.032378
3,0.024417
4,0.034902
5,0.029071
6,0.033363
7,0.033056
8,0.028139
9,0.025395
10,0.026329
11,0.035193
12,0.032045
13,0.030327
14,0.03187
15,0.094212
16,0.07259
17,0.031325
18,0.024691
19,0.031085
20,0.026634
21,0.030408
22,0.029127
23,0.025813
24,0.027269
25,0.028747
26,0.033069
27,0.029755
28,0.025291
29,0.030248
30,0.029796
31,0.028643
32,0.027147
33,0.028132
34,0.027113
35,0.030757
36,0.024207
37,0.027821
38,0.032784
39,0.028658
40,0.028094
41,0.030775
42,0.029886
43,0.035494
44,0.027403
45,0.026353
46,0.029782
47,0.025236
48,0.026489
49,0.023713
50,0.032121
51,0.028114
52,0.030011
53,0.02406
54,0.024099
55,0.034472
56,0.027131
57,0.031997
58,0.026875
59,0.030702
60,0.031452
61,0.024992
62,0.025937
63,0.033126
64,0.014428
65,0.028254
66,0.027513
67,0.023767
68,0.026213
69,0.028952
70,0.027252
71,0.02819
72,0.026621
73,0.032291
74,0.029672
75,0.02795
76,0.030806
77,0.02844
78,0.040989
79,0.033174
80,0.027218
81,0.028569
82,0.027294
83,0.026159
84,0.030059
85,0.02524
86,0.025951
87,0.031873
88,0.025567
89,0.031219
90,0.033725
91,0.024304
92,0.034464
93,0.028567
94,0.028463
95,0.027482
96,0.025767
97,0.03058
98,0.030244
99,0.026415
100,0.029605
101,0.02862
102,0.033139
103,0.034129
104,0.036297
105,0.035711
106,0.030461
107,0.034634
108,0.037151
109,0.035143
110,0.0297
111,0.027535
112,0.033721
113,0.030832
114,0.03404
115,0.027766
116,0.030089
117,0.029601
118,0.028705
119,0.030696
120,0.026507
121,0.027288
122,0.035075
123,0.030081
124,0.025141
125,0.032543
126,0.03633
127,0.032107
128,0.032455
129,0.027266
130,0.029564
131,0.028654
132,0.032817
133,0.031412
134,0.026881
135,0.02375
136,0.027778
137,0.031973
138,0.030084
139,0.026913
140,0.030896
141,0.032729
142,0.03899
143,0.034373
144,0.034374
145,0.032931
146,0.027498
147,0.026739
148,0.029406
149,0.028671
150,0.030937
151,0.018443
152,0.026773
153,0.026695
154,0.033183
155,0.03119
156,0.029914
157,0.03178
158,0.022727
159,0.029745
160,0.025538
161,0.027304
162,0.027244
163,0.030819
164,0.026829
165,0.027335
166,0.024667
167,0.031265
168,0.028094
169,0.035674
170,0.032903
171,0.031296
172,0.03313
173,0.026786
174,0.029759
175,0.032022
176,0.035923
177,0.031421
178,0.026742
179,0.024703
180,0.033425
181,0.032478
182,0.029347
183,0.026393
184,0.027645
185,0.03086
186,0.030206
187,0.02722
188,0.029585
189,0.037015
190,0.028642
191,0.031205
192,0.020995
193,0.033695
194,0.035513
195,0.026388
196,0.029367
197,0.034036
198,0.028989
199,0.030855
200,0.035262
201,0.027182
202,0.027634
203,0.025278
204,0.032569
205,0.032333
206,0.037314
207,0.030225
208,0.027783
209,0.027008
210,0.03201
211,0.030104
212,0.036285
213,0.030885
214,0.028865
215,0.032326
216,0.027424
217,0.029251
218,0.03196
219,0.02597
220,0.026743
221,0.032124
222,0.030572
223,0.030132
224,0.026793
225,0.032382
226,0.027596
227,0.031456
228,0.035974
229,0.030901
230,0.033823
231,0.031592
232,0.02562
233,0.033192
234,0.030741
235,0.031598
236,0.032549
237,0.029645
238,0.027223
239,0.027849
240,0.031939
241,0.035521
242,0.035855
243,0.028043
244,0.032455
245,0.034163
246,0.029323
