Iteration,IP_CPU_Time(ms)
0,0.0
1,0.169828
2,0.107268
3,0.109684
4,0.109748
5,0.100842
6,0.100724
7,0.108014
8,0.107502
9,0.104981
10,0.105309
11,0.106549
12,0.108855
13,0.099441
14,0.101828
15,0.098752
16,0.097081
17,0.099437
18,0.099168
19,0.074495
20,0.06378
21,0.06498
22,0.066615
23,0.067116
24,0.069825
25,0.066558
26,0.064893
27,0.065105
28,0.063701
29,0.065489
30,0.06483
31,0.062552
32,0.06598
33,0.066567
34,0.066147
35,0.069094
36,0.068488
37,0.06732
38,0.068157
39,0.065374
40,0.068049
41,0.063679
42,0.063302
43,0.066919
44,0.066262
45,0.065025
46,0.068042
47,0.063902
48,0.075182
49,0.068981
50,0.064744
51,0.066284
52,0.066044
53,0.066586
54,0.067031
55,0.066629
56,0.065557
57,0.063964
58,0.06543
59,0.066489
60,0.06274
61,0.063945
62,0.065662
63,0.064684
64,0.064292
65,0.064843
66,0.066995
67,0.063272
68,0.066252
69,0.065867
70,0.065945
71,0.065313
72,0.06685
73,0.065777
74,0.064786
75,0.06477
76,0.065974
77,0.062435
78,0.065556
79,0.068653
80,0.065426
81,0.066329
82,0.065182
83,0.064411
84,0.062909
85,0.069628
86,0.073241
87,0.062883
88,0.056238
89,0.053266
90,0.06191
91,0.058072
92,0.065816
93,0.064347
94,0.066172
95,0.074151
96,0.061539
97,0.065934
98,0.075212
99,0.063514
100,0.065394
101,0.06439
102,0.0691
103,0.066283
104,0.064873
105,0.063088
106,0.066172
107,0.065869
108,0.072581
109,0.064472
110,0.068509
111,0.065649
112,0.064136
113,0.065654
114,0.067629
115,0.06498
116,0.065006
117,0.065667
118,0.064053
119,0.065592
120,0.063091
121,0.064881
122,0.067528
123,0.065225
124,0.065413
125,0.06307
126,0.065185
127,0.063815
128,0.068354
129,0.069739
130,0.066081
131,0.066568
132,0.064662
133,0.068276
134,0.066055
135,0.064844
136,0.066032
137,0.064617
138,0.063659
139,0.065861
140,0.067123
141,0.064903
142,0.067509
143,0.064126
144,0.065775
145,0.065587
146,0.067577
147,0.063498
148,0.06674
149,0.063915
150,0.065448
151,0.06765
152,0.064953
153,0.067297
154,0.065165
155,0.064445
156,0.066673
157,0.06396
158,0.06168
159,0.074241
160,0.069899
161,0.066302
162,0.063562
163,0.066058
164,0.065761
165,0.065872
166,0.065344
167,0.064195
168,0.064044
169,0.065061
170,0.067288
171,0.065272
172,0.066014
173,0.063979
174,0.066189
175,0.062766
176,0.064386
177,0.063282
178,0.065344
179,0.065381
180,0.062709
181,0.064168
182,0.062724
183,0.063336
184,0.06385
185,0.066152
186,0.063223
187,0.066115
188,0.064041
189,0.062781
190,0.06297
191,0.066557
192,0.066788
193,0.064768
194,0.065801
195,0.064131
196,0.065513
197,0.063734
198,0.064284
199,0.063265
200,0.065686
201,0.062818
202,0.06197
203,0.066869
204,0.066984
205,0.066552
206,0.066922
207,0.065886
208,0.065537
209,0.066997
210,0.064617
211,0.051979
212,0.060615
213,0.065287
214,0.064596
215,0.065348
216,0.063644
217,0.06548
218,0.065434
219,0.06386
220,0.076244
221,0.07021
222,0.06582
223,0.065413
224,0.064028
225,0.062815
226,0.064791
227,0.066198
228,0.063069
