Iteration,IP_CPU_Time(ms)
0,0.0
1,0.033122
2,0.01372
3,0.013069
4,0.011737
5,0.013577
6,0.007365
7,0.01262
8,0.015838
9,0.01012
10,0.014933
11,0.014443
12,0.010495
13,0.013128
14,0.013861
15,0.017543
16,0.006373
17,0.011715
18,0.010828
19,0.012878
20,0.011512
21,0.012507
22,0.011675
23,0.007309
24,0.010234
25,0.020079
26,0.016636
27,0.012443
28,0.018835
29,0.017421
30,0.019183
31,0.011354
32,0.02022
33,0.018263
34,0.019569
35,0.015934
36,0.018371
37,0.019959
38,0.018949
39,0.017961
40,0.016353
41,0.020548
42,0.020963
43,0.017953
44,0.009198
45,0.022283
46,0.019963
47,0.018326
48,0.019578
49,0.01891
50,0.022821
51,0.019714
52,0.018436
53,0.020534
54,0.020601
55,0.018247
56,0.020121
57,0.021036
58,0.018165
59,0.018062
60,0.019588
61,0.017906
62,0.018492
63,0.017513
64,0.017475
65,0.009255
66,0.018967
67,0.017555
68,0.019796
69,0.020619
70,0.020089
71,0.007969
72,0.022909
73,0.020341
74,0.012863
75,0.018336
76,0.017385
77,0.018961
78,0.019527
79,0.022547
80,0.01987
81,0.021508
82,0.018841
83,0.020545
84,0.018885
85,0.02191
86,0.018119
87,0.020861
88,0.018424
89,0.017784
90,0.020301
91,0.019524
92,0.019839
93,0.017641
94,0.021728
95,0.018546
96,0.021052
97,0.010488
98,0.022882
99,0.017202
100,0.021191
101,0.010372
102,0.019956
103,0.03061
104,0.01947
105,0.018931
106,0.022387
107,0.011202
108,0.007841
109,0.021111
110,0.018608
111,0.019137
112,0.02022
113,0.013614
114,0.022613
115,0.021784
116,0.022542
117,0.021749
118,0.018332
119,0.019537
120,0.011486
121,0.019183
122,0.012124
123,0.018633
124,0.016842
125,0.012347
126,0.017915
127,0.016277
128,0.018159
129,0.021539
130,0.009042
131,0.018853
132,0.017645
133,0.016236
134,0.01223
135,0.011852
136,0.013393
137,0.006061
138,0.011065
139,0.010855
140,0.010432
141,0.01307
142,0.012544
143,0.011037
144,0.005312
145,0.011182
146,0.006145
147,0.011887
148,0.012522
149,0.012286
150,0.012992
151,0.010304
152,0.01093
153,0.008149
154,0.01036
155,0.005499
156,0.010567
157,0.010882
158,0.011437
159,0.012088
160,0.011812
161,0.012422
162,0.011147
163,0.005392
164,0.011172
165,0.006237
166,0.012658
167,0.010772
168,0.011505
169,0.012125
170,0.009893
171,0.010122
172,0.009807
173,0.010305
174,0.010152
175,0.009771
176,0.005962
177,0.010905
178,0.010208
179,0.013392
180,0.010543
181,0.010259
182,0.01059
183,0.011244
184,0.012522
185,0.006362
186,0.012207
187,0.006255
188,0.010429
189,0.011439
190,0.009539
191,0.012916
192,0.011447
193,0.010601
194,0.007081
195,0.010828
196,0.009889
197,0.007653
198,0.005499
199,0.012252
200,0.011511
201,0.011559
202,0.005401
203,0.005929
204,0.004606
205,0.010774
206,0.010558
207,0.013054
208,0.009796
209,0.012523
210,0.010216
211,0.010083
212,0.005532
213,0.004531
214,0.011759
215,0.011187
216,0.010194
217,0.012539
218,0.01072
219,0.012315
220,0.005452
221,0.012289
222,0.014323
223,0.011497
224,0.009942
225,0.012346
226,0.015905
227,0.019111
228,0.010586
229,0.020224
230,0.017675
231,0.020903
232,0.022084
233,0.019803
234,0.016346
235,0.00916
236,0.012431
237,0.006693
238,0.02047
239,0.019172
240,0.022077
241,0.016379
242,0.020687
243,0.020321
244,0.022435
245,0.018153
246,0.019888
247,0.008302
248,0.018586
249,0.020892
250,0.009718
251,0.01775
252,0.019376
253,0.016597
254,0.011684
255,0.019039
256,0.00949
257,0.019937
258,0.025937
259,0.020732
260,0.018972
261,0.008613
262,0.01616
263,0.019203
264,0.018681
265,0.017462
266,0.01946
267,0.010711
268,0.016188
269,0.023249
270,0.021462
271,0.019438
272,0.018298
273,0.016401
274,0.020598
275,0.018536
276,0.020728
277,0.020813
278,0.020009
279,0.017508
280,0.016683
281,0.016799
282,0.012531
283,0.012305
284,0.011954
285,0.012007
286,0.006626
287,0.011678
288,0.009772
289,0.012681
290,0.006243
291,0.012342
292,0.010142
293,0.009516
294,0.012182
295,0.011407
296,0.013093
297,0.012195
298,0.011789
299,0.009939
300,0.012053
301,0.010728
302,0.011663
303,0.012581
304,0.010889
305,0.01029
306,0.011294
307,0.011798
308,0.009507
309,0.00984
310,0.011238
311,0.004878
312,0.004346
313,0.011147
314,0.011368
315,0.009632
316,0.01151
317,0.005685
318,0.011943
319,0.01051
320,0.01263
321,0.012187
322,0.01085
323,0.012204
324,0.00916
325,0.011952
326,0.005453
327,0.005537
328,0.006932
329,0.010474
330,0.009482
331,0.00964
332,0.005817
333,0.010756
334,0.005902
335,0.010194
336,0.00527
337,0.0111
338,0.012113
339,0.006632
340,0.010996
341,0.010658
342,0.005941
343,0.012642
344,0.010678
345,0.011627
346,0.00752
347,0.011618
348,0.010709
349,0.004786
350,0.011484
351,0.01315
352,0.011347
353,0.011899
354,0.005934
355,0.011764
356,0.00693
357,0.010948
358,0.011223
359,0.010675
360,0.009444
361,0.011074
362,0.010524
363,0.004279
364,0.011914
365,0.013587
366,0.010221
367,0.006466
368,0.012026
369,0.006591
370,0.010575
371,0.004863
372,0.00638
373,0.010639
374,0.012707
375,0.007541
376,0.012671
377,0.012909
378,0.011789
379,0.009475
380,0.009354
